A. Lors de la période réfractaire absolue, un nouveau potentiel d'action peut se produire.	1. Concernant l'électrophysiologie cardiaque, indiquez la ou les proposition(s) exacte(s) :	UE3T141001	FAUX	A. Faux, PRA = impossible d'obtenir un nouveau potentiel d'action.						
B. La période réfractaire absolue est définie comme un intervalle de temps pendant lequel une stimulation très élevée peut engendrer un nouveau potentiel d'action.	1. Concernant l'électrophysiologie cardiaque, indiquez la ou les proposition(s) exacte(s) :	UE3T141001	FAUX	B. Faux, cette définition correspond à la période réfractaire relative.						
C. La période réfractaire effective correspond à la période réfractaire absolue et à la moitié de la période réfractaire relative.	1. Concernant l'électrophysiologie cardiaque, indiquez la ou les proposition(s) exacte(s) :	UE3T141001	VRAI							
D. Le phénomène de rectification est une variation, en fonction du potentiel, de la résistance de la membrane au passage d'un courant ionique X.	1. Concernant l'électrophysiologie cardiaque, indiquez la ou les proposition(s) exacte(s) :	UE3T141001	VRAI							
E. La rectification est dans le sens entrant lorsque la membrane laisse plus facilement passer le courant ionique X qui sort que celui qui entre.	1. Concernant l'électrophysiologie cardiaque, indiquez la ou les proposition(s) exacte(s) :	UE3T141001	FAUX	E. Faux, rectification dans le sens entrant = passage facilité du courant ionique X qui entre et freinage du courant ionique Y qui sort.						
A. La phase 0 correspond à la montée du potentiel d'action, principalement due à un courant sodique sortant I Na .	2. Concernant l'électrophysiologie cardiaque, indiquez la ou les proposition(s) exacte(s) :	UE3T141002	FAUX	A. Faux, la phase 0 correspond à la montée du potentiel d'action, principalement due à un courant sodique entrant I Na .						
B. Lors de la phase 0, le potentiel de membrane tend à se rapprocher du potentiel d'équilibre du sodium.	2. Concernant l'électrophysiologie cardiaque, indiquez la ou les proposition(s) exacte(s) :	UE3T141002	VRAI	B. Vrai, mais le Pe du Na ne sera jamais atteint car d'autres mouvements ioniques vont permettre la repolarisation de la cellule.						
C. La phase 1 correspond à une repolarisation initiale rapide due à deux canaux potassiques distincts.	2. Concernant l'électrophysiologie cardiaque, indiquez la ou les proposition(s) exacte(s) :	UE3T141002	VRAI	C. Vrai, on a Ito 1 (majoritaire) et Ito 2 .						
D. Lors de la phase 1, le courant potassique est transitoire et entrant.	2. Concernant l'électrophysiologie cardiaque, indiquez la ou les proposition(s) exacte(s) :	UE3T141002	FAUX	D. Faux, lors de la phase 1, le courant potassique est transitoire et sortant.						
E. Lors de la phase 1, Ito 1 est Ca2+ dépendant et permet de diminuer la charge calcique intracellulaire lorsque celle-ci est trop élevée.	2. Concernant l'électrophysiologie cardiaque, indiquez la ou les proposition(s) exacte(s) :	UE3T141002	FAUX	E. Faux, c'est le rôle d'Ito 2 .						
A. Durant la phase 2, le plateau est une balance entre des courants entrant positifs et des courants sortants positifs.	3. Concernant l'électrophysiologie cardiaque, indiquez la ou les proposition(s) exacte(s) :	UE3T141003	VRAI	A. Vrai, les courants entrants positifs vont dépolariser la cellule (début du plateau) et les courants sortants positifs vont repolariser la cellule (fin du plateau) : c'est la repolarisation lente (phase 2).						
B. Pendant la phase 2, le principal courant entrant positif est le courant calcique voltage-dépendant.	3. Concernant l'électrophysiologie cardiaque, indiquez la ou les proposition(s) exacte(s) :	UE3T141003	VRAI							
