A. L'électrodynamique étudie les interactions dynamiques entre courants électriques.	1. Concernant l'électromagnétisme, indiquez la ou les proposition(s) exacte(s) :	UE3T140801	VRAI	A. Vrai, l'électrodynamique traite des interactions électro-magnétiques				Capron		
B. La radioélectricité traite des transmissions par ondes électromagnétiques.	1. Concernant l'électromagnétisme, indiquez la ou les proposition(s) exacte(s) :	UE3T140801	VRAI					Capron		
C. L'électrostatique correspond à des systèmes de charges électriques en mouvement.	1. Concernant l'électromagnétisme, indiquez la ou les proposition(s) exacte(s) :	UE3T140801	FAUX	C. Faux, l'électrostatique correspond à des systèmes de charges électriques statiques (à l'équilibre)				Capron		
D. Le magnétostatisme est un phénomène créé par un courant électrique variable.	1. Concernant l'électromagnétisme, indiquez la ou les proposition(s) exacte(s) :	UE3T140801	FAUX	D. Faux, le magnétostatisme est un phénomène créé par un courant électrique stationnaire				Capron		
E. L'électronique est applicable pour des courants forts.	1. Concernant l'électromagnétisme, indiquez la ou les proposition(s) exacte(s) :	UE3T140801	FAUX	E. Faux, l'électronique traite de courants faibles et l'électrotechnique de courants forts				Capron		
A. La loi de Biot et Savart permet de calculer un champ magnétique créé par des courants continus.	2. Concernant la loi de Biot et Savart, indiquez la ou les proposition(s) exacte(s) :	UE3T140802	VRAI	A. Vrai, la loi de Biot et Savart détermine le magnétostatisme. Elle permet de calculer le champ magnétique créé par des courants continus au niveau d'un point P				Capron		
B. Dans cette loi, la force magnétique est proportionnelle au carré de la distance et inversement proportionnelle à l'intensité.	2. Concernant la loi de Biot et Savart, indiquez la ou les proposition(s) exacte(s) :	UE3T140802	FAUX	B. Faux, la force magnétique est inversement proportionnelle au carré de la distance et proportionnelle à l'intensité (regardez la formule !)				Capron		
C. Cette loi définit les propriétés d'un circuit parcouru par un courant d'intensité I.	2. Concernant la loi de Biot et Savart, indiquez la ou les proposition(s) exacte(s) :	UE3T140802	VRAI	C. Vrai, cette loi traite d'un circuit parcouru d'une intensité I. Ensuite, on prend un point P extérieur à ce circuit mais à son voisinage proche et on calcule le champ magnétique créé en P par le courant : B(P)				Capron		
D. Dans cette loi, il est nécessaire de considérer un vecteur unitaire dl perpendiculaire au circuit.	2. Concernant la loi de Biot et Savart, indiquez la ou les proposition(s) exacte(s) :	UE3T140802	FAUX	D. Faux, il est nécessaire de considérer un vecteur unitaire dl parallèle au circuit				Capron		
E. Dans cette loi, il est nécessaire de considérer un vecteur unitaire dl orienté dans le sens du courant.	2. Concernant la loi de Biot et Savart, indiquez la ou les proposition(s) exacte(s) :	UE3T140802	VRAI					Capron		
A. Le cobalt<br />B. Le cuivre <br />C. Le nickel <br />D. L'aluminium <br />E. Le chrome	3. Parmi les matériaux suivants, indiquez celui (ceux) qui (est) sont paramagnétique(s) :	UE3T140803	3. DE	A. Cobalt = ferromagnétique <br />B. Cuivre = diamagnétique <br />C. Nickel = ferromagnétique				Capron		
A. Les matériaux diamagnétiques sont attirés par les champs intenses et s'orientent parallèlement aux lignes de champ.	4. Concernant les différents types de magnétisme, indiquez la ou les proposition(s) exacte(s) :	UE3T140804	FAUX	A. Faux, c'est le cas des matériaux ferromagnétiques				Capron		
B. Les substances ayant la même action que les matériaux ferromagnétiques, mais de façon moins intense sont paramagnétiques.	4. Concernant les différents types de magnétisme, indiquez la ou les proposition(s) exacte(s) :	UE3T140804	VRAI					Capron		
C. Les matériaux repoussés vers les régions de champ faible et perpendiculaires aux lignes de champ sont paramagnétiques.	4. Concernant les différents types de magnétisme, indiquez la ou les proposition(s) exacte(s) :	UE3T140804	FAUX	CD : Faux, ces matériaux sont diamagnétiques				Capron		
D. Les matériaux repoussés vers les régions de champ faible et perpendiculaires aux lignes de champ sont ferromagnétiques.	4. Concernant les différents types de magnétisme, indiquez la ou les proposition(s) exacte(s) :	UE3T140804	FAUX	DC. Faux, ces matériaux sont diamagnétiques				Capron		
E. Les propriétés des matériaux ferromagnétiques ont été caractérisées par l'étude des propriétés du fer doux.	4. Concernant les différents types de magnétisme, indiquez la ou les proposition(s) exacte(s) :	UE3T140804	VRAI					Capron		
A. Les pôles d'un aimant sont indissociables.	5. Concernant le magnétisme, indiquez la ou les proposition(s) exacte(s) :	UE3T140805	VRAI	A. Vrai, si un aimant se casse, deux autres petits aimants se créent ayant chacun un pôle sud et un pôle nord				Capron		
B. Les porteurs de charge sont animés d'une vitesse et d'une direction dans un circuit électrique, créant un champ magnétique.	5. Concernant le magnétisme, indiquez la ou les proposition(s) exacte(s) :	UE3T140805	VRAI					Capron		
C. L'unité, dans le système international, d'un champ magnétique est le Tesla (T).	5. Concernant le magnétisme, indiquez la ou les proposition(s) exacte(s) :	UE3T140805	VRAI					Capron		
D. Un aimant s'aimante dans le sens Nord-Sud, c'est-à-dire dans la direction du champ magnétique.	5. Concernant le magnétisme, indiquez la ou les proposition(s) exacte(s) :	UE3T140805	FAUX	D. Faux, un aimant s'oriente dans le sens Sud-Nord (dans le sens des lignes de champ).				Capron		
E. Deux pôles magnétiques de nature différente s'attirent.&nbsp;	5. Concernant le magnétisme, indiquez la ou les proposition(s) exacte(s) :	UE3T140805	VRAI							
