E.La Saint Patrick, qui a lieu le 17 mars est une fête à ne pas manquer lorsque l'on n'est pas en PACES.	4. Concernant la spéciation (4R) :	UE7S110104	VRAI							segmo
A. C'est l'étude de l'homme dans la double perspective de ses comportements et de ses conduites d'une part, de ses états de conscience d'autre part qui cherche à formuler les lois de ses phénomènes, à en expliquer la genèse afin de pouvoir éventuellement les modifier	1. Indiquez la (ou les) proposition(s) exacte(s) concernant la psychologie humaine :	UE7T130101	VRAI							
B. Aborde les notions complexes de mémoire	1. Indiquez la (ou les) proposition(s) exacte(s) concernant la psychologie humaine :	UE7T130101	VRAI							
C. Elle prend son origine dans la conception de la psychologie médicale	1. Indiquez la (ou les) proposition(s) exacte(s) concernant la psychologie humaine :	UE7T130101	FAUX	C. C'est la psychologie médicale qui prend son origine dans la psychologie humaine et non l'inverse !						
D. Elle est à connaître par tous les soignants	1. Indiquez la (ou les) proposition(s) exacte(s) concernant la psychologie humaine :	UE7T130101	FAUX	D. La psychologie médicale est à connaître par tous les soignants						
E. Le fonctionnement et la construction du langage sont des aspects de la psychologie humaine.	1. Indiquez la (ou les) proposition(s) exacte(s) concernant la psychologie humaine :	UE7T130101	VRAI							
A. Elle s'applique à tout patient	2. Indiquez la (ou les) proposition(s) exacte(s) concernant la psychiatrie :	UE7T130102	FAUX	A. Elle s'applique à une partie des patients						
B. Elle s'intéresse au fonctionnement physiologique	2. Indiquez la (ou les) proposition(s) exacte(s) concernant la psychiatrie :	UE7T130102	FAUX							
C. Tous les soignants sont concernés	2. Indiquez la (ou les) proposition(s) exacte(s) concernant la psychiatrie :	UE7T130102	FAUX	C. Concerne une partie des soignants -­‐> la psychiatrie est une spécialité avec une prise en charge spécifique						
D. C'est l'étude des troubles mentaux	2. Indiquez la (ou les) proposition(s) exacte(s) concernant la psychiatrie :	UE7T130102	VRAI							
E. L'anorexie mentale fait partie du champ psychiatrique.	2. Indiquez la (ou les) proposition(s) exacte(s) concernant la psychiatrie :	UE7T130102	VRAI							
A. La personnalité vient de persona qui veut dire masque en grec	3. Indiquez la (ou les) réponse(s) exacte(s) concernant la personnalité et le tempérament :	UE7T130103	FAUX	A. La personnalité vient de persona qui veut dire masque en latin						
B. Le tempérament est biologiquement déterminé	3. Indiquez la (ou les) réponse(s) exacte(s) concernant la personnalité et le tempérament :	UE7T130103	VRAI							
C. Le tempérament est plus fixe que la personnalité	3. Indiquez la (ou les) réponse(s) exacte(s) concernant la personnalité et le tempérament :	UE7T130103	VRAI							
D. La personnalité se construit à partir de la naissance et jusqu'à l'âge adulte grâce aux interactions avec l'environnement	3. Indiquez la (ou les) réponse(s) exacte(s) concernant la personnalité et le tempérament :	UE7T130103	FAUX	D. La personnalité se construit à partir de la vie intra-utérine et jusqu'à l'âge adulte						
E. Le tempérament est identifié depuis l'enfance.	3. Indiquez la (ou les) réponse(s) exacte(s) concernant la personnalité et le tempérament :	UE7T130103	VRAI							
A. Il existe un continuum entre normal et pathologique	4. Indiquez la (ou les) proposition(s) exacte(s) concernant le normal et le pathologique :	UE7T130104	VRAI							
B. Il existe trois définitions de la norme : statistique, axiologique et normative	4. Indiquez la (ou les) proposition(s) exacte(s) concernant le normal et le pathologique :	UE7T130104	VRAI							
C. La définition normative est celle à privilégier d'un point de vue thérapeutique	4. Indiquez la (ou les) proposition(s) exacte(s) concernant le normal et le pathologique :	UE7T130104	FAUX	C. La définition axiologique est la plus pertinente d'un point de vue thérapeutique						
D. Le normal et le pathologique ne peuvent se définir qu'en référence à un système donné, en fonction d'une culture, d'une époque.	4. Indiquez la (ou les) proposition(s) exacte(s) concernant le normal et le pathologique :	UE7T130104	VRAI							
E. Soigné comme soignant ont les mêmes représentations de la norme, du normal et du pathologique.	4. Indiquez la (ou les) proposition(s) exacte(s) concernant le normal et le pathologique :	UE7T130104	FAUX	E. Soigné comme soignant sont pris dans leur propre représentation de la norme, du normal et du pathologique						
A. Ils font l'objet d'un diagnostic en soi	5. Indiquez la (ou les) bonne(s) réponse(s) concernant les patients présentant des troubles fonctionnels :	UE7T130105	VRAI							
B. Ils ont souvent à tort un diagnostic de pathologie autre	5. Indiquez la (ou les) bonne(s) réponse(s) concernant les patients présentant des troubles fonctionnels :	UE7T130105	VRAI							
C. Ils ont un risque de chronicité des troubles	5. Indiquez la (ou les) bonne(s) réponse(s) concernant les patients présentant des troubles fonctionnels :	UE7T130105	VRAI							
D. Leur prise en charge est avant tout verbale	5. Indiquez la (ou les) bonne(s) réponse(s) concernant les patients présentant des troubles fonctionnels :	UE7T130105	VRAI							
E. Ils ont souvent des traitements inadaptés.	5. Indiquez la (ou les) bonne(s) réponse(s) concernant les patients présentant des troubles fonctionnels :	UE7T130105	VRAI							
A. Le génotype détermine le phénotype	6. Concernant les interactions biologiques, l'environnement et la psychologie, et selon les notions abordées dans le cours, on peut dire que :	UE7T130106	FAUX	AB -­‐ Le génotype ne détermine pas le phénotype mais crée « un champ de possibles » qui seront actualisés par l'histoire						
B. Le phénotype détermine le génotype	6. Concernant les interactions biologiques, l'environnement et la psychologie, et selon les notions abordées dans le cours, on peut dire que :	UE7T130106	FAUX	mais crée un champ des possible qui seront actualisé par l'histoire						
C. Le phénotype est l'ensemble des caractéristiques observables d'un individu résultant de l'interaction du milieu dans lequel il vit et de son génome	6. Concernant les interactions biologiques, l'environnement et la psychologie, et selon les notions abordées dans le cours, on peut dire que :	UE7T130106	VRAI							
D. Le génotype est l'ensemble ou une partie donnée de la composition génétique d'un individu	6. Concernant les interactions biologiques, l'environnement et la psychologie, et selon les notions abordées dans le cours, on peut dire que :	UE7T130106	VRAI							
E. Les interactions font évoluer le débat inné, acquis vers un débat maturation, apprentissage.	6. Concernant les interactions biologiques, l'environnement et la psychologie, et selon les notions abordées dans le cours, on peut dire que :	UE7T130106	VRAI							
A. L'état civil enregistre les naissances et les décès depuis 1972	7. Concernant les données de démographie, quelles réponses sont exactes ?	UE7T130107	FAUX	A. Faux, attention il faut bien lire les propositions, l'état civil enregistre les naissances et les décès depuis 1792						
B. Le recensement effectué par l'INSEE permet une enquête longitudinale	7. Concernant les données de démographie, quelles réponses sont exactes ?	UE7T130107	FAUX	B. Faux, le recensement permet une enquête transversale						
C. Les enquêtes ad hoc s'effectuent par sondage	7. Concernant les données de démographie, quelles réponses sont exactes ?	UE7T130107	VRAI	C. Vrai						
D. L'espérance de vie est une mesure dynamique de la population	7. Concernant les données de démographie, quelles réponses sont exactes ?	UE7T130107	VRAI	D. Vrai						
E. L'INSEE (institut national de la santé et des études économiques) réalise des enquêtes de santé.	7. Concernant les données de démographie, quelles réponses sont exactes ?	UE7T130107	FAUX	E. Faux, l'INSEE est l'institut national des statistiques et des études économiques						
A. L'isolement des personnes âgées	8. Les conséquences du vieillissement portent sur :	UE7T130108	VRAI	A. Vrai						
