A. Le principe actif confère au médicament ses propriétés thérapeutiques .	14. Indiquez la (les) proposition(s) exacte(s) concernant le médicament :	UEPT140214	VRAI	A. Le principe actif est la substance qui permettra de prévenir ou guérir un état pathologique.						
B. L'excipient n'a aucun effet thérapeutique.	14. Indiquez la (les) proposition(s) exacte(s) concernant le médicament :	UEPT140214	VRAI							
C. Tout excipient est dépourvu d'effets indésirables.	14. Indiquez la (les) proposition(s) exacte(s) concernant le médicament :	UEPT140214	FAUX	C. Faux, un excipient peut entraîner un effet notoire chez certains patients comme une allergie (ex du lactose, saccharose, ...)						
D. La forme galénique a une importance sur l'effet du principe actif.	14. Indiquez la (les) proposition(s) exacte(s) concernant le médicament :	UEPT140214	VRAI	D. La forme galénique intervient dans l'action du médicament, soit afin d'avoir une action prolongée, soit pour protéger le PA (ex : formes gastro-résistantes pour protéger le PA d'une dégradation rapide à pH acide au niveau de l'estomac)						
E. Le conditionnement secondaire emballe le conditionnement primaire du médicament.	14. Indiquez la (les) proposition(s) exacte(s) concernant le médicament :	UEPT140214	VRAI							
A. Les critères de choix d'une voie d'administration tiennent compte des propriétés physico-chimiques et des propriétés pharmacocinétiques du PA.	15. Indiquez la (les) proposition(s) exacte(s) concernant les voies d'administration :	UEPT140215	VRAI	A. Vrai, ainsi que les propriétés pharmacologiques du PA.						
B. La voie de première intention est la voie buccale car celle-ci facilite l'administration d'un médicament.	15. Indiquez la (les) proposition(s) exacte(s) concernant les voies d'administration :	UEPT140215	FAUX	B. Petit piège, la voie de premier choix n'est pas la voie buccale mais la voie orale.						
C. Une dégradation d'un PA par effet de premier passage hépatique nécessite le recours à une voie alternative.	15. Indiquez la (les) proposition(s) exacte(s) concernant les voies d'administration :	UEPT140215	VRAI	C. Vrai : ex. les protéines et les peptides sont dégradés par voie orale et nécessitent donc une administration par voie parentérale.						
D. La voie pulmonaire est une voie d'administration conventionnelle.	15. Indiquez la (les) proposition(s) exacte(s) concernant les voies d'administration :	UEPT140215	FAUX	D. Faux, la voie pulmonaire est une voie alternative aux voies conventionnelles.						
E. Une action systémique implique le passage du PA dans la circulation générale.	15. Indiquez la (les) proposition(s) exacte(s) concernant les voies d'administration :	UEPT140215	VRAI							
A. Une solution n'est pas utilisable par voie percutanée contrairement à une pommade.	16. Indiquez la (les) proposition(s) exacte(s) concernant les excipients et les voies d'administration :	UEPT140216	FAUX	A. Des solutions sont tout à fait utilisables par voie percutanée, ce sont les lotions utilisées pour un usage externe (application sur la peau)						
B. Un des critères de choix d'une forme d'administration est basé sur la stabilité du PA.	16. Indiquez la (les) proposition(s) exacte(s) concernant les excipients et les voies d'administration :	UEPT140216	VRAI							
C. La forme « comprimé » est administrable par voie vaginale.	16. Indiquez la (les) proposition(s) exacte(s) concernant les excipients et les voies d'administration :	UEPT140216	VRAI							
D. Les excipients sont décrits dans la pharmacopée.	16. Indiquez la (les) proposition(s) exacte(s) concernant les excipients et les voies d'administration :	UEPT140216	VRAI							
E. Selon la forme galénique, les excipients sont appelés différemment : « base » dans les préparations liquides et « Véhicule » dans les préparations semi-solides .	16. Indiquez la (les) proposition(s) exacte(s) concernant les excipients et les voies d'administration :	UEPT140216	FAUX	E. C'est l'inverse : « véhicule » dans les préparations liquides et « base » dans les préparations semi-solides (pommades, crèmes).						
A. La DCI est généralement identique au nom de la formule chimique de la molécule.	17. Indiquez la (les) proposition(s) exacte(s) concernant ces généralités :	UEPT140217	FAUX	A. La DCI est complètement différente du nom de la formule chimique de la molécule, elle correspond au nom du principe actif.						
