A. Une dispersion est composée de 2 phases miscibles	14. Indiquez la (les) proposition(s) exacte(s) concernant les dispersions :	UEPT140314	FAUX	A. Une dispersion est composée de 2 phases non miscibles.						
B. La phase dite « interne » est aussi appelée « discontinue »	14. Indiquez la (les) proposition(s) exacte(s) concernant les dispersions :	UEPT140314	VRAI							
C. Une émulsion est un mélange liquide-solide.	14. Indiquez la (les) proposition(s) exacte(s) concernant les dispersions :	UEPT140314	FAUX	C. Une dispersion liquide-solide est une suspension, une émulsion est un mélange liquide-liquide.						
D. Une suspension est un solide dispersé dans un gaz.	14. Indiquez la (les) proposition(s) exacte(s) concernant les dispersions :	UEPT140314	VRAI	D. Une dispersion solide dans un gaz est un aérosol.						
E. La phase dispersante est continue.	14. Indiquez la (les) proposition(s) exacte(s) concernant les dispersions :	UEPT140314	FAUX							
A. Les sédiments défloculés sont des flocons lâches qui occupent un volume important.	15. Indiquez la (les) proposition(s) exacte(s) concernant les suspensions :	UEPT140315	FAUX	A. Les sédiments floculés sont des flocons lâches qui occupent un volume important, ils sont facilement redispersible.						
B. La phase dispersée est souvent huileuse ou aqueuse.	15. Indiquez la (les) proposition(s) exacte(s) concernant les suspensions :	UEPT140315	FAUX	B. La phase dispersée est solide. Elle est dispersée dans la phase dispersante qui elle est un liquide huileux ou aqueux.						
C. Les agents floculants augmente la force de répulsion entre les particules afin de provoquer une floculation et ainsi augmenter la dispersion.	15. Indiquez la (les) proposition(s) exacte(s) concernant les suspensions :	UEPT140315	FAUX	C. Les agents floculants réduisent les forces de répulsion pour faciliter l'obtention de sédiments peu denses, facilement redispersible.						
D. Les suspensions sont conçues pour administrer des PA insolubles.	15. Indiquez la (les) proposition(s) exacte(s) concernant les suspensions :	UEPT140315	VRAI							
E. Les agents mouillant baissent la tension de surface à l'interface des phases, ce sont des tensio-actifs.	15. Indiquez la (les) proposition(s) exacte(s) concernant les suspensions :	UEPT140315	VRAI							
A. Une émulsion dite « E/H » et une émulsion dite « L/H » sont toute deux dans le même sens d'émulsion.	16. Indiquez la (les) proposition(s) exacte(s) concernant les émulsions :	UEPT140316	FAUX	A. E/H = Eau dans Huile et L/H = Lipophile dans hydrophile						
B. Une émulsion est une dispersion de 2 liquides miscibles.	16. Indiquez la (les) proposition(s) exacte(s) concernant les émulsions :	UEPT140316	FAUX	B. NON miscible.						
C. Le phénomène de sédimentation est le fait que la phase dispersée se retrouve dans le culot.	16. Indiquez la (les) proposition(s) exacte(s) concernant les émulsions :	UEPT140316	VRAI							
D. La tension interfaciale tend à réduire la surface de contact entre les 2 phases.	16. Indiquez la (les) proposition(s) exacte(s) concernant les émulsions :	UEPT140316	VRAI							
E. On ne considère pas une émulsion instable même en cas de sédimentation ou de crémage car ces 2 phénomènes sont facilement réversibles.	16. Indiquez la (les) proposition(s) exacte(s) concernant les émulsions :	UEPT140316	FAUX	E. Une émulsion est instable dès qu'un de ces phénomènes se produisent.						
A. Une suspension est utilisable par voie injectable parentérale.	17. Indiquez la (les) proposition(s) exacte(s) concernant les émulsions et les dispersions :	UEPT140317	VRAI							
B. Une émulsion est utilisable par voie orale.	17. Indiquez la (les) proposition(s) exacte(s) concernant les émulsions et les dispersions :	UEPT140317	VRAI							
C. Une émulsion est utilisable par voie intramusculaire.	17. Indiquez la (les) proposition(s) exacte(s) concernant les émulsions et les dispersions :	UEPT140317	VRAI							
D. Les suspensions ne sont pas toutes déjà « prête à l'emploi », elles sont souvent à reconstituer avant emploi.	17. Indiquez la (les) proposition(s) exacte(s) concernant les émulsions et les dispersions :	UEPT140317	VRAI							
E. Une émulsion peut servir de base pour une préparation dermatologique ou cosmétologique.	17. Indiquez la (les) proposition(s) exacte(s) concernant les émulsions et les dispersions :	UEPT140317	VRAI							
A. Un aérosol peut être une préparation solide.	18. Indiquez la (les) proposition(s) exacte(s) concernant les aérosols :	UEPT140318	VRAI							
B. On atteint facilement les bronchioles pulmonaires avec des particules d'environ 30μm.	18. Indiquez la (les) proposition(s) exacte(s) concernant les aérosols :	UEPT140318	FAUX	B. Pour atteindre les bronchioles terminales, il faut des particules entre 10 et 3μm.						
C. Les préparations pharmaceutiques conditionnées en récipient pressurisée sont inscrites à la pharmacopée européenne, pour les voies nasale et cutanée.	18. Indiquez la (les) proposition(s) exacte(s) concernant les aérosols :	UEPT140318	VRAI							
D. Pour un pulvérisateur inhalateur, le gaz liquéfiés peut également servir de véhicule pour les PA.	18. Indiquez la (les) proposition(s) exacte(s) concernant les aérosols :	UEPT140318	VRAI							
E. Les préparations de liquides dispersées au moyen de nébuliseur sont des dispositifs qui permettent l'inhalation de doses précises.	18. Indiquez la (les) proposition(s) exacte(s) concernant les aérosols :	UEPT140318	VRAI							
A. Les médicaments pour cette voie ne sont pas faciles à fabriquer.	19.Indiquez la (les) proposition(s) exacte(s) concernant la voie orale.	UEPT140319	FAUX							
B. La voie orale de forme liquide permet une précision du dosage.	19.Indiquez la (les) proposition(s) exacte(s) concernant la voie orale.	UEPT140319	FAUX	B: faux : la prise de formes liquides pour la voie orale comme les sirops, suspensions buvables, ... ne permettent pas une précision de dosage (prise du médicament par une cuillère à soupe ou à café !) par contre les formes unitaires comme les gélules, les comprimés....permettent une précision du dosage.						
C. L'évacuation est possible en cas d'erreur.	19.Indiquez la (les) proposition(s) exacte(s) concernant la voie orale.	UEPT140319	VRAI							
D. Il faut prendre en compte les interactions du PA avec le tube digestif et les aliments.	19.Indiquez la (les) proposition(s) exacte(s) concernant la voie orale.	UEPT140319	VRAI							
E. Il ne faut pas prendre en compte les caractères organoleptiques du PA.	19.Indiquez la (les) proposition(s) exacte(s) concernant la voie orale.	UEPT140319	FAUX	E. Faux, Les caractères organoleptiques sont le gout et l'odeur particulièrement mais aussi le visuel.						
A. Plus le diamètre des particules de poudre diminuent, plus le volume de poudre diminue.	20. Indiquez la (les) proposition(s) exacte(s) concernant les poudres orales.	UEPT140320	VRAI							
B. L'effervescence des poudres met en jeu une réaction basique.	20. Indiquez la (les) proposition(s) exacte(s) concernant les poudres orales.	UEPT140320	FAUX	B. Faux, Effervescentes : Ac + carbonates =H2O=> Libération de CO2						
C. Les poudres à grains libres ne sont conditionnées que dans des enveloppes non absorbables.	20. Indiquez la (les) proposition(s) exacte(s) concernant les poudres orales.	UEPT140320	FAUX	C. Faux, ... ou dans des enveloppes absorbables en gélatine pour capsules ou gélules.						
