labelAnswer|title|slug|answer|commentAnswer|summary|content|authorEmail|||
A. Tous les atomes de la mol&eacute;cule (1) respectent la r&egrave;gle de l'octet (ou du duet pour les atomes d'hydrog&egrave;nes).|1. On consid&egrave;re les quatre mol&eacute;cules suivantes :|UE1T130101|FAUX|A. D'apr&egrave;s la classification p&eacute;riodique des &eacute;l&eacute;ments, le bore est un atome trivalent, qui ne peut &eacute;tablir que trois liaisons covalentes, et qui n'a aucun doublet &eacute;lectronique non liant. Il poss&egrave;de donc une lacune &eacute;lectronique (ce qui le rend &eacute;lectrophile) et ne respecte pas la r&egrave;gle de l'octet : on compte 2 &eacute;lectrons pour chaque liaison covalente, ce qui fait 6 &eacute;lectrons sur la couche p&eacute;riph&eacute;rique.|"<img src=""UE1T13s1.1.png"" />"|||||
B. Tous les atomes de la mol&eacute;cule (2) respectent la r&egrave;gle de l'octet (ou du duet pour les atomes d'hydrog&egrave;nes).|1. On consid&egrave;re les quatre mol&eacute;cules suivantes :|UE1T130101|VRAI|B. Tous les atomes de la mol&eacute;cule (2) respectent bien ces r&egrave;gles : pour le v&eacute;rifier, il faut dessiner les doublets non liants &agrave; partir de la classification p&eacute;riodique des &eacute;l&eacute;ments, puis compter le nombre d'&eacute;lectrons sur la couche p&eacute;riph&eacute;rique de chaque atome (2 pour chaque doublet non liant et 2 pour chaque liaison covalente).|"<img src=""UE1T13s1.2.png"" />"|||||
C. Tous les atomes de la mol&eacute;cule (3) respectent la r&egrave;gle de l'octet (ou du duet pour les atomes d'hydrog&egrave;nes).|1. On consid&egrave;re les quatre mol&eacute;cules suivantes :|UE1T130101|FAUX|C. Toujours d'apr&egrave;s la classification p&eacute;riodique des &eacute;l&eacute;ments, le soufre poss&egrave;de 6 &eacute;lectrons sur sa couche p&eacute;riph&eacute;rique et poss&egrave;de une structure &eacute;lectronique qui peut facilement &ecirc;tre excit&eacute;e (du fait de la pr&eacute;sence d'une sous-couche 3d) pour former 6 liaisons covalentes. Ici, il ne respecte donc pas la r&egrave;gle de l'octet : il y a 12 &eacute;lectrons sur sa couche p&eacute;riph&eacute;rique.|"<img src=""UE1T13s1.3.png"" />"|||||
D. Tous les atomes de la mol&eacute;cule (4) respectent la r&egrave;gle de l'octet (ou du duet pour les atomes d'hydrog&egrave;nes).|1. On consid&egrave;re les quatre mol&eacute;cules suivantes :|UE1T130101|VRAI|D. Dans une formule zig-zag ne repr&eacute;sentant que des atomes de carbone et d'hydrog&egrave;ne, s'il n'y a rien de particulier (carbocation...), il est sous-entendu que tous les atomes respectent ces r&egrave;gles : c'est le cas ici.|"<img src=""UE1T13s1.4.png"" />"|||||
E. Tous les atomes qui ne respectent pas la r&egrave;gle du duet respectent la r&egrave;gle de l'octet.|1. On consid&egrave;re les quatre mol&eacute;cules suivantes :|UE1T130101|FAUX|E. Les atomes de bore, de soufre mais aussi de phosphore, par exemple, ne respectent parfois aucune de ces deux r&egrave;gles.||||||
A. Cette mol&eacute;cule poss&egrave;de 8 carbones.|2. On consid&egrave;re la mol&eacute;cule suivante :|UE1T130102|VRAI||"<img src=""UE1T13s2.png"" />"|||||
B. Cette mol&eacute;cule poss&egrave;de 16 hydrog&egrave;nes.|2. On consid&egrave;re la mol&eacute;cule suivante :|UE1T130102|VRAI||"<img src=""UE1T13s2.png"" />"|||||
C. Cette mol&eacute;cule poss&egrave;de 18 hydrog&egrave;nes.|2. On consid&egrave;re la mol&eacute;cule suivante :|UE1T130102|FAUX|16|"<img src=""UE1T13s2.png"" />"|||||
D. L'atome not&eacute; « a » est hybrid&eacute; sp3 .|2. On consid&egrave;re la mol&eacute;cule suivante :|UE1T130102|FAUX|D. Pour d&eacute;terminer l'&eacute;tat d'hybridation d'un atome on peut utiliser la « formule » : (nbre de liaisons σ + nbre de doublets non liants) – 1 = &eacute;tat d'hybridation. Pour le carbone not&eacute; « a » on a : 3 + 0 – 1 = 2, cet atome est hybrid&eacute; sp2.|"<img src=""UE1T13s2.png"" />"|||||
E. L'atome not&eacute; « a » est hybrid&eacute; sp2.|2. On consid&egrave;re la mol&eacute;cule suivante :|UE1T130102|VRAI||"<img src=""UE1T13s2.png"" />"|||||
