labelAnswer|title|slug|answer|commentAnswer|summary|content|authorEmail|||
<div>A. Le rubidium (Rb).</div><div>B. Le tellure(Te).</div><div>C. Le fluor (F).</div><div>D. Le soufre (S).</div><div>E. Le chlore (Cl).</div>|1. Parmi les atomes cit&eacute;s, lequel est le plus &eacute;lectron&eacute;gatif.|UE1T130201|C|||||||
<div>A. Le rubidium (Rb)</div><div>B. Le tellure(Te)</div><div>C. Le fluor (F)</div><div>D. Le soufre (S)</div><div>E. Le chlore (Cl)</div>|2. Parmi les atomes cit&eacute;s, lequel a le rayon atomique le plus grand.|UE1T130202|A|||||||
A. 16O et 18O sont des isotopes.|3. Parmi les propositions suivantes, indiquez la (les) proposition(s) exacte(s). un &eacute;lectron peut &ecirc;tre caract&eacute;ris&eacute; par les nombres quantiques suivants :|UE1T130203|VRAI|||||||
B. 14N et 15N sont isobares.|3. Parmi les propositions suivantes, indiquez la (les) proposition(s) exacte(s). un &eacute;lectron peut &ecirc;tre caract&eacute;ris&eacute; par les nombres quantiques suivants :|UE1T130203|FAUX|||||||
C. 14N et 14C sont isobares.|3. Parmi les propositions suivantes, indiquez la (les) proposition(s) exacte(s). un &eacute;lectron peut &ecirc;tre caract&eacute;ris&eacute; par les nombres quantiques suivants :|UE1T130203|VRAI|||||||
D. Cl- et Ar sont iso&eacute;lectroniques.|3. Parmi les propositions suivantes, indiquez la (les) proposition(s) exacte(s). un &eacute;lectron peut &ecirc;tre caract&eacute;ris&eacute; par les nombres quantiques suivants :|UE1T130203|VRAI|||||||
E. Ar et Kr sont iso&eacute;lectroniques.|3. Parmi les propositions suivantes, indiquez la (les) proposition(s) exacte(s). un &eacute;lectron peut &ecirc;tre caract&eacute;ris&eacute; par les nombres quantiques suivants :|UE1T130203|FAUX|||||||
A. n=4 ; l=1 ; ml=-1 ; ms=+1/2|4. Parmi les propositions suivantes, indiquez la (les) proposition(s) exacte(s).|UE1T130204|VRAI|||||||
B. n=1 ; l=1 ; ml=0 ; ms=-1/2|4. Parmi les propositions suivantes, indiquez la (les) proposition(s) exacte(s).|UE1T130204|FAUX|B. l doit &ecirc;tre compris entre 0 et n-1, ici l ne peut &ecirc;tre &eacute;gal qu'&agrave; 0.||||||
C. n=3 ; l=2 ; ml=1 ; ms=-1|4. Parmi les propositions suivantes, indiquez la (les) proposition(s) exacte(s).|UE1T130204|FAUX|C. ms ne peut &ecirc;tre &eacute;gal qu'&agrave; +1/2 ou -1/2.||||||
D. n=2 ; l=2 ; ml=-2 ; ms=+1/2|4. Parmi les propositions suivantes, indiquez la (les) proposition(s) exacte(s).|UE1T130204|FAUX|D.l doit &ecirc;tre compris entre 0 et n-1, ici l ne peut &ecirc;tre &eacute;gal qu'&agrave; 0 ou 1.||||||
E. n=1 ; l=0 ; ml=0 ; ms=+1/2|4. Parmi les propositions suivantes, indiquez la (les) proposition(s) exacte(s).|UE1T130204|VRAI|||||||
