labelAnswer|title|slug|answer|commentAnswer|summary|content|authorEmail|||
A) 3 centim&egrave;tres|1- Indiquez l'ordre de grandeur de la taille d'une grille de microscopie &eacute;lectronique|UE2A0701|FAUX|3 mm||||||
B) 300 nanom&egrave;tres|1- Indiquez l'ordre de grandeur de la taille d'une grille de microscopie &eacute;lectronique|UE2A0701|FAUX|3 mm||||||
C) 3 nanom&egrave;tres|1- Indiquez l'ordre de grandeur de la taille d'une grille de microscopie &eacute;lectronique|UE2A0701|FAUX|3 mm||||||
D) 3 millim&egrave;tres|1- Indiquez l'ordre de grandeur de la taille d'une grille de microscopie &eacute;lectronique|UE2A0701|VRAI|||||||
E) 3 microns|1- Indiquez l'ordre de grandeur de la taille d'une grille de microscopie &eacute;lectronique|UE2A0701|FAUX|3 mm||||||
A) II est indispensable de d&eacute;shydrater l'&eacute;chantillon|2- Indiquez les 3 propositions exactes concernant la microscopie &eacute;lectronique|UE2A0702|VRAI|||||||
B) L'air ambiant est remplac&eacute; par le vide|2- Indiquez les 3 propositions exactes concernant la microscopie &eacute;lectronique|UE2A0702|VRAI|||||||
C) II est indispensable de congeler l'&eacute;chantillon|2- Indiquez les 3 propositions exactes concernant la microscopie &eacute;lectronique|UE2A0702|FAUX|||||||
D) Les photons sont remplac&eacute;s par des &eacute;lectrons|2- Indiquez les 3 propositions exactes concernant la microscopie &eacute;lectronique|UE2A0702|VRAI|||||||
E) L'inclusion est inutile|2- Indiquez les 3 propositions exactes concernant la microscopie &eacute;lectronique|UE2A0702|FAUX|||||||
A) II forment le glycocalyx|3- Indiquez les 2 propositions exactes concernant les sucres de la membrane plasmique|UE2A0703|VRAI|||||||
B) Il se voient en microscopie optique|3- Indiquez les 2 propositions exactes concernant les sucres de la membrane plasmique|UE2A0703|FAUX|||||||
C) Ils sont form&eacute;s par adsorption des sucres extra cellulaires|3- Indiquez les 2 propositions exactes concernant les sucres de la membrane plasmique|UE2A0703|FAUX|||||||
D) On peut les visualiser en microscopie &eacute;lectronique|3- Indiquez les 2 propositions exactes concernant les sucres de la membrane plasmique|UE2A0703|VRAI|||||||
E) Ils forment une couche s&eacute;par&eacute;e de la membrane|3- Indiquez les 2 propositions exactes concernant les sucres de la membrane plasmique|UE2A0703|FAUX|||||||
A) Dynamique|4- Indiquez les 3 propri&eacute;t&eacute;s exactes concernant les membranes|UE2A0704|VRAI|||||||
B) Fluide|4- Indiquez les 3 propri&eacute;t&eacute;s exactes concernant les membranes|UE2A0704|VRAI|||||||
C) Elles sont toutes en continuit&eacute; les unes avec les autres|4- Indiquez les 3 propri&eacute;t&eacute;s exactes concernant les membranes|UE2A0704|FAUX|||||||
D) Ont toutes la m&ecirc;me composition biochimique|4- Indiquez les 3 propri&eacute;t&eacute;s exactes concernant les membranes|UE2A0704|FAUX|||||||
E) Asym&eacute;trique|4- Indiquez les 3 propri&eacute;t&eacute;s exactes concernant les membranes|UE2A0704|VRAI|||||||
A) Lumi&egrave;re de la v&eacute;sicule s&eacute;cr&eacute;toire|5- Indiquez le ou les &eacute;l&eacute;ments topologiquement &eacute;quivalent au cytosol|UE2A0705|FAUX|||||||
B) Noyau|5- Indiquez le ou les &eacute;l&eacute;ments topologiquement &eacute;quivalent au cytosol|UE2A0705|VRAI|||||||
C) Chambre mitochondriale externe|5- Indiquez le ou les &eacute;l&eacute;ments topologiquement &eacute;quivalent au cytosol|UE2A0705|FAUX|||||||
D) Lumi&egrave;re du Golgi|5- Indiquez le ou les &eacute;l&eacute;ments topologiquement &eacute;quivalent au cytosol|UE2A0705|FAUX|||||||
E) Cytosol|5- Indiquez le ou les &eacute;l&eacute;ments topologiquement &eacute;quivalent au cytosol|UE2A0705|VRAI|||||||
A) Portillon|6- Indiquez deux modes de transport courant utilis&eacute;s par la cellule pour faire passer une prot&eacute;ine d'un compartiment &agrave; un autre topologiquement identique|UE2A0706|VRAI|||||||
B) Translocation &agrave; travers une membrane|6- Indiquez deux modes de transport courant utilis&eacute;s par la cellule pour faire passer une prot&eacute;ine d'un compartiment &agrave; un autre topologiquement identique|UE2A0706|FAUX|||||||
C) Cr&eacute;ation de v&eacute;sicules|6- Indiquez deux modes de transport courant utilis&eacute;s par la cellule pour faire passer une prot&eacute;ine d'un compartiment &agrave; un autre topologiquement identique|UE2A0706|VRAI|||||||
D) Translocation &agrave; travers deux membranes|6- Indiquez deux modes de transport courant utilis&eacute;s par la cellule pour faire passer une prot&eacute;ine d'un compartiment &agrave; un autre topologiquement identique|UE2A0706|FAUX|||||||
