labelAnswer|title|slug|answer|commentAnswer|summary|content|authorEmail|||
A. L'exocytose sert &agrave; absorber les substances de la MEC (matrice extra cellulaire)|1) Concernant le passage par v&eacute;sicule quelles sont les deux propositions vraies|UE2S110401|FAUX|A. s&eacute;cr&eacute;ter||||||segmo
B. La pinocytose est un type d'entr&eacute;e de la voie endocytaire|1) Concernant le passage par v&eacute;sicule quelles sont les deux propositions vraies|UE2S110401|VRAI|||||||segmo
C. La pinocytose sert &agrave; l'absorption des bact&eacute;ries|1) Concernant le passage par v&eacute;sicule quelles sont les deux propositions vraies|UE2S110401|FAUX|C. la pinocytose permet l'entr&eacute; de liquide et de v&eacute;sicule de tr&egrave;s faible diam&egrave;tre||||||segmo
D. La phagocytose sert notamment &agrave; l'&eacute;limination des cellules mortes|1) Concernant le passage par v&eacute;sicule quelles sont les deux propositions vraies|UE2S110401|VRAI|||||||segmo
E. L'endocytose n'utilise pas de v&eacute;sicule|1) Concernant le passage par v&eacute;sicule quelles sont les deux propositions vraies|UE2S110401|FAUX|||||||segmo
A. C'est un type de transport sp&eacute;cifique|2) Concernant l'endocytose par r&eacute;cepteurs, quelles sont les trois propositions vraies|UE2S110402|VRAI|||||||segmo
B. Les r&eacute;cepteurs utilis&eacute;s sont des prot&eacute;ines ancr&eacute;s &agrave; la membrane plasmique|2) Concernant l'endocytose par r&eacute;cepteurs, quelles sont les trois propositions vraies|UE2S110402|FAUX|B. ce sont des prot&eacute;ines transmembranaires||||||segmo
C. L'endocytose peut &ecirc;tre r&eacute;gul&eacute;|2) Concernant l'endocytose par r&eacute;cepteurs, quelles sont les trois propositions vraies|UE2S110402|VRAI|||||||segmo
D. L'endocytose peut &ecirc;tre constitutive|2) Concernant l'endocytose par r&eacute;cepteurs, quelles sont les trois propositions vraies|UE2S110402|VRAI|||||||segmo
E. On compte environ une dizaine de r&eacute;cepteurs par v&eacute;sicule|2) Concernant l'endocytose par r&eacute;cepteurs, quelles sont les trois propositions vraies|UE2S110402|FAUX|E. des milliers||||||segmo
B. Les clathrines sont les r&eacute;cepteurs les plus utilis&eacute;s lors de l'endocytose|3) Indiquer la ou les proposition(s) vraie(s)|UE2S110403|FAUX|B. les sous unit&eacute;s de clathrine forme un manteau. Ce ne sont pas des r&eacute;cepteurs.||||||segmo
C. 3 trisk&eacute;lion + 3 cha&icirc;nes l&eacute;g&egrave;res forme une sous unit&eacute; de clathrine|3) Indiquer la ou les proposition(s) vraie(s)|UE2S110403|FAUX|C. 3 cha&icirc;nes l&eacute;g&egrave;res + 3 cha&icirc;nes lourde =un trisk&eacute;lion||||||segmo
A. L'adaptine relie la clathrine aux extr&eacute;mit&eacute;s extracellulaire des r&eacute;cepteurs|4) Concernant les prot&eacute;ines des v&eacute;sicules &agrave; manteau de clathrine, quelle est la proposition exacte|UE2S110404|FAUX|A. extr&eacute;mit&eacute; cytosolique||||||segmo
B. La dynamine est une GTPase|4) Concernant les prot&eacute;ines des v&eacute;sicules &agrave; manteau de clathrine, quelle est la proposition exacte|UE2S110404|VRAI|||||||segmo
C. Des prot&eacute;ines de choc thermique sont n&eacute;cessaires pour la liaison des &eacute;l&eacute;ments transport&eacute;s aux r&eacute;cepteurs|4) Concernant les prot&eacute;ines des v&eacute;sicules &agrave; manteau de clathrine, quelle est la proposition exacte|UE2S110404|FAUX|C. n&eacute;cessaire pour la dissociation du manteau de clathrine||||||segmo
D. Cette liaison (&eacute;l&eacute;ment transport&eacute;/r&eacute;cepteur) n&eacute;cessite de l'&eacute;nergie.|4) Concernant les prot&eacute;ines des v&eacute;sicules &agrave; manteau de clathrine, quelle est la proposition exacte|UE2S110404|FAUX|||||||segmo
E. La liaison &eacute;l&eacute;ments transport&eacute; / r&eacute;cepteur repose sur des liaisons covalentes|4) Concernant les prot&eacute;ines des v&eacute;sicules &agrave; manteau de clathrine, quelle est la proposition exacte|UE2S110404|FAUX|E. liaison faible et sans utilisation d'&eacute;nergie||||||segmo
A. v&eacute;sicule-invagination de la membrane- lysosome- endosomes|5) Concernant l'endocytose, quel est l'ordre exacte des &eacute;tapes de transport :|UE2S110405|FAUX|||||||segmo
B. endosomes-v&eacute;sicule-invagination de la membrane-lysosome|5) Concernant l'endocytose, quel est l'ordre exacte des &eacute;tapes de transport :|UE2S110405|FAUX|||||||segmo
C. invagination de la membrane-v&eacute;sicule-lysosome-endosomes|5) Concernant l'endocytose, quel est l'ordre exacte des &eacute;tapes de transport :|UE2S110405|FAUX|||||||segmo
D. invagination de la membrane-v&eacute;sicule-endosomes-lysosome|5) Concernant l'endocytose, quel est l'ordre exacte des &eacute;tapes de transport :|UE2S110405|VRAI|||||||segmo
E. lysosome- endosomes-invagination de la membrane-v&eacute;sicule|5) Concernant l'endocytose, quel est l'ordre exacte des &eacute;tapes de transport :|UE2S110405|FAUX|||||||segmo
A. la phagocytose fait rentrer du mat&eacute;riel solide de grande taille dans la cellule|6) Parmi les propositions suivantes, quelles sont la ou les propositions vraies|UE2S110406|VRAI|||||||segmo
B. les macrophages et neutrophiles sont des «phagocytes professionnels »|6) Parmi les propositions suivantes, quelles sont la ou les propositions vraies|UE2S110406|VRAI|||||||segmo
C. la phagocytose n'utilise pas de r&eacute;cepteurs et ce n'est donc pas un transport sp&eacute;cifique|6) Parmi les propositions suivantes, quelles sont la ou les propositions vraies|UE2S110406|FAUX|||||||segmo
D. la pinocytose sert &agrave; absorber des &eacute;l&eacute;ments solides|6) Parmi les propositions suivantes, quelles sont la ou les propositions vraies|UE2S110406|FAUX|D. liquide||||||segmo
