labelAnswer|title|slug|answer|commentAnswer|summary|content|authorEmail|||
A. Le plus important courant des myocytes cardiaques est le courant I Na .|1. Concernant les courants d&eacute;polarisants, indiquez la ou les proposition(s) exacte(s) :|UE3T141101|VRAI|||||||
B. Le courant I Na permet l'initiation du potentiel d'action.|1. Concernant les courants d&eacute;polarisants, indiquez la ou les proposition(s) exacte(s) :|UE3T141101|VRAI|||||||
C. Le canal sodique est bloqu&eacute; par les anesth&eacute;siques locaux.|1. Concernant les courants d&eacute;polarisants, indiquez la ou les proposition(s) exacte(s) :|UE3T141101|VRAI|||||||
D. Le canal sodique est form&eacute; d'une sous-unit&eacute; α compos&eacute;e de 4 domaines homologues.|1. Concernant les courants d&eacute;polarisants, indiquez la ou les proposition(s) exacte(s) :|UE3T141101|VRAI|||||||
E. Chacun des domaines (du canal sodique) est form&eacute; de 4 segments transmembranaires.|1. Concernant les courants d&eacute;polarisants, indiquez la ou les proposition(s) exacte(s) :|UE3T141101|FAUX|E. Faux, 1 domaine = 6 segments transmembranaires.||||||
A. Les canaux potassiques jouent un r&ocirc;le dans les diff&eacute;rentes phases de d&eacute;polarisation des cellules moycardiques.|2. Concernant les courants repolarisants, indiquez la ou les proposition(s) exacte(s) :|UE3T141102|FAUX|A. Faux, canaux potassiques = phases de repolarisation.||||||
B. Les canaux potassiques &agrave; 4 segments transmembranaires sont les plus fr&eacute;quents.|2. Concernant les courants repolarisants, indiquez la ou les proposition(s) exacte(s) :|UE3T141102|FAUX|B. Faux, ce sont les canaux &agrave; 6 segments qui sont les plus courants.||||||
C. Le courant I K1 utilise un canal potassique &agrave; 6 segments transmembranaires.|2. Concernant les courants repolarisants, indiquez la ou les proposition(s) exacte(s) :|UE3T141102|FAUX|C. Faux, I K1 utilise un canal &agrave; 2 segments.<br>c'est I t0||||||
D. Le courant I t0 utilise un canal potassique &agrave; 4 segments transmembranaires.|2. Concernant les courants repolarisants, indiquez la ou les proposition(s) exacte(s) :|UE3T141102|FAUX|D. Faux, I t0 = canal &agrave; 6 segments.||||||
E. Les canaux potassiques &agrave; 2 segments transmembranaires sont des pores potassiques laissant passer les ions d&egrave;s que le potentiel de membrane s'&eacute;loigne d'E K .|2. Concernant les courants repolarisants, indiquez la ou les proposition(s) exacte(s) :|UE3T141102|VRAI|||||||
A. Le nœud sinusal poss&egrave;de un potentiel de repos instable.|3. Concernant l'activit&eacute; &eacute;lectrique du nœud sinusal, indiquez la ou les proposition(s) exacte(s) :|UE3T141103|VRAI|||||||
B. Le nœud sinusal se d&eacute;polarise spontan&eacute;ment.|3. Concernant l'activit&eacute; &eacute;lectrique du nœud sinusal, indiquez la ou les proposition(s) exacte(s) :|UE3T141103|VRAI|||||||
C. La phase ascendante lente (phase 0) est principalement d&eacute;pendante du courant I b,Na .|3. Concernant l'activit&eacute; &eacute;lectrique du nœud sinusal, indiquez la ou les proposition(s) exacte(s) :|UE3T141103|FAUX|C. Faux, elle est surtout d&eacute;pendante du courant I Ca,L .||||||
D. Le courant pacemaker I f permet le contr&ocirc;le de la fr&eacute;quence cardiaque car il maintient un rythme spontan&eacute;.|3. Concernant l'activit&eacute; &eacute;lectrique du nœud sinusal, indiquez la ou les proposition(s) exacte(s) :|UE3T141103|VRAI|||||||
E. Le nœud sinusal est caract&eacute;ris&eacute; par un potentiel membranaire diastolique moins n&eacute;gatif que les autres cellules myocardiques.|3. Concernant l'activit&eacute; &eacute;lectrique du nœud sinusal, indiquez la ou les proposition(s) exacte(s) :|UE3T141103|VRAI|||||||
A. Les ions chlorure bicarbonate HCO^-3 sont plus concentr&eacute;s dans le milieu intracellulaire que dans le milieu intracellulaire.|4. Concernant l'&eacute;quilibre de masse et l'hom&eacute;ostasie, indiquez la ou les proposition(s) exacte(s) :|UE3T141104|FAUX|A. Faux, les ions HCO^3- sont principalement en extracellulaire.||||||
B. Le compartiment extracellulaire est plus volumineux que le compartiment intracellulaire.|4. Concernant l'&eacute;quilibre de masse et l'hom&eacute;ostasie, indiquez la ou les proposition(s) exacte(s) :|UE3T141104|FAUX|B. Faux, le milieu intracellulaire est le plus volumineux (2/3 de l'eau totale).||||||
C. La liposolubilit&eacute; des mol&eacute;cules conditionne leur passage &agrave; travers la membrane cellulaire.|4. Concernant l'&eacute;quilibre de masse et l'hom&eacute;ostasie, indiquez la ou les proposition(s) exacte(s) :|UE3T141104|VRAI|||||||
D. La diffusion passive implique un gradient de concentration imposant la direction du flux.|4. Concernant l'&eacute;quilibre de masse et l'hom&eacute;ostasie, indiquez la ou les proposition(s) exacte(s) :|UE3T141104|VRAI|||||||
E. Les petites mol&eacute;cules diffusent plus facilement &agrave; travers la membrane cellulaire que les mol&eacute;cules de haut poids mol&eacute;culaire.|4. Concernant l'&eacute;quilibre de masse et l'hom&eacute;ostasie, indiquez la ou les proposition(s) exacte(s) :|UE3T141104|VRAI|||||||
A. Le transporteur SGLT utilise l'&eacute;nergie du gradient de concentration du sodium.|5. Concernant les transports actifs secondaires, indiquez la ou les proposition(s) exacte(s) :|UE3T141105|VRAI|||||||
B. Le transporteur SGLT est un symport Na+ /glucose.|5. Concernant les transports actifs secondaires, indiquez la ou les proposition(s) exacte(s) :|UE3T141105|VRAI|||||||
C. Le transporteur SGLT permet de faire sortir le glucose de la cellule.|5. Concernant les transports actifs secondaires, indiquez la ou les proposition(s) exacte(s) :|UE3T141105|FAUX|C. Faux, SGLT = entr&eacute;e du glucose (mais aucune sortie !)||||||
D. La liaison du glucose provoque un changement de conformation spatiale du transporteur SGLT.|5. Concernant les transports actifs secondaires, indiquez la ou les proposition(s) exacte(s) :|UE3T141105|VRAI|||||||
E. Le transporteur SGLT permet la lib&eacute;ration de sodium et de glucose dans la cellule.|5. Concernant les transports actifs secondaires, indiquez la ou les proposition(s) exacte(s) :|UE3T141105|VRAI|||||||
A. Il existe deux types de sources de champ magn&eacute;tique.|6. Concernant le magn&eacute;tisme, indiquez la ou les proposition(s) exacte(s) :|UE3T141106|VRAI|A. Vrai, les aimants et les circuits &eacute;lectriques.||||||
B. Les aimants sont caract&eacute;ris&eacute;s par un p&ocirc;le Sud et un p&ocirc;le Nord, dissociables l'un de l'autre.|6. Concernant le magn&eacute;tisme, indiquez la ou les proposition(s) exacte(s) :|UE3T141106|FAUX|B. Faux, les 2 p&ocirc;les sont indissociables.||||||
C. Les lignes de champ magn&eacute;tique se dirigent du p&ocirc;le Nord au p&ocirc;le Sud.|6. Concernant le magn&eacute;tisme, indiquez la ou les proposition(s) exacte(s) :|UE3T141106|VRAI|||||||
D. Un circuit &eacute;lectrique contient des porteurs de charge anim&eacute;s d'une certaine vitesse.|6. Concernant le magn&eacute;tisme, indiquez la ou les proposition(s) exacte(s) :|UE3T141106|VRAI|||||||
E. La valeur d'un champ magn&eacute;tique s'exprime en Tesla.|6. Concernant le magn&eacute;tisme, indiquez la ou les proposition(s) exacte(s) :|UE3T141106|VRAI|||||||
A. La perm&eacute;abilit&eacute; magn&eacute;tique d'un mat&eacute;riau ferromagn&eacute;tique est inf&eacute;rieure &agrave; la perm&eacute;abilit&eacute; d'un mat&eacute;riau paramagn&eacute;tique.|7. Concernant les propri&eacute;t&eacute;s des mat&eacute;riaux magn&eacute;tiques, indiquez la ou les proposition(s) exacte(s) :|UE3T141107|FAUX|||||||
B. La perm&eacute;abilit&eacute; magn&eacute;tique d'un mat&eacute;riau ferromagn&eacute;tique est sup&eacute;rieure &agrave; la perm&eacute;abilit&eacute; d'un mat&eacute;riau paramagn&eacute;tique.|7. Concernant les propri&eacute;t&eacute;s des mat&eacute;riaux magn&eacute;tiques, indiquez la ou les proposition(s) exacte(s) :|UE3T141107|VRAI|||||||
C. La perm&eacute;abilit&eacute; magn&eacute;tique d'un mat&eacute;riau paramagn&eacute;tique est inf&eacute;rieure &agrave; la perm&eacute;abilit&eacute; d'un mat&eacute;riau diamagn&eacute;tique.|7. Concernant les propri&eacute;t&eacute;s des mat&eacute;riaux magn&eacute;tiques, indiquez la ou les proposition(s) exacte(s) :|UE3T141107|FAUX|C. Faux, c'est l'inverse.||||||
D. La perm&eacute;abilit&eacute; magn&eacute;tique d'un mat&eacute;riau ferromagn&eacute;tique est sup&eacute;rieure &agrave; la perm&eacute;abilit&eacute; du vide.|7. Concernant les propri&eacute;t&eacute;s des mat&eacute;riaux magn&eacute;tiques, indiquez la ou les proposition(s) exacte(s) :|UE3T141107|VRAI|||||||
E. La perm&eacute;abilit&eacute; magn&eacute;tique d'un mat&eacute;riau diamagn&eacute;tique est inf&eacute;rieure &agrave; la perm&eacute;abilit&eacute; du vide.|7. Concernant les propri&eacute;t&eacute;s des mat&eacute;riaux magn&eacute;tiques, indiquez la ou les proposition(s) exacte(s) :|UE3T141107|VRAI|||||||
A. Un mat&eacute;riau diamagn&eacute;tique parfait forme un superconducteur.|8. Concernant les mat&eacute;riaux magn&eacute;tiques, indiquez la ou les proposition(s) exacte(s) :|UE3T141108|FAUX|A. Faux, cela donne un supraconducteur.||||||
B. Un mat&eacute;riau ferrimagn&eacute;tique est divis&eacute; en domaines de Weiss.|8. Concernant les mat&eacute;riaux magn&eacute;tiques, indiquez la ou les proposition(s) exacte(s) :|UE3T141108|VRAI|||||||
C. Le paramagn&eacute;tisme peut &ecirc;tre masqu&eacute; par le diamagn&eacute;tisme.|8. Concernant les mat&eacute;riaux magn&eacute;tiques, indiquez la ou les proposition(s) exacte(s) :|UE3T141108|FAUX|C. Faux, le diamagn&eacute;tisme peut &ecirc;tre masqu&eacute; par le paramagn&eacute;tisme.||||||
D. La temp&eacute;rature influence fortement le paramagn&eacute;tisme.|8. Concernant les mat&eacute;riaux magn&eacute;tiques, indiquez la ou les proposition(s) exacte(s) :|UE3T141108|VRAI|||||||
E. Le paramagn&eacute;tisme permet d'expliquer l'existence d'aimants permanents.|8. Concernant les mat&eacute;riaux magn&eacute;tiques, indiquez la ou les proposition(s) exacte(s) :|UE3T141108|FAUX|E. Faux, c'est le ferromagn&eacute;tisme.||||||
A. La mesure de la quantit&eacute; d'eau dans l'organisme peut se faire par imp&eacute;dance-m&eacute;trie.|16. Concernant les compartiments liquidiens, indiquez la ou les proposition(s) exacte(s) :|UE3T141116|VRAI|||||||
B. L'&eacute;quation de Starling mesure et conditionne les &eacute;changes entre les compartiments.|16. Concernant les compartiments liquidiens, indiquez la ou les proposition(s) exacte(s) :|UE3T141116|VRAI|||||||
C. L'&eacute;quation de Starling d&eacute;pend du coefficient de perm&eacute;abilit&eacute; de la membrane cellulaire.|16. Concernant les compartiments liquidiens, indiquez la ou les proposition(s) exacte(s) :|UE3T141116|FAUX|C. Faux, c'est le coefficient de perm&eacute;abilit&eacute; de la paroi capillaire.<br>/!\ ne pas confondre avec Fick membrane cellulaire||||||
D. Dans cette &eacute;quation, le flux net sortant est &eacute;gal au flux net entrant.|16. Concernant les compartiments liquidiens, indiquez la ou les proposition(s) exacte(s) :|UE3T141116|FAUX|D. Faux, le flux net sortant (16mmHg) est sup&eacute;rieur au flux net entrant (9mmHg).||||||
E. Dans cette &eacute;quation, les pressions oncotiques restent stables.|16. Concernant les compartiments liquidiens, indiquez la ou les proposition(s) exacte(s) :|UE3T141116|VRAI|||||||
A. La paroi capillaire se situe entre le plasma et le compartiment intracellulaire.|17. Concernant les compartiments liquidiens, indiquez la ou les proposition(s) exacte(s) :|UE3T141117|FAUX|A. Faux, la paroi capillaire est entre le plasma et le liquide interstitiel.||||||
B. La paroi capillaire permet de retenir les &eacute;l&eacute;ments figur&eacute;s du sang et les prot&eacute;ines dans le plasma.|17. Concernant les compartiments liquidiens, indiquez la ou les proposition(s) exacte(s) :|UE3T141117|VRAI|||||||
C. Le plasma contient de nombreuses prot&eacute;ines n&eacute;gatives.|17. Concernant les compartiments liquidiens, indiquez la ou les proposition(s) exacte(s) :|UE3T141117|VRAI|C. Vrai, contrairement au liquide interstitiel qui contient peu de prot&eacute;ines n&eacute;gatives.||||||
D. La membrane cellulaire est plus perm&eacute;able que la paroi capillaire.|17. Concernant les compartiments liquidiens, indiquez la ou les proposition(s) exacte(s) :|UE3T141117|FAUX|D. Faux, la membrane cellulaire est plus imperm&eacute;able.||||||
E. La membrane cellulaire permet de retenir les prot&eacute;ines.|17. Concernant les compartiments liquidiens, indiquez la ou les proposition(s) exacte(s) :|UE3T141117|VRAI|||||||
A. En cas de d&eacute;shydratation, la cellule se trouve en hypo-osmolarit&eacute;.|18. Concernant les compartiments liquidiens, indiquez la ou les proposition(s) exacte(s) :|UE3T141118|FAUX|A. Faux, s'il y a un d&eacute;ficit en eau, la cellule devient hyper-osmolaire (la concentration de particules dissoutes augmente !).||||||
B. En cas de d&eacute;ficit en eau extracellulaire, l'eau intracellulaire va sortir de la cellule.|18. Concernant les compartiments liquidiens, indiquez la ou les proposition(s) exacte(s) :|UE3T141118|VRAI|B. Vrai, pour compenser les osmolarit&eacute;s.||||||
C. En cas de d&eacute;ficit en sel, la cellule se trouve en hyper-osmolarit&eacute;.|18. Concernant les compartiments liquidiens, indiquez la ou les proposition(s) exacte(s) :|UE3T141118|FAUX|C. Faux, elle se trouve en hypo-osmolarit&eacute;.||||||
D. En cas d'hyperhydratation, la cellule peut s'intoxiquer &agrave; l'eau.|18. Concernant les compartiments liquidiens, indiquez la ou les proposition(s) exacte(s) :|UE3T141118|VRAI|||||||
E. En cas d'exc&egrave;s d'eau, l'eau intracellulaire va sortir de la cellule.|18. Concernant les compartiments liquidiens, indiquez la ou les proposition(s) exacte(s) :|UE3T141118|FAUX|E. Faux, l'eau extracellulaire va aller en intracellulaire : c'est ce qui peut provoquer l'intoxication &agrave; l'eau.||||||
A. Dans les synapses chimiques excitatrices, un potentiel post-synaptique est cr&eacute;&eacute; localement et se rapproche du seuil de d&eacute;polarisation.|19. Concernant les potentiels post-synaptiques, indiquez la ou les proposition(s) exacte(s) :|UE3T141119|VRAI|||||||
B. Le potentiel post-synaptique excitateur (PSSE) provoque une repolarisation de l'autre neurone.|19. Concernant les potentiels post-synaptiques, indiquez la ou les proposition(s) exacte(s) :|UE3T141119|FAUX|B. Faux, il provoque une d&eacute;polarisation.||||||
C. Le PPSE entraine la sortie des ions potassium provoquant cette repolarisation.|19. Concernant les potentiels post-synaptiques, indiquez la ou les proposition(s) exacte(s) :|UE3T141119|FAUX|C. Faux, PPSE = ouverture des canaux sodiques = d&eacute;polarisation.||||||
D. Dans les synapses chimiques inhibitrices, le potentiel post-synaptique s'&eacute;loigne du seuil de d&eacute;polarisation.|19. Concernant les potentiels post-synaptiques, indiquez la ou les proposition(s) exacte(s) :|UE3T141119|VRAI|||||||
E. Le potentiel post-synaptique inhibiteur (PPSI) provoque une hyperpolarisation.|19. Concernant les potentiels post-synaptiques, indiquez la ou les proposition(s) exacte(s) :|UE3T141119|VRAI|||||||
A. Un PA est caract&eacute;ris&eacute; par une d&eacute;polarisation uniquement.|20. Concernant le potentiel d'action, indiquez la ou les proposition(s) exacte(s) :|UE3T141120|VRAI|||||||
B. Un PA se propage de proche en proche vers la terminaison axonale &agrave; diff&eacute;rentes vitesses selon la my&eacute;linisation de l'axone.|20. Concernant le potentiel d'action, indiquez la ou les proposition(s) exacte(s) :|UE3T141120|VRAI|B. Vrai, un axone my&eacute;linis&eacute; augmente la vitesse de conduction par rapport &agrave; un axone amy&eacute;linis&eacute;.||||||
C. Un PA peut aller dans le sens r&eacute;trograde.|20. Concernant le potentiel d'action, indiquez la ou les proposition(s) exacte(s) :|UE3T141120|FAUX|C. Faux, un PA ne peut pas aller en arri&egrave;re &agrave; cause des p&eacute;riodes r&eacute;fractaires.||||||
D. Les neurones ayant un petit diam&egrave;tre poss&egrave;dent une vitesse de conduction plus rapide que les neurones ayant un gros diam&egrave;tre.|20. Concernant le potentiel d'action, indiquez la ou les proposition(s) exacte(s) :|UE3T141120|FAUX|D. Faux, c'est l'inverse.||||||
E. Un PA peut &ecirc;tre cr&eacute;&eacute; par une sommation de potentiels &eacute;lectrotoniques.|20. Concernant le potentiel d'action, indiquez la ou les proposition(s) exacte(s) :|UE3T141120|VRAI|||||||
