labelAnswer|title|slug|answer|commentAnswer|summary|content|authorEmail|||
A) Est form&eacute; de 3 pi&egrave;ces osseuses|1- Concernant l'os coxal, donner la ou les bon ne(s) r&eacute;ponse(s)|UE5S110301|VRAI|||||||segmo
B) Est marqu&eacute; dans sa partie post&eacute;rieure, par la cr&ecirc;te iliaque|1- Concernant l'os coxal, donner la ou les bon ne(s) r&eacute;ponse(s)|UE5S110301|FAUX|B. sup&eacute;rieur||||||segmo
C) La r&eacute;union des 2 os coxaux forme en arri&egrave;re la symphyse pubienne|1- Concernant l'os coxal, donner la ou les bon ne(s) r&eacute;ponse(s)|UE5S110301|FAUX|C. en avant la symphyse||||||segmo
D) Le pubis se situe dans la partie la plus ant&eacute;rieure|1- Concernant l'os coxal, donner la ou les bon ne(s) r&eacute;ponse(s)|UE5S110301|VRAI|||||||segmo
E) L'ilium est la plus sup&eacute;rieure des 3 pi&egrave;ces osseuses|1- Concernant l'os coxal, donner la ou les bon ne(s) r&eacute;ponse(s)|UE5S110301|VRAI|||||||segmo
A) La cr&ecirc;te iliaque est limit&eacute;e en avant et en arri&egrave;re par les &eacute;pines iliaques ant&eacute;ro-inf&eacute;rieure et post&eacute;ro-inf&eacute;rieure (EIPI)|2- Concernant l'os coxal, donner la ou les bonne(s) r&eacute;ponse(s)|UE5S110302|FAUX|A. Entre EIPS et EIAS||||||segmo
B) L'incisure ischiatique se situe entre l'EIPI et l'&eacute;pine ischiatique|2- Concernant l'os coxal, donner la ou les bonne(s) r&eacute;ponse(s)|UE5S110302|VRAI|||||||segmo
C) La corne ant&eacute;rieure de l'ac&eacute;tabulum est plus d&eacute;velopp&eacute;e que la post&eacute;rieure|2- Concernant l'os coxal, donner la ou les bonne(s) r&eacute;ponse(s)|UE5S110302|FAUX|C. Corne post plus d&eacute;velopp&eacute;e||||||segmo
D) Le cartilage recouvrant l'ac&eacute;tabulum est plus &eacute;pais dans sa partie sup&eacute;rieure|2- Concernant l'os coxal, donner la ou les bonne(s) r&eacute;ponse(s)|UE5S110302|VRAI|||||||segmo
E) La goutti&egrave;re infra-ac&eacute;tabulaire est plus marqu&eacute;e que la supra-ac&eacute;tabulaire|2- Concernant l'os coxal, donner la ou les bonne(s) r&eacute;ponse(s)|UE5S110302|FAUX|E. Inverse||||||segmo
