labelAnswer|title|slug|answer|commentAnswer|summary|content|authorEmail|||
A. Le suffixe commun « prazole » est utilis&eacute; pour les anti-hypertenseurs bloquant le r&eacute;cepteur B adr&eacute;nergique|1) Indiquer la (les) proposition(s) exacte(s) concernant les strat&eacute;gies de mise sur le march&eacute; des m&eacute;dicaments :|UE6S110501|FAUX|A: Prazole : inhibiteur de la pompe &agrave; protons||||||segmo
B. Les copies th&eacute;rapeutiques sont bas&eacute;es sur une strat&eacute;gie de faible originalit&eacute;|1) Indiquer la (les) proposition(s) exacte(s) concernant les strat&eacute;gies de mise sur le march&eacute; des m&eacute;dicaments :|UE6S110501|VRAI|||||||segmo
C. L'hypertension art&eacute;rielle pulmonaire du sid&eacute;nafil pro&eacute;rectile a &eacute;t&eacute; d&eacute;couverte dans le cadre d'une &eacute;tude de criblage intensif|1) Indiquer la (les) proposition(s) exacte(s) concernant les strat&eacute;gies de mise sur le march&eacute; des m&eacute;dicaments :|UE6S110501|FAUX|C: nouvelle indication d'un m&eacute;dicament d&eacute;j&agrave; present sur le march&eacute;||||||segmo
D. La p&eacute;nicilline agit en bloquant le m&eacute;tabolisme d'un messager secondaire|1) Indiquer la (les) proposition(s) exacte(s) concernant les strat&eacute;gies de mise sur le march&eacute; des m&eacute;dicaments :|UE6S110501|FAUX|D:Faux, c'est le sid&eacute;nafil pro&eacute;rectile||||||segmo
E. La p&eacute;nicilline a &eacute;t&eacute; d&eacute;couverte par l'observation des animaux|1) Indiquer la (les) proposition(s) exacte(s) concernant les strat&eacute;gies de mise sur le march&eacute; des m&eacute;dicaments :|UE6S110501|FAUX|E:La p&eacute;nicilline a &eacute;t&eacute; d&eacute;couverte par hasard||||||segmo
A. Une s&eacute;rie de « me too » pr&eacute;sente la m&ecirc;me d&eacute;nomination internationale|2) Indiquer la (les) proposition(s) exacte(s) concernant les strat&eacute;gies de mise sur le march&eacute; des m&eacute;dicaments :|UE6S110502|FAUX|A: Faux, Bien qu'&eacute;tant une copie th&eacute;rapeutique d'un autre m&eacute;dicament, un « me too » est un principe actif distinct et a donc une d&eacute;nomination internationale distincte (Annale)||||||segmo
B. La pharmacocin&eacute;tique est l'action du syst&egrave;me biologique sur le m&eacute;dicament|2) Indiquer la (les) proposition(s) exacte(s) concernant les strat&eacute;gies de mise sur le march&eacute; des m&eacute;dicaments :|UE6S110502|VRAI|||||||segmo
C. Une chimioth&egrave;que ne comporte que des &eacute;l&eacute;ments chimiques r&eacute;els|2) Indiquer la (les) proposition(s) exacte(s) concernant les strat&eacute;gies de mise sur le march&eacute; des m&eacute;dicaments :|UE6S110502|FAUX|ou virtuel||||||segmo
D. QSAR est une &eacute;tude de relation structure-activit&eacute;|2) Indiquer la (les) proposition(s) exacte(s) concernant les strat&eacute;gies de mise sur le march&eacute; des m&eacute;dicaments :|UE6S110502|VRAI|||||||segmo
E. QSAR est bas&eacute; sur la construction de mod&egrave;le liant statistiquement les caract&eacute;ristiques des mol&eacute;cules &agrave; leurs effets sur une cible|2) Indiquer la (les) proposition(s) exacte(s) concernant les strat&eacute;gies de mise sur le march&eacute; des m&eacute;dicaments :|UE6S110502|VRAI|||||||segmo
A. Les r&eacute;cepteurs coupl&eacute;s aux prot&eacute;ines G (RCPG) sont des glycoprot&eacute;ines polym&eacute;riques|3) Concernant les cibles th&eacute;rapeutiques :|UE6S110503|FAUX|A: RCPG =glycoproteine monom&eacute;rique||||||segmo
B. Les r&eacute;cepteurs cholinergiques nicotiniques incluent un canal &agrave; anions dans leur structure|3) Concernant les cibles th&eacute;rapeutiques :|UE6S110503|FAUX|B: canal &agrave; CATIONS||||||segmo
C. Les RCPG interagissent avec des zones sp&eacute;cifiques de l'ADN nomm&eacute;s « &eacute;l&eacute;ments de r&eacute;ponses »|3) Concernant les cibles th&eacute;rapeutiques :|UE6S110503|FAUX|C:Non, ce sont les recepteurs nucl&eacute;aires||||||segmo
D. Les inhibiteurs de la pompe &agrave; protons sont irr&eacute;versibles|3) Concernant les cibles th&eacute;rapeutiques :|UE6S110503|VRAI|||||||segmo
E. Les canaux voltage-d&eacute;pendants sont insensibles aux toxines naturelles|3) Concernant les cibles th&eacute;rapeutiques :|UE6S110503|FAUX|E: Les canaux voltage-d&eacute;pendants sont sensibles &agrave; un grand nombre de toxines naturelles||||||segmo
A. Sont des r&eacute;cepteurs polym&eacute;riques|4) Indiquer la (les) proposition(s) exacte(s) concernant les r&eacute;cepteurs incluant un canal ionique :|UE6S110504|VRAI|||||||segmo
B. Assurent des fonctions physiologiques primordiales|4) Indiquer la (les) proposition(s) exacte(s) concernant les r&eacute;cepteurs incluant un canal ionique :|UE6S110504|VRAI|||||||segmo
C. Peuvent poss&eacute;der plusieurs sites de liaison aux neurom&eacute;diateurs|4) Indiquer la (les) proposition(s) exacte(s) concernant les r&eacute;cepteurs incluant un canal ionique :|UE6S110504|VRAI|||||||segmo
D. Ont des sites de liaison du cot&eacute; extra-cellulaire|4) Indiquer la (les) proposition(s) exacte(s) concernant les r&eacute;cepteurs incluant un canal ionique :|UE6S110504|VRAI|||||||segmo
E. Ont entre autre des r&eacute;cepteurs incluant un canal &agrave; anions tel que les r&eacute;cepteurs de la glycine|4) Indiquer la (les) proposition(s) exacte(s) concernant les r&eacute;cepteurs incluant un canal ionique :|UE6S110504|VRAI|||||||segmo
A. Sont r&eacute;alis&eacute;s chez des Hommes sains ou malades|5) Indiquer la (les) proposition(s) exacte(s) concernant les essais de phase 2:|UE6S110505|VRAI|||||||segmo
B. Sont r&eacute;alis&eacute;s sur de grand effectifs (>100sujets)|5) Indiquer la (les) proposition(s) exacte(s) concernant les essais de phase 2:|UE6S110505|FAUX|B:Petit effectifs||||||segmo
C. Proc&egrave;dent &agrave; une &eacute;valuation &agrave; moyen terme de la pharmacocin&eacute;tique|5) Indiquer la (les) proposition(s) exacte(s) concernant les essais de phase 2:|UE6S110505|FAUX|C: COURT terme||||||segmo
D. Sont r&eacute;alis&eacute;s en double aveugle|5) Indiquer la (les) proposition(s) exacte(s) concernant les essais de phase 2:|UE6S110505|VRAI|||||||segmo
E. Peuvent &ecirc;tre parfois en essai ouvert|5) Indiquer la (les) proposition(s) exacte(s) concernant les essais de phase 2:|UE6S110505|VRAI|||||||segmo
