labelAnswer|title|slug|answer|commentAnswer|summary|content|authorEmail|||
A. Elle doit aborder l'organisme dans sa totalit&eacute;|1. Concernant la psychologie m&eacute;dicale|UE7S110701|VRAI|||||||segmo
B. Le m&eacute;decin doit &ecirc;tre &agrave; la fois celui de l'âme et du corps|1. Concernant la psychologie m&eacute;dicale|UE7S110701|VRAI|||||||segmo
C. La personnalit&eacute; se construit &agrave; partir de la vie intra-ut&eacute;rine|1. Concernant la psychologie m&eacute;dicale|UE7S110701|VRAI|||||||segmo
D. le temp&eacute;rament est tr&egrave;s mall&eacute;able|1. Concernant la psychologie m&eacute;dicale|UE7S110701|FAUX|D. Le temp&eacute;rament est tr&egrave;s peu mall&eacute;able.||||||segmo
E. La personnalit&eacute; est sous la d&eacute;pendance de m&eacute;canismes physiologiques &eacute;nerg&eacute;tiques comme activit&eacute; et r&eacute;activit&eacute;|1. Concernant la psychologie m&eacute;dicale|UE7S110701|FAUX|E. Le temp&eacute;rament est sous la d&eacute;pendance de m&eacute;canismes physiologiques &eacute;nerg&eacute;tiques||||||segmo
A. un diagnostic de pathologie autre|2. Donner les risques li&eacute;s au non diagnostic de plaintes fonctionnelles|UE7S110702|VRAI|||||||segmo
B. Des examens inutiles|2. Donner les risques li&eacute;s au non diagnostic de plaintes fonctionnelles|UE7S110702|VRAI|||||||segmo
C. des traitements inadapt&eacute;s|2. Donner les risques li&eacute;s au non diagnostic de plaintes fonctionnelles|UE7S110702|VRAI|||||||segmo
D. Pas de prise en charge de la souffrance|2. Donner les risques li&eacute;s au non diagnostic de plaintes fonctionnelles|UE7S110702|VRAI|||||||segmo
E. Risque de chronicit&eacute; des troubles|2. Donner les risques li&eacute;s au non diagnostic de plaintes fonctionnelles|UE7S110702|VRAI|||||||segmo
A. S. Freud, &agrave; partir de ses travaux est le pr&eacute;curseur de la psychanalyse|3. Concernant la psychanalyse|UE7S110703|VRAI|||||||segmo
B. Lapsus, actes manqu&eacute;s et r&ecirc;ves sont des &eacute;mergences de notre inconscient|3. Concernant la psychanalyse|UE7S110703|VRAI|||||||segmo
C. La psychanalyse n&eacute;cessite un analyste tr&egrave;s proche sentimentalement du patient|3. Concernant la psychanalyse|UE7S110703|FAUX|C. analyste neutre||||||segmo
D. La sublimation dans la psychanalyse est le fait de ne pas reconna&icirc;tre les &eacute;mergences de l'inconscient|3. Concernant la psychanalyse|UE7S110703|FAUX|D. d&eacute;finition de la r&eacute;sistance||||||segmo
E. La psychanalyse permet de mettre en &eacute;vidence les m&eacute;canismes de r&eacute;sistance et de sublimation|3. Concernant la psychanalyse|UE7S110703|VRAI|||||||segmo
A. Le registre comportemental comprend les composantes corporel, visuel et vocal|4. Concernant le d&eacute;veloppement affectif|UE7S110704|VRAI|||||||segmo
B. La p&eacute;riode de latence correspond &agrave; la r&eacute;actualisation des positions oedipiennes entre autres|4. Concernant le d&eacute;veloppement affectif|UE7S110704|FAUX|B. p&eacute;riode de l'adolescence ;||||||segmo
