labelAnswer|title|slug|answer|commentAnswer|summary|content|authorEmail|||
A. La partie inf&eacute;rieure du lobe temporal est form&eacute; par la circonvolution T3|1. Citer la (les) proposition(s) exacte(s) concernant le syst&egrave;me nerveux central :|UEsp&eacute;T130401|VRAI|A. Vrai||||||segmo
B. Les circonvolutions pr&eacute;-centrale et post-centrale sont s&eacute;par&eacute;es par la scissure centrale de Sylvius|1. Citer la (les) proposition(s) exacte(s) concernant le syst&egrave;me nerveux central :|UEsp&eacute;T130401|FAUX|B. Faux. Par la scissure centrale de Rolando, c'est la scissure lat&eacute;rale qui est de Sylvius||||||segmo
C. D'avant en arri&egrave;re, on d&eacute;crit : L'Opercule, Le Cap et Le Pied|1. Citer la (les) proposition(s) exacte(s) concernant le syst&egrave;me nerveux central :|UEsp&eacute;T130401|VRAI|C. Vrai||||||segmo
D. Le lobe de l'Insula est non visible et comprend cinq circonvolutions|1. Citer la (les) proposition(s) exacte(s) concernant le syst&egrave;me nerveux central :|UEsp&eacute;T130401|VRAI|D. Vrai||||||segmo
E. Le corps calleux est un pont de substance blanche reliant les deux h&eacute;misph&egrave;res c&eacute;r&eacute;belleux|1. Citer la (les) proposition(s) exacte(s) concernant le syst&egrave;me nerveux central :|UEsp&eacute;T130401|FAUX|E.Faux. Le corps calleux est un pont de substance blanche reliant les deux h&eacute;misph&egrave;res c&eacute;r&eacute;braux|||SNC|||segmo
A. Le corps calleux ou pont de substance blanche est visible en deux endroits|2. Citer la (les) proposition(s) exacte(s) concernant une coupe de Charcot :|UEsp&eacute;T130402|FAUX|A. Faux. Une section sur une coupe de Charcot, et deux sections sur une coupe de Fleschig||||||segmo
B. De haut en bas, on d&eacute;crit : Corps de Luys, Zona Incerta, et Tubercules Mamillaires|2. Citer la (les) proposition(s) exacte(s) concernant une coupe de Charcot :|UEsp&eacute;T130402|FAUX|B. Faux. De haut en bas, on d&eacute;crit : Zona Incerta, Corps de Luys et Tubercules Mamillaire||||||segmo
C. On y observe les cornes pari&eacute;tales des ventricules lat&eacute;raux|2. Citer la (les) proposition(s) exacte(s) concernant une coupe de Charcot :|UEsp&eacute;T130402|FAUX|C. Faux. Ce sont les cornes temporales des ventricules lat&eacute;raux|||charcot|||segmo
D. La circonvolution cingulaire ou fronto-calleuse est situ&eacute;e dans le plan de coupe|2. Citer la (les) proposition(s) exacte(s) concernant une coupe de Charcot :|UEsp&eacute;T130402|VRAI|D. Vrai||||||segmo
E. C'est une coupe vertico-horizontale|2. Citer la (les) proposition(s) exacte(s) concernant une coupe de Charcot :|UEsp&eacute;T130402|FAUX|E.Faux. C'est une coupe vertico-frontal.||||||segmo
A. La scissure interh&eacute;misph&eacute;rique y est visible|3. Citer la (les) proposition(s) exacte(s) concernant une coupe de Fleschig :|UEsp&eacute;T130403|FAUX|A. Faux. C'est sur la coupe de Charcot, que cette scissure est visible||fleschig.jpg|charcot|||segmo
B. Au sein du « V » de la capsule interne, on d&eacute;crit : Bras ant&eacute;rieur, Genou et Bras Post&eacute;rieur|3. Citer la (les) proposition(s) exacte(s) concernant une coupe de Fleschig :|UEsp&eacute;T130403|VRAI|B. Vrai|||fleschig|||segmo
C. Le noyau caud&eacute; est oblique vers le dehors et vers l'arri&egrave;re|3. Citer la (les) proposition(s) exacte(s) concernant une coupe de Fleschig :|UEsp&eacute;T130403|VRAI|C. Vrai|||fleschig|||segmo
