labelAnswer|title|slug|answer|commentAnswer|summary|content|authorEmail|||
E. Visible en MO|12. Concernant les plaquettes 3R|UE2S100512|VRAI|||||||segmo
A. Muscle biceps f&eacute;moral|1. Quels sont les muscles squelettiques 3R|UE2S100501|VRAI|||||||segmo
B. Muscle cardiaque|1. Quels sont les muscles squelettiques 3R|UE2S100501|FAUX|B. Faux : C'est un muscle stri&eacute; comme les muscles squelettiques ms il n'en est pas un||||||segmo
C. Muscle dentel&eacute; ant&eacute;rieur|1. Quels sont les muscles squelettiques 3R|UE2S100501|VRAI|||||||segmo
D. Muscle triceps sural|1. Quels sont les muscles squelettiques 3R|UE2S100501|VRAI|||||||segmo
E. Musculeuse de l'estomac|1. Quels sont les muscles squelettiques 3R|UE2S100501|FAUX|E. Faux : C'est un muscle lisse (SN autonome parasympathique)||||||segmo
A. Les P&eacute;ricytes|2. Quelles sont les cellules contractiles 3R|UE2S100502|VRAI|||||||segmo
B. La cellule myo&eacute;pith&eacute;liale|2. Quelles sont les cellules contractiles 3R|UE2S100502|VRAI|||||||segmo
C. La cellule musculaire|2. Quelles sont les cellules contractiles 3R|UE2S100502|VRAI|||||||segmo
D. La cellule myosine|2. Quelles sont les cellules contractiles 3R|UE2S100502|FAUX|||||||segmo
E. La cellule hyaline|2. Quelles sont les cellules contractiles 3R|UE2S100502|FAUX|||||||segmo
A. Le muscle squelettique peut d&eacute;clencher sa propre contraction|3. Concernant les tissus musculaires 3R|UE2S100503|FAUX|A. Faux : Impossible||||||segmo
B. Le muscle squelettique se contracte en r&eacute;ponse au signal venant d'un neurone somatomoteur|3. Concernant les tissus musculaires 3R|UE2S100503|VRAI|||||||segmo
C. Les muscles squelettiques et cardiaques sont des muscles stri&eacute;s|3. Concernant les tissus musculaires 3R|UE2S100503|VRAI|||||||segmo
D. Le muscle lisse est le principal constituant de la masse musculaire|3. Concernant les tissus musculaires 3R|UE2S100503|FAUX|D. Faux : C'est le muscle squelettique||||||segmo
