labelAnswer|title|slug|answer|commentAnswer|summary|content|authorEmail|||
A. M&egrave;tre|1. Parmi les grandeurs suivantes, laquelle ou lesquelles sont des grandeur(s) fondamentale(s) :|UE3T130401|VRAI|||||||
B. Lumen|1. Parmi les grandeurs suivantes, laquelle ou lesquelles sont des grandeur(s) fondamentale(s) :|UE3T130401|FAUX|||||||
C. Celsus|1. Parmi les grandeurs suivantes, laquelle ou lesquelles sont des grandeur(s) fondamentale(s) :|UE3T130401|FAUX|||||||
D. Newton|1. Parmi les grandeurs suivantes, laquelle ou lesquelles sont des grandeur(s) fondamentale(s) :|UE3T130401|FAUX|||||||
E. Joule|1. Parmi les grandeurs suivantes, laquelle ou lesquelles sont des grandeur(s) fondamentale(s) :|UE3T130401|FAUX|||||||
A. Amp&egrave;re|2. Parmi les grandeurs suivantes, laquelle ou lesquelles sont des grandeur(s) d&eacute;riv&eacute;e(s).|UE3T130402|FAUX|||||||
B. Kelvin|2. Parmi les grandeurs suivantes, laquelle ou lesquelles sont des grandeur(s) d&eacute;riv&eacute;e(s).|UE3T130402|FAUX|||||||
C. Mole|2. Parmi les grandeurs suivantes, laquelle ou lesquelles sont des grandeur(s) d&eacute;riv&eacute;e(s).|UE3T130402|FAUX|||||||
D. Coulomb|2. Parmi les grandeurs suivantes, laquelle ou lesquelles sont des grandeur(s) d&eacute;riv&eacute;e(s).|UE3T130402|VRAI|||||||
E. Kilogramme|2. Parmi les grandeurs suivantes, laquelle ou lesquelles sont des grandeur(s) d&eacute;riv&eacute;e(s).|UE3T130402|FAUX|||||||
A. L'&eacute;tat gazeux est un ensemble d'atomes faiblement li&eacute;s et ayant le moins d'interaction possible.|3. Concernant les &eacute;tats de la mati&egrave;re, indiquez la ou les proposition(s) exacte(s) :|UE3T130403|VRAI|||||||
B. Dans un gaz, les mol&eacute;cules sont s&eacute;par&eacute;es par la distance la plus grande possible.|3. Concernant les &eacute;tats de la mati&egrave;re, indiquez la ou les proposition(s) exacte(s) :|UE3T130403|VRAI|||||||
C. Le gaz a un volume propre lui permettant de diminuer sa masse volumique jusqu'&agrave; un minimum.|3. Concernant les &eacute;tats de la mati&egrave;re, indiquez la ou les proposition(s) exacte(s) :|UE3T130403|FAUX|C. Faux, l'&eacute;tat gazeux n'a pas de volume propre : c'est donc &agrave; l'&eacute;tat gazeux que la masse volumique est la plus faible.||||||
D. Le gaz a une forme propre due aux mouvements chaotiques de ses mol&eacute;cules.|3. Concernant les &eacute;tats de la mati&egrave;re, indiquez la ou les proposition(s) exacte(s) :|UE3T130403|FAUX|D. Faux, le gaz n'a pas de forme propre, les mouvements chaotiques de ses mol&eacute;cules le rendant informe.||||||
E. A basse temp&eacute;rature, les gaz r&eacute;els ont des propri&eacute;t&eacute;s semblables aux gaz parfaits.|3. Concernant les &eacute;tats de la mati&egrave;re, indiquez la ou les proposition(s) exacte(s) :|UE3T130403|VRAI|||||||
A. L'&eacute;tat liquide a des mol&eacute;cules fortement li&eacute;es car il existe une &eacute;nergie de coh&eacute;sion entre ces mol&eacute;cules.|4. Concernant les &eacute;tats de la mati&egrave;re, indiquez la ou les proposition(s) exacte(s) :|UE3T130404|FAUX|A. Faux, un liquide a des mol&eacute;cules faiblement li&eacute;es. Cependant, il existe une &eacute;nergie de coh&eacute;sion entre ces mol&eacute;cules, c'est pourquoi les mol&eacute;cules sont moins faiblement li&eacute;es que celles du gaz.||||||
B. Un liquide est difficilement compressible.|4. Concernant les &eacute;tats de la mati&egrave;re, indiquez la ou les proposition(s) exacte(s) :|UE3T130404|FAUX|||||||
C. Un liquide a un volume propre qui ne varie jamais.|4. Concernant les &eacute;tats de la mati&egrave;re, indiquez la ou les proposition(s) exacte(s) :|UE3T130404|FAUX|C. Faux, le volume d'un liquide peut varier de fa&ccedil;on minime avec la temp&eacute;rature.||||||
