labelAnswer|title|slug|answer|commentAnswer|summary|content|authorEmail|||
A. La cavit&eacute; gl&eacute;no&iuml;dale est plus d&eacute;velopp&eacute;e dans sa partie inf&eacute;rieure|1. Concernant la Scapula, quelle(s) est (sont) la (ou les) r&eacute;ponse(s) exacte(s) ?|UE5T130501|VRAI|||||||
B. Les muscles rhombo&iuml;des s'ins&egrave;rent le long du bord lat&eacute;ral de la scapula|1. Concernant la Scapula, quelle(s) est (sont) la (ou les) r&eacute;ponse(s) exacte(s) ?|UE5T130501|FAUX|B. Les muscles rhombo&iuml;des s'ins&egrave;rent sur la face post&eacute;rieure du bord m&eacute;dial de la scapula.||||||
C. Le ligament coraco-acromial unit la portion verticale du processus coraco&iuml;de et l'acromion|1. Concernant la Scapula, quelle(s) est (sont) la (ou les) r&eacute;ponse(s) exacte(s) ?|UE5T130501|FAUX|C. Le ligament coraco-acromial unit la portion horizontale du processus coraco&iuml;de et l'acromion.||||||
D. Le muscle delto&iuml;de s'ins&egrave;re le long du bord inf&eacute;rieur de l'&eacute;pine de la scapula|1. Concernant la Scapula, quelle(s) est (sont) la (ou les) r&eacute;ponse(s) exacte(s) ?|UE5T130501|VRAI|||||||
E. Le tendon du chef long du muscle triceps brachial s'ins&egrave;re sur le tubercule infra-gl&eacute;no&iuml;dal|1. Concernant la Scapula, quelle(s) est (sont) la (ou les) r&eacute;ponse(s) exacte(s) ?|UE5T130501|VRAI|||||||
A. Muscle Subscapulaire|2. Parmi ces muscles, lequel (ou lesquels) s'ins&egrave;re(nt) sur les berges du sillon bicipital de l'Hum&eacute;rus ?|UE5T130502|FAUX|A. Le muscle subscapulaire s'ins&egrave;re sur le tubercule mineur de l'hum&eacute;rus.||||||
B. Muscle Grand Pectoral &nbsp;|2. Parmi ces muscles, lequel (ou lesquels) s'ins&egrave;re(nt) sur les berges du sillon bicipital de l'Hum&eacute;rus ?|UE5T130502|VRAI|||||||
C. Muscle Grand Rond|2. Parmi ces muscles, lequel (ou lesquels) s'ins&egrave;re(nt) sur les berges du sillon bicipital de l'Hum&eacute;rus ?|UE5T130502|VRAI|||||||
D. Muscle Grand Dorsal|2. Parmi ces muscles, lequel (ou lesquels) s'ins&egrave;re(nt) sur les berges du sillon bicipital de l'Hum&eacute;rus ?|UE5T130502|VRAI|||||||
E. Chef Long du Muscle Biceps Brachial|2. Parmi ces muscles, lequel (ou lesquels) s'ins&egrave;re(nt) sur les berges du sillon bicipital de l'Hum&eacute;rus ?|UE5T130502|FAUX|E. Le tendon du chef long du muscle biceps brachial s'ins&egrave;re sur le tubercule supra-gl&eacute;no&iuml;dal et glisse ensuite dans le sillon bicipital, mais sans y prendre insertion.||||||
A. Le squelette de l'avant-bras est solidaris&eacute; par le ligament inter-osseux|3. Concernant le Squelette de l'Avant-Bras, quelle(s) est (sont) la (ou les) r&eacute;ponse(s) exacte(s) ?|UE5T130503|VRAI|||||||
B. La t&ecirc;te radiale est plus d&eacute;velopp&eacute;e dans sa partie m&eacute;diale|3. Concernant le Squelette de l'Avant-Bras, quelle(s) est (sont) la (ou les) r&eacute;ponse(s) exacte(s) ?|UE5T130503|VRAI|||||||
C. Le muscle supinateur s'ins&egrave;re le long du col du radius|3. Concernant le Squelette de l'Avant-Bras, quelle(s) est (sont) la (ou les) r&eacute;ponse(s) exacte(s) ?|UE5T130503|VRAI|||||||
