labelAnswer|title|slug|answer|commentAnswer|summary|content|authorEmail|||
A.Correspondent &agrave; la premi&egrave;re administration &agrave; l'homme, en dose unique, d'un m&eacute;dicament exp&eacute;rimental.|1) Les essais cliniques de phase 1|UE6S110601|VRAI|||||||segmo
B.Se font parfois en milieu « r&eacute;el »|1) Les essais cliniques de phase 1|UE6S110601|FAUX|B: dans centre de recherche habilit&eacute;||||||segmo
C.Sont r&eacute;alis&eacute;s sur de petits effectifs (10 &agrave; 15 sujets)|1) Les essais cliniques de phase 1|UE6S110601|VRAI|||||||segmo
D.Sont r&eacute;alis&eacute;s en sch&eacute;ma crois&eacute;|1) Les essais cliniques de phase 1|UE6S110601|VRAI|||||||segmo
E.Pr&eacute;c&egrave;dent les essais cliniques de phase 2|1) Les essais cliniques de phase 1|UE6S110601|VRAI|||||||segmo
A.Sont r&eacute;alis&eacute;s sur des sujets sains ou malades|2) Les essais cliniques de phase 2|UE6S110602|VRAI|||||||segmo
B.Ont comme objectif de permettre le passage &agrave; la phase 3 avec optimisation des chances de prouver le b&eacute;n&eacute;fice esp&eacute;r&eacute; et d'&eacute;valuer le rapport b&eacute;n&eacute;fice-risque|2) Les essais cliniques de phase 2|UE6S110602|VRAI|||||||segmo
C.Sont parfois r&eacute;alis&eacute;s en milieu « r&eacute;el »|2) Les essais cliniques de phase 2|UE6S110602|FAUX|C:dans structure de recherche habilit&eacute;||||||segmo
D.Sont g&eacute;n&eacute;ralement r&eacute;alis&eacute; en ouvert|2) Les essais cliniques de phase 2|UE6S110602|FAUX|D:r&eacute;alis&eacute; en double aveugle||||||segmo
E.Ont pour objectif de d&eacute;montrer la preuve de l'int&eacute;r&ecirc;t d'un m&eacute;dicament exp&eacute;rimental chez le malade|2) Les essais cliniques de phase 2|UE6S110602|FAUX|E:Faux, phase 3||||||segmo
A.Proc&egrave;dent &agrave; une &eacute;valuation &agrave; moyen terme de sa pharmacodynamie en situation th&eacute;rapeutique|3) Les essais cliniques de phase 3|UE6S110603|VRAI|||||||segmo
B.Sont r&eacute;alis&eacute;s parfois en milieu « r&eacute;el »|3) Les essais cliniques de phase 3|UE6S110603|VRAI|||||||segmo
C.Sont rarement r&eacute;alis&eacute;s selon un sch&eacute;ma crois&eacute;|3) Les essais cliniques de phase 3|UE6S110603|VRAI|||||||segmo
D.Sont g&eacute;n&eacute;ralement r&eacute;alis&eacute;s en simple aveugle|3) Les essais cliniques de phase 3|UE6S110603|FAUX|D: double aveugle||||||segmo
E.Sont r&eacute;alis&eacute;s sur de petits effectifs|3) Les essais cliniques de phase 3|UE6S110603|FAUX|||||||segmo
A.Les copies th&eacute;rapeutiques exploitent une cible originale d&eacute;couverte /exploit&eacute;e par un concurrent|4) Indiquez la (les) proposition(s) exacte(s) concernant les strat&eacute;gies de mise sur le march&eacute; de m&eacute;dicaments :|UE6S110604|VRAI|||||||segmo
B.La p&eacute;nicilline a &eacute;t&eacute; identifi&eacute;e grâce &agrave; une approche rationnelle des d&eacute;couvertes biologiques r&eacute;centes|4) Indiquez la (les) proposition(s) exacte(s) concernant les strat&eacute;gies de mise sur le march&eacute; de m&eacute;dicaments :|UE6S110604|FAUX|||||||segmo
C.La p&eacute;nicilline bloque une transpeptidase, enzyme qui permet aux micro-organismes de fabriquer diff&eacute;rents peptidoglycanes de sa paroi|4) Indiquez la (les) proposition(s) exacte(s) concernant les strat&eacute;gies de mise sur le march&eacute; de m&eacute;dicaments :|UE6S110604|VRAI|||||||segmo
D.Environ 5 mol&eacute;cules sont &eacute;tudi&eacute;es pour mettre sur le march&eacute; UN m&eacute;dicament|4) Indiquez la (les) proposition(s) exacte(s) concernant les strat&eacute;gies de mise sur le march&eacute; de m&eacute;dicaments :|UE6S110604|FAUX|D: >5000||||||segmo
E.Le prix de revient pour mettre sur le march&eacute; un nouveau m&eacute;dicament est de 0.5-1milliard d'euros|4) Indiquez la (les) proposition(s) exacte(s) concernant les strat&eacute;gies de mise sur le march&eacute; de m&eacute;dicaments :|UE6S110604|VRAI|||||||segmo
A.Elles commencent par l'&eacute;noncer des caract&eacute;ristiques des mol&eacute;cules connues pour reconna&icirc;tre la cible|5) Indiquez la (les) proposition(s) exacte(s) concernant les &eacute;tudes de relation structure-activit&eacute; r&eacute;alis&eacute;es alors qu'on ne connait pas la structure de la cible :|UE6S110605|VRAI|||||||segmo
B.Les caract&eacute;ristiques des mol&eacute;cules sont d&eacute;crites &agrave; l'aide de descripteurs|5) Indiquez la (les) proposition(s) exacte(s) concernant les &eacute;tudes de relation structure-activit&eacute; r&eacute;alis&eacute;es alors qu'on ne connait pas la structure de la cible :|UE6S110605|VRAI|||||||segmo
C.On utilise la technique d'amarrage|5) Indiquez la (les) proposition(s) exacte(s) concernant les &eacute;tudes de relation structure-activit&eacute; r&eacute;alis&eacute;es alors qu'on ne connait pas la structure de la cible :|UE6S110605|FAUX|||||||segmo
D.La justesse des r&eacute;sultats de ces &eacute;tudes d&eacute;pend totalement de la qualit&eacute;/quantit&eacute; des observations ayant permis de construire le mod&egrave;le|5) Indiquez la (les) proposition(s) exacte(s) concernant les &eacute;tudes de relation structure-activit&eacute; r&eacute;alis&eacute;es alors qu'on ne connait pas la structure de la cible :|UE6S110605|VRAI|||||||segmo
E.On construit les mod&egrave;les par « docking »|5) Indiquez la (les) proposition(s) exacte(s) concernant les &eacute;tudes de relation structure-activit&eacute; r&eacute;alis&eacute;es alors qu'on ne connait pas la structure de la cible :|UE6S110605|FAUX|E: par « alignement»||||||segmo
A.Les m&eacute;dicaments &agrave; usage humain|6) Le champ de comp&eacute;tence de l'Agence fran&ccedil;aise de s&eacute;curit&eacute; sanitaire des produits de sant&eacute; comprend :|UE6S110606|VRAI|||||||segmo
B.Les m&eacute;dicaments &agrave; usage v&eacute;t&eacute;rinaire|6) Le champ de comp&eacute;tence de l'Agence fran&ccedil;aise de s&eacute;curit&eacute; sanitaire des produits de sant&eacute; comprend :|UE6S110606|FAUX|||||||segmo
C.Les dispositifs m&eacute;dicaux|6) Le champ de comp&eacute;tence de l'Agence fran&ccedil;aise de s&eacute;curit&eacute; sanitaire des produits de sant&eacute; comprend :|UE6S110606|VRAI|||||||segmo
D.Les m&eacute;dicaments d&eacute;riv&eacute;s du sang|6) Le champ de comp&eacute;tence de l'Agence fran&ccedil;aise de s&eacute;curit&eacute; sanitaire des produits de sant&eacute; comprend :|UE6S110606|VRAI|||||||segmo
E.Les produits di&eacute;t&eacute;tiques|6) Le champ de comp&eacute;tence de l'Agence fran&ccedil;aise de s&eacute;curit&eacute; sanitaire des produits de sant&eacute; comprend :|UE6S110606|FAUX|||||||segmo
A.Sont men&eacute;es sur des animaux de laboratoire (in vivo)|7) Indiquez la (les) proposition(s) exacte(s) concernant les &eacute;tudes de toxicit&eacute; :|UE6S110607|VRAI|||||||segmo
B.Sont men&eacute;es sur des organes, tissus, cellules isol&eacute;es (ex vivo)|7) Indiquez la (les) proposition(s) exacte(s) concernant les &eacute;tudes de toxicit&eacute; :|UE6S110607|VRAI|||||||segmo
C.Sont men&eacute;es sur des cibles, mol&eacute;cules, r&eacute;cepteurs (in vitro)|7) Indiquez la (les) proposition(s) exacte(s) concernant les &eacute;tudes de toxicit&eacute; :|UE6S110607|VRAI|||||||segmo
D.Sont men&eacute;es sur des Hommes sains uniquement (in vivo)|7) Indiquez la (les) proposition(s) exacte(s) concernant les &eacute;tudes de toxicit&eacute; :|UE6S110607|FAUX|||||||segmo
E.Sont men&eacute;es sur des cibles virtuelles uniquement (in vitro)|7) Indiquez la (les) proposition(s) exacte(s) concernant les &eacute;tudes de toxicit&eacute; :|UE6S110607|FAUX|||||||segmo
A.Ils peuvent-&ecirc;tre li&eacute;s &agrave; l'âge|8)Indiquez la (les) proposition(s) exacte(s) concernant les effets toxiques :|UE6S110608|VRAI|||||||segmo
B.Ils sont toujours irr&eacute;versibles|8)Indiquez la (les) proposition(s) exacte(s) concernant les effets toxiques :|UE6S110608|FAUX|||||||segmo
C.Ils peuvent-&ecirc;tre li&eacute;s &agrave; la voie d'administration|8)Indiquez la (les) proposition(s) exacte(s) concernant les effets toxiques :|UE6S110608|VRAI|||||||segmo
D.Ils ne sont jamais li&eacute;s &agrave; l'environnement|8)Indiquez la (les) proposition(s) exacte(s) concernant les effets toxiques :|UE6S110608|FAUX|||||||segmo
E.Ils sont d'intensit&eacute; variable|8)Indiquez la (les) proposition(s) exacte(s) concernant les effets toxiques :|UE6S110608|VRAI|||||||segmo
A.Les &eacute;tudes de toxicit&eacute; aigu&euml; se font par administration unique du produit|9)Indiquez la (les) proposition(s) exacte(s) concernant la toxicit&eacute; algue:|UE6S110609|VRAI|||||||segmo
B.Les &eacute;tudes de toxicit&eacute; aigu&euml; permettent d'&eacute;valuer les effets toxiques susceptibles d'apparaitre apr&egrave;s une administration r&eacute;p&eacute;t&eacute;e du produit|9)Indiquez la (les) proposition(s) exacte(s) concernant la toxicit&eacute; aigue:|UE6S110609|FAUX|||||||segmo
C.Ces &eacute;tudes permettent d'orienter sur les doses &agrave; tester lors des essais ult&eacute;rieurs par administration r&eacute;p&eacute;t&eacute;e|9)Indiquez la (les) proposition(s) exacte(s) concernant la toxicit&eacute; aigu&euml;:|UE6S110609|VRAI|||||||segmo
D.Les effets toxiques aigus sont toujours morphologiques|9)Indiquez la (les) proposition(s) exacte(s) concernant la toxicit&eacute; algue:|UE6S110609|FAUX|D: morphologique ou fonctionnel||||||segmo
E.Le polymorphisme des animaux n'int&egrave;grent pas ces &eacute;tudes|9)Indiquez la (les) proposition(s) exacte(s) concernant la toxicit&eacute; aigue:|UE6S110609|FAUX|||||||segmo
A.La g&eacute;notoxicit&eacute; est la toxicit&eacute; entrainant des cancers|10) Indiquez la (les) proposition(s) exacte(s) concernant les &eacute;tudes de g&eacute;notoxicit&eacute; :|UE6S110610|FAUX|A:modifie le mat&eacute;riel g&eacute;n&eacute;tique||||||segmo
B.Un effet mutag&egrave;ne induit une modification structurale des chromosomes|10) Indiquez la (les) proposition(s) exacte(s) concernant les &eacute;tudes de g&eacute;notoxicit&eacute; :|UE6S110610|FAUX|B:effet mutag&egrave;ne induit une modification permanente de la structure d'un g&egrave;ne ou de ses s&eacute;quences de r&eacute;gulation||||||segmo
C.Un effet clastog&egrave;ne induit une modification permanente de la structure d'un g&egrave;ne ou de ses s&eacute;quences de r&eacute;gulation|10) Indiquez la (les) proposition(s) exacte(s) concernant les &eacute;tudes de g&eacute;notoxicit&eacute; :|UE6S110610|FAUX|C:effet clastog&egrave;ne induit une modification structurale des chromosomes||||||segmo
D.Ces &eacute;tudes permettent de mettre en &eacute;vidence une modification du patrimoine g&eacute;n&eacute;tique|10) Indiquez la (les) proposition(s) exacte(s) concernant les &eacute;tudes de g&eacute;notoxicit&eacute; :|UE6S110610|VRAI|||||||segmo
E.Ces &eacute;tudes peuvent d&eacute;tecter des effets t&eacute;ratog&egrave;nes du produit|10) Indiquez la (les) proposition(s) exacte(s) concernant les &eacute;tudes de g&eacute;notoxicit&eacute; :|UE6S110610|FAUX|mutag&egrave;ne et clastog&egrave;ne||||||segmo
A.La canc&eacute;rog&eacute;nicit&eacute; est la toxicit&eacute; qui modifie le mat&eacute;riel g&eacute;n&eacute;tique|11) Indiquez la (les) proposition(s) exacte(s) concernant les &eacute;tudes de canc&eacute;rog&eacute;nicit&eacute; :|UE6S110611|FAUX|A: donne des cancers||||||segmo
B.Ces &eacute;tudes sont non requises pour la conduite d'un essai clinique sauf en cas de certains signes d'appel|11) Indiquez la (les) proposition(s) exacte(s) concernant les &eacute;tudes de canc&eacute;rog&eacute;nicit&eacute; :|UE6S110611|VRAI|||||||segmo
C.Ces &eacute;tudes sont requises pour tout m&eacute;dicament &agrave; indication de longue dur&eacute;e|11) Indiquez la (les) proposition(s) exacte(s) concernant les &eacute;tudes de canc&eacute;rog&eacute;nicit&eacute; :|UE6S110611|VRAI|||||||segmo
D.Ces &eacute;tudes sont requises pour tout m&eacute;dicament &agrave; utilisation r&eacute;p&eacute;t&eacute;e|11) Indiquez la (les) proposition(s) exacte(s) concernant les &eacute;tudes de canc&eacute;rog&eacute;nicit&eacute; :|UE6S110611|VRAI|||||||segmo
E.Ces &eacute;tudes sont requises pour tout m&eacute;dicament &agrave; utilisation unique|11) Indiquez la (les) proposition(s) exacte(s) concernant les &eacute;tudes de canc&eacute;rog&eacute;nicit&eacute; :|UE6S110611|FAUX|||||||segmo
A.L'observance est le respect des instructions et des prescriptions du m&eacute;decin et/ou pharmacien|12) Indiquez la (les) proposition(s) exacte(s) concernant les d&eacute;fauts d'observance :|UE6S110612|VRAI|||||||segmo
B.Le d&eacute;faut d'observance est un facteur majeur d'&eacute;chec th&eacute;rapeutique pour le patient|12) Indiquez la (les) proposition(s) exacte(s) concernant les d&eacute;fauts d'observance :|UE6S110612|VRAI|||||||segmo
C.Le d&eacute;faut d'observance introduit en plus un risque iatrog&egrave;ne|12) Indiquez la (les) proposition(s) exacte(s) concernant les d&eacute;fauts d'observance :|UE6S110612|VRAI|||||||segmo
D.Le d&eacute;faut d'observance est r&eacute;v&eacute;lateur de la relation m&eacute;decin-malade|12) Indiquez la (les) proposition(s) exacte(s) concernant les d&eacute;fauts d'observance :|UE6S110612|VRAI|||||||segmo
E.Le d&eacute;faut d'observance a une pr&eacute;valence de 32% apr&egrave;s hospitalisation (USA)|12) Indiquez la (les) proposition(s) exacte(s) concernant les d&eacute;fauts d'observance :|UE6S110612|VRAI|||||||segmo
A.Est anarchique lorsqu'elle est non encadr&eacute;e|13) Indiquez la (les) proposition(s) exacte(s) concernant l'autom&eacute;dication :|UE6S110613|VRAI|Autom&eacute;dication : Sans prescription, diff&eacute;rent de la iatropathog&eacute;nie||||||segmo
B.Diminue apr&egrave;s 65ans|13) Indiquez la (les) proposition(s) exacte(s) concernant l'autom&eacute;dication :|UE6S110613|VRAI|||||||segmo
C.Peut &ecirc;tre la signification d'&eacute;chec de traitement ant&eacute;rieur|13) Indiquez la (les) proposition(s) exacte(s) concernant l'autom&eacute;dication :|UE6S110613|VRAI|||||||segmo
D.Expose &agrave; des accidents m&eacute;dicamenteux|13) Indiquez la (les) proposition(s) exacte(s) concernant l'autom&eacute;dication :|UE6S110613|VRAI|||||||segmo
E.Expose &agrave; un risque iatrog&egrave;ne|13) Indiquez la (les) proposition(s) exacte(s) concernant l'autom&eacute;dication :|UE6S110613|FAUX|autom&eacute;dication est exclu de la iatrog&eacute;nie||||||segmo
A.Signifie le niveau de concordance entre les recommandations du m&eacute;decin et le comportement du patient|14) Indiquez la (les) proposhion(s) exacte(s) concernant l'iatropathog&eacute;nie :|UE6S110614|FAUX|A: d&eacute;finition de l'observance||||||segmo
B.Expose &agrave; des accidents m&eacute;dicamenteux|14) Indiquez la (les) proposhion(s) exacte(s) concernant l'iatropathog&eacute;nie :|UE6S110614|VRAI|||||||segmo
C.Peut-&ecirc;tre &agrave; l'origine de mortalit&eacute;|14) Indiquez la (les) proposhion(s) exacte(s) concernant l'iatropathog&eacute;nie :|UE6S110614|VRAI|||||||segmo
D.Est toujours li&eacute;es &agrave; la prescription m&eacute;dicale|14) Indiquez la (les) proposhion(s) exacte(s) concernant l'iatropathog&eacute;nie :|UE6S110614|VRAI|||||||segmo
E.Interf&egrave;re sur l'&eacute;volution de la maladie initialement prise en charge|14) Indiquez la (les) proposhion(s) exacte(s) concernant l'iatropathog&eacute;nie :|UE6S110614|VRAI|||||||segmo
