labelAnswer|title|slug|answer|commentAnswer|summary|content|authorEmail|||
E. G&eacute;notypage|7)Par mi ces techniques, lesquelles ne font pas parties du « g&eacute;nie g&eacute;n&eacute;tique » :|UE7S110607|FAUX|||||||segmo
A. la psychologie est l'&eacute;tude des troubles mentaux|16)Quelles sont la ou les r&eacute;ponses vraies|UE7S110616|FAUX|A. psychologie: fonctionnement psychique||||||segmo
B. En m&eacute;decine g&eacute;n&eacute;rale 40% des patients sont fonctionnels|16)Quelles sont la ou les r&eacute;ponses vraies|UE7S110616|FAUX|B. 50%||||||segmo
C. La psychologie est un terme qui date du 19&egrave;me si&egrave;cle|16)Quelles sont la ou les r&eacute;ponses vraies|UE7S110616|VRAI|||||||segmo
D. La personnalit&eacute; se construit d&egrave;s la naissance|16)Quelles sont la ou les r&eacute;ponses vraies|UE7S110616|FAUX|D. personnalit&eacute; se construit d&egrave;s la vie intra ut&eacute;rine||||||segmo
E. Le ph&eacute;notype r&eacute;sulte d'une interaction avec le g&eacute;nome et de l'environnement|16)Quelles sont la ou les r&eacute;ponses vraies|UE7S110616|VRAI|||||||segmo
A. Le temp&eacute;rament n'est pas biologiquement d&eacute;termin&eacute;|17)Quelles sont la ou les r&eacute;ponses vraies|UE7S110617|FAUX|A. il est biologiquement d&eacute;termin&eacute;||||||segmo
B. Le temp&eacute;rament est moins mall&eacute;able que la personnalit&eacute;|17)Quelles sont la ou les r&eacute;ponses vraies|UE7S110617|VRAI|||||||segmo
C. Le temp&eacute;rament est r&eacute;gul&eacute; par la personnalit&eacute;|17)Quelles sont la ou les r&eacute;ponses vraies|UE7S110617|VRAI|||||||segmo
D. La personnalit&eacute; est statique|17)Quelles sont la ou les r&eacute;ponses vraies|UE7S110617|FAUX|D. personnalit&eacute;: organisation dynamique||||||segmo
E. Les fran&ccedil;ais sont des grands consommateurs de psychotropes|17)Quelles sont la ou les r&eacute;ponses vraies|UE7S110617|VRAI|||||||segmo
A. C'est en 1840 que l'on recense plus de 50 d&eacute;finitions de la personnalit&eacute;|18)Quelles sont la ou les r&eacute;ponses vraies|UE7S110618|FAUX|A. En 1937||||||segmo
B. L'hypnose permet l'acc&egrave;s au refoul&eacute;|18)Quelles sont la ou les r&eacute;ponses vraies|UE7S110618|VRAI|||||||segmo
C. La sublimation peut d&eacute;terminer notre future profession|18)Quelles sont la ou les r&eacute;ponses vraies|UE7S110618|VRAI|||||||segmo
D. C'est dans le stade oral que l'on retrouve le plaisir du non|18)Quelles sont la ou les r&eacute;ponses vraies|UE7S110618|FAUX|D.le plaisir du non dans le stade anal||||||segmo
E. La p&eacute;riode de l'adolescence se termine par la capacit&eacute; &agrave; &ecirc;tre autonome|18)Quelles sont la ou les r&eacute;ponses vraies|UE7S110618|VRAI|||||||segmo
A. Le principe de r&eacute;alit&eacute; vise &agrave; l'obtention de satisfaction par des voies d&eacute;tourn&eacute;es|19)Quelles sont la ou les r&eacute;ponses vraies|UE7S110619|VRAI|||||||segmo
B. Au fur et &agrave; mesure du d&eacute;veloppement, le principe de r&eacute;alit&eacute; prend le pas sur le principe de plaisir|19)Quelles sont la ou les r&eacute;ponses vraies|UE7S110619|VRAI|||||||segmo
C. Le Ça : principe de plaisir|19)Quelles sont la ou les r&eacute;ponses vraies|UE7S110619|VRAI|p&ocirc;le puslionnel||||||segmo
D. Le moi est h&eacute;ritier du complexe d'Oedipe|19)Quelles sont la ou les r&eacute;ponses vraies|UE7S110619|FAUX|D. le surmoi est h&eacute;ritier du complexe d'CEdipe||||||segmo
E. Le moi est issu du &ccedil;a et de la r&eacute;alit&eacute;|19)Quelles sont la ou les r&eacute;ponses vraies|UE7S110619|VRAI|||||||segmo
A. La th&eacute;orie de l'attachement a une double fonction: protection et socialisation|20)Quelles sont la ou les r&eacute;ponses vraies|UE7S110620|VRAI|||||||segmo
B. Dans le d&eacute;veloppement cognitif selon Piaget, il y a une r&eacute;versibilit&eacute; de la pens&eacute;e au stade pr&eacute;op&eacute;ratoire|20)Quelles sont la ou les r&eacute;ponses vraies|UE7S110620|FAUX|B. la r&eacute;versibilit&eacute; de la pens&eacute;e est au stade des op&eacute;rations concr&egrave;tes||||||segmo
C. La p&eacute;riode des op&eacute;rations formelles comporte le raisonnement hypoth&eacute;tico-d&eacute;ductif|20)Quelles sont la ou les r&eacute;ponses vraies|UE7S110620|VRAI|||||||segmo
D. Il y a 6 stades dans l'intelligence sensori-motrice|20)Quelles sont la ou les r&eacute;ponses vraies|UE7S110620|VRAI|||||||segmo
E. Le stade pr&eacute;-op&eacute;ratoire va de 2 &agrave; 6 ans|20)Quelles sont la ou les r&eacute;ponses vraies|UE7S110620|VRAI|||||||segmo
A. S'applique &agrave; l'ensemble de l'activit&eacute; humaine|21)Concemant le langage humain :|UE7S110621|VRAI|||||||segmo
B. est inn&eacute;|21)Concemant le langage humain :|UE7S110621|FAUX|B. Le langage n'est pas inn&eacute; m&ecirc;me si le processus permettant son acquisition et sa mise en oeuvre est en grande partie inn&eacute;. Le nouveau-n&eacute; n'est pas capable de parler &agrave; la sortie du ventre de sa m&egrave;re et le langage se d&eacute;veloppera progressivement||||||segmo
C. Est tr&egrave;s peu complexe|21)Concemant le langage humain :|UE7S110621|FAUX|C. Le langage humain est le seul &agrave; avoir un tel niveau de complexit&eacute;||||||segmo
D. est articul&eacute;|21)Concemant le langage humain :|UE7S110621|VRAI|||||||segmo
E. Varie notamment selon le contexte social et culturel|21)Concemant le langage humain :|UE7S110621|VRAI|||||||segmo
A. constituent les projections affectives du m&eacute;decin sur le malade|22)Concernant le transfert :|UE7S110622|FAUX|A. projections affectives du malade sur le m&eacute;decin||||||segmo
B. Lorsque le transfert est positif, il peut se traduire par une confiance et une sympathie du malade envers le m&eacute;decin|22)Concernant le transfert :|UE7S110622|VRAI|||||||segmo
C. À l'inverse, un transfert n&eacute;gatif peut induire &agrave; l'extr&ecirc;me un effet th&eacute;rapeutique contraire|22)Concernant le transfert :|UE7S110622|VRAI|||||||segmo
D. Le transfert est le plus souvent positif|22)Concernant le transfert :|UE7S110622|VRAI|||||||segmo
E. L'empathie du m&eacute;decin envers le malade joue une place importante dans le m&eacute;canisme de transfert|22)Concernant le transfert :|UE7S110622|VRAI|||||||segmo
A. 3 conceptions de la maladie coexistent : exog&egrave;ne, endog&egrave;ne et mixte|23)Concernant la relation m&eacute;decin/malade:|UE7S110623|FAUX|A. 2 conceptions : exog&egrave;ne et endog&egrave;ne||||||segmo
