labelAnswer|title|slug|answer|commentAnswer|summary|content|authorEmail|||
1. La microscopie photonique  permet d'observer des cellules vivantes.||UE2S1101||Vrai||||||segmo
La microscopie photonique, L'angle cr&eacute;&eacute; par le condenseur doit &ecirc;tre le plus petit possible pour avoir la meilleure r&eacute;solution.|1|UE2S1101||Faux le plus grand||||||segmo
La microscopie photonique, <br><br>Plus la longueur d'onde est grande et plus la r&eacute;solution est grande.|1|UE2S1101||Vrai||||||segmo
Les microscopes photoniques industriels permettent d'avoir une r&eacute;solution de 0.2 micron.|1|UE2S1101||Faux 0,5 micron||||||segmo
On peut observer des mitochondries au microscope photonique.|1|UE2S1101||Vrai||||||segmo
En microscopie &agrave; fluorescence, l'&eacute;chantillon est color&eacute; avec un fluorochrome.|2|UE2S1101||Vrai||||||segmo
2. Le fluorochrome &eacute;met de la lumi&egrave;re lorsqu'il est excit&eacute; par un type de longueur d'onde pr&eacute;cis.||UE2S1101||Vrai||||||segmo
2. La r&eacute;solution de la microscopie &eacute;lectronique est environ 1000 fois sup&eacute;rieure &agrave; celle de l'optique.||UE2S1101||Faux c'est une r&eacute;solution 1000 fois inf&eacute;rieure||||||segmo
La microscopie &eacute;lectronique est plus on&eacute;reuse que l'optique.|2|UE2S1101||Vrai||||||segmo
3. Parmi ces diff&eacute;rents colorants, trouver l'intrus <br>A) Noir soudan <br>B) Orc&eacute;ine <br>C) Giemsa <br>D) Aniline <br>E) Eosine||UE2S1101||C <br>giemsa colorant synth&eacute;tique||||||segmo
Les bact&eacute;ries et les virus ont le m&ecirc;me ordre de grandeur.|4|UE2S1101||Faux <br>le virus est beaucoup plus petit (c'est mitochondrie=bact&eacute;rie)||||||segmo
On peut observer en d&eacute;tail un ribosome avec un microscope optique.|4|UE2S1101||Faux||||||segmo
Mitochondrie = 20 �&micro;m|4.|UE2S1101||Faux||||||segmo
Ribosome = 0.2 �&micro;m|4|UE2S1101||Faux<br>20 nm||||||segmo
Quelles sont les deux techniques qui permettent d'observer des cellules vivantes <br>A) La microscopie &agrave; contraste de phase. <br>B) La microscopie a transmission. <br>C) La microscopie &eacute;lectronique &agrave; balayage. <br>D) L'observation &agrave; l'oeil nu. <br>E) La technique du fond noir.|5|UE2S1101||AE||||||segmo
L'inclusion sert &agrave; conserver la configuration et la structure des prot&eacute;ines et organites de la cellule.|7|UE2S1101||Faux c'est la fixation||||||segmo
On r&eacute;alise avec les r&eacute;sines des coupes plus fines qu'avec la paraffine.|7|UE2S1101||Vrai||||||segmo
7. La cong&eacute;lation doit se faire apr&egrave;s l'inclusion.||UE2S1101||Faux||||||segmo
On peut obtenir des images en 3 D avec la microscopie photonique.|7|UE2S1101||Vrai||||||segmo
MO, <br>la fixation permet de conserver l'activit&eacute; biologique des prot&eacute;ines.|8.|UE2S1101||Faux||||||segmo
