labelAnswer|title|slug|answer|commentAnswer|summary|content|authorEmail|||
A. La face sterno-costale du cœur regarde vers l'avant et vers la droite|1. Concernant le cœur, donnez la ou les r&eacute;ponse(s) exacte(s).|UE5T120401|VRAI|||||||
B. La face sterno-costale est situ&eacute;e entre le bord sup&eacute;rieur droit et le bord droit du cœur|1. Concernant le cœur, donnez la ou les r&eacute;ponse(s) exacte(s).|UE5T120401|FAUX|B. La face sterno costale est situ&eacute;e entre le bord sup&eacute;rieur gauche, et le bord droit du cœur (le bord sup&eacute;rieure droit n'existe pas)||||||
C. La face post&eacute;rieure du cœur re&ccedil;oit l'abouchement des art&egrave;res pulmonaires|1. Concernant le cœur, donnez la ou les r&eacute;ponse(s) exacte(s).|UE5T120401|FAUX|C. Faux, la face post&eacute;rieure du cœur re&ccedil;oit l'abouchement des veines pulmonaires||||||
D. La face diaphragmatique du cœur est situ&eacute;e entre le bord droit et inf&eacute;rieur gauche|1. Concernant le cœur, donnez la ou les r&eacute;ponse(s) exacte(s).|UE5T120401|VRAI|||||||
E. La face lat&eacute;rale gauche du cœur est situ&eacute;e entre le bord sup&eacute;rieure gauche et le bord inf&eacute;rieure gauche|1. Concernant le cœur, donnez la ou les r&eacute;ponse(s) exacte(s).|UE5T120401|VRAI|||||||
A. Le tronc pulmonaire (art&egrave;re pulmonaire) est issu du ventricule gauche|2. Concernant le cœur, donnez la ou les r&eacute;ponse(s) exacte(s).|UE5T120402|FAUX|A. L'art&egrave;re pulmonaire est issus du ventricule droit||||||
B. L'aorte, contient du sang riche en dioxyg&egrave;ne, est issus du ventricule droit|2. Concernant le cœur, donnez la ou les r&eacute;ponse(s) exacte(s).|UE5T120402|FAUX|B. L'aorte est issu du ventricule gauche||||||
C. Les veines pulmonaires contiennent un sang riche en dioxyde de carbone et se jettent dans l'atrium gauche|2. Concernant le cœur, donnez la ou les r&eacute;ponse(s) exacte(s).|UE5T120402|FAUX|C. Faux, les veines pulmonaires contiennent un sang « art&eacute;riel » : riche en dioxyg&egrave;ne||||||
D. L'art&egrave;re pulmonaire contient du sang art&eacute;riel c'est &agrave; dire riche en dioxyg&egrave;ne|2. Concernant le cœur, donnez la ou les r&eacute;ponse(s) exacte(s).|UE5T120402|FAUX|D. L'art&egrave;re pulmonaire contient du sang « veineux » : riche en dioxyde de carbone||||||
E. Le faisceau de His faisant partie de l'innervation intrins&egrave;que du cœur, succ&egrave;de au nœud auriculo ventriculaire|2. Concernant le cœur, donnez la ou les r&eacute;ponse(s) exacte(s).|UE5T120402|VRAI|||||||
A. Il a une forme ovo&iuml;de et poss&egrave;de 4 faces|3. Concernant l'atrium droit, donnez la ou les r&eacute;ponse(s) exacte(s).|UE5T120403|FAUX|6||||||
B. La face sup&eacute;rieur re&ccedil;oit l'abouchement de la veine cave sup&eacute;rieure et de la veine azygos|3. Concernant l'atrium droit, donnez la ou les r&eacute;ponse(s) exacte(s).|UE5T120403|FAUX|B. La face sup&eacute;rieure re&ccedil;oit seulement l'abouchement de la veine cave sup&eacute;rieure, l'azygos se jette directement dans la veine cave sup&eacute;rieure||||||
C. La face inf&eacute;rieur re&ccedil;oit l'abouchement de la veine cave inf&eacute;rieure seulement|3. Concernant l'atrium droit, donnez la ou les r&eacute;ponse(s) exacte(s).|UE5T120403|FAUX|C. La face inf&eacute;rieure re&ccedil;oit aussi l'abouchement du sinus coronaire||||||
D. Les ostiums de la veine cave sup&eacute;rieure et de la veine cave inf&eacute;rieur sont valvul&eacute;s|3. Concernant l'atrium droit, donnez la ou les r&eacute;ponse(s) exacte(s).|UE5T120403|FAUX|D. Faux, l'ostium de la veine cave sup&eacute;rieure n'est pas valvul&eacute;e||||||
E. La fosse ovale est la marque d'une ancienne communication embryonnaire entre les 2 atriums|3. Concernant l'atrium droit, donnez la ou les r&eacute;ponse(s) exacte(s).|UE5T120403|VRAI|||||||
A. Le nœud sinusale, responsable de l'automatisme cardiaque est pr&eacute;sent au sein de la paroi de l'atrium gauche|4. Concernant l'innervation du cœur, donner la ou les r&eacute;ponse(s) exacte(s).|UE5T120404|FAUX|A. Faux, il est pr&eacute;sent au sein de la paroi de l'atrium droit||||||
B. Le r&eacute;seau de Purkinje succ&egrave;de aux branches droites et gauches du faisceau de His|4. Concernant l'innervation du cœur, donner la ou les r&eacute;ponse(s) exacte(s).|UE5T120404|VRAI|||||||
C. Le cycle cardiaque se d&eacute;compose en 2 temps : diastole (contraction), et systole (relaxation)|4. Concernant l'innervation du cœur, donner la ou les r&eacute;ponse(s) exacte(s).|UE5T120404|FAUX|C. Faux, la diastole correspond &agrave; la relaxation, et la systole la contraction<br>(d comme d&eacute;contraction, marche aussi pour mydriase, c'est sympathique la d&eacute;contraction ^^)||||||
D. L'innervation extrins&egrave;que permet d'acc&eacute;l&eacute;rer ou de ralentir l'automatisme cardiaque|4. Concernant l'innervation du cœur, donner la ou les r&eacute;ponse(s) exacte(s).|UE5T120404|VRAI|||||||
