labelAnswer|title|slug|answer|commentAnswer|summary|content|authorEmail|||
A.Papav&eacute;rine.|1)Parmi les mol&eacute;cules suivantes, d&eacute;signez la (ou les) h&eacute;t&eacute;roside(s) :|UE6S110401|FAUX|ABCDE. Papav&eacute;rine + coca&iuml;ne = alcalo&iuml;de, t&eacute;trahydrocannabinol = aucun des 2||||||segmo
B.Digitaline.|1)Parmi les mol&eacute;cules suivantes, d&eacute;signez la (ou les) h&eacute;t&eacute;roside(s) :|UE6S110401|VRAI|ABCDE. Papav&eacute;rine + coca&iuml;ne = alcalo&iuml;de, t&eacute;trahydrocannabinol = aucun des 2||||||segmo
C.T&eacute;trahydrocannabinol.|1)Parmi les mol&eacute;cules suivantes, d&eacute;signez la (ou les) h&eacute;t&eacute;roside(s) :|UE6S110401|FAUX|ABCDE. Papav&eacute;rine + coca&iuml;ne = alcalo&iuml;de, t&eacute;trahydrocannabinol = aucun des 2||||||segmo
D.Coca&iuml;ne.|1)Parmi les mol&eacute;cules suivantes, d&eacute;signez la (ou les) h&eacute;t&eacute;roside(s) :|UE6S110401|FAUX|ABCDE. Papav&eacute;rine + coca&iuml;ne = alcalo&iuml;de, t&eacute;trahydrocannabinol = aucun des 2||||||segmo
E.Digoxine.|1)Parmi les mol&eacute;cules suivantes, d&eacute;signez la (ou les) h&eacute;t&eacute;roside(s) :|UE6S110401|VRAI|ABCDE. Papav&eacute;rine + coca&iuml;ne = alcalo&iuml;de, t&eacute;trahydrocannabinol = aucun des 2||||||segmo
A.Le Mercure &eacute;tait jadis indiqu&eacute; pour forcer les occlusions intestinales.|2)Parmi les propositions suivantes, laquelle ou lesquelles est (sont) exacte(s) ?|UE6S110402|VRAI|||||||segmo
B.Les diur&eacute;tiques mercuriels sont puissants mais pr&eacute;sentent une toxicit&eacute;, en particulier cardiaque.|2)Parmi les propositions suivantes, laquelle ou lesquelles est (sont) exacte(s) ?|UE6S110402|VRAI|||||||segmo
C.Le trioxyde d'argent est utilis&eacute; dans le traitement de la leuc&eacute;mie aig&uuml;e promy&eacute;locytaire.|2)Parmi les propositions suivantes, laquelle ou lesquelles est (sont) exacte(s) ?|UE6S110402|FAUX|C:le trioxyde d'arsenic,||||||segmo
D.Le duod&eacute;num de rat est une fibre musculaire lisse.|2)Parmi les propositions suivantes, laquelle ou lesquelles est (sont) exacte(s) ?|UE6S110402|VRAI|||||||segmo
E.Les h&eacute;mi synth&egrave;ses sont des copies exactes de mol&eacute;cules.|2)Parmi les propositions suivantes, laquelle ou lesquelles est (sont) exacte(s) ?|UE6S110402|FAUX|E: h&eacute;misynth&egrave;se= synth&egrave;se chimique s'inspirant d'une mol&eacute;cule, ce n'est pas une copie exacte !!!||||||segmo
