labelAnswer|title|slug|answer|commentAnswer|summary|content|authorEmail|||
A.Sont des &ecirc;tres vivants sans membrane autour de leur noyau.|1. Concernant les eucaryotes (2R) :|UE7S110101|FAUX|||||||segmo
B.Sont des &ecirc;tres vivant poss&eacute;dant une membrane autour de leur noyau.|1. Concernant les eucaryotes (2R) :|UE7S110101|VRAI|||||||segmo
C.Les plantes, les champignons, les bact&eacute;ries, les animaux sont des eucaryotes.|1. Concernant les eucaryotes (2R) :|UE7S110101|FAUX|C : bact&eacute;rie = procaryote||||||segmo
D.Tous les &ecirc;tres vivant sont des eucaryotes.|1. Concernant les eucaryotes (2R) :|UE7S110101|FAUX|||||||segmo
E.L'homme est un eucaryote.|1. Concernant les eucaryotes (2R) :|UE7S110101|VRAI|||||||segmo
A.Carol Von Linn&eacute; est l'initiateur de la syst&eacute;matique.|2. Parmi ces propositions, lesquelles sont vraies (3R) :|UE7S110102|VRAI|||||||segmo
B.Le fixisme appuie la th&eacute;orie de l'&eacute;volution.|2. Parmi ces propositions, lesquelles sont vraies (3R) :|UE7S110102|FAUX|B: fixisme consid&egrave;re que toutes les esp&egrave;ces sont apparues en m&ecirc;me. Pas d'&eacute;volution.||||||segmo
C.Jean-Baptiste Lamarck est un des pr&eacute;curseurs de la th&eacute;orie de l'&eacute;volution des esp&egrave;ces.|2. Parmi ces propositions, lesquelles sont vraies (3R) :|UE7S110102|VRAI|||||||segmo
D.Selon les lois lamarckiennes, l'organe cr&eacute;e la fonction.|2. Parmi ces propositions, lesquelles sont vraies (3R) :|UE7S110102|FAUX|D : La fonction cr&eacute;e l'organe.||||||segmo
E.Charles Darwin pose les bas e de la s&eacute;lection naturelle.|2. Parmi ces propositions, lesquelles sont vraies (3R) :|UE7S110102|VRAI|||||||segmo
A.Les mutations.|3. Parmi ces propositions, lesquels sont impliqu&eacute;s dans l'&eacute;volution des esp&egrave;ces (4R) :|UE7S110103|VRAI|||||||segmo
B.les r&eacute;arrangements chromosomiques.|3. Parmi ces propositions, lesquels sont impliqu&eacute;s dans l'&eacute;volution des esp&egrave;ces (4R) :|UE7S110103|VRAI|||||||segmo
C.les recombinaisons g&eacute;n&eacute;tiques.|3. Parmi ces propositions, lesquels sont impliqu&eacute;s dans l'&eacute;volution des esp&egrave;ces (4R) :|UE7S110103|VRAI|||||||segmo
D.Le clonage.|3. Parmi ces propositions, lesquels sont impliqu&eacute;s dans l'&eacute;volution des esp&egrave;ces (4R) :|UE7S110103|FAUX|||||||segmo
E.Les ph&eacute;nom&egrave;nes &eacute;pig&eacute;n&eacute;tiques.|3. Parmi ces propositions, lesquels sont impliqu&eacute;s dans l'&eacute;volution des esp&egrave;ces (4R) :|UE7S110103|VRAI|||||||segmo
A.la sp&eacute;ciation correspond au processus &eacute;volutif biologique par lequel de nouvelles esp&egrave;ces vivantes apparaissent.|4. Concernant la sp&eacute;ciation (4R) :|UE7S110104|VRAI|||||||segmo
B.La sp&eacute;ciation allopatrique correspond &agrave; l'apparition d'individus ayant des caract&eacute;ristiques de reproduction diff&eacute;rente des autres individus de la m&ecirc;me esp&egrave;ce.|4. Concernant la sp&eacute;ciation (4R) :|UE7S110104|FAUX|||||||segmo
C.Le dimorphisme correspond &agrave; une diff&eacute;rence morphologique entre le mâle et la femelle au sein d'une m&ecirc;me esp&egrave;ce.|4. Concernant la sp&eacute;ciation (4R) :|UE7S110104|VRAI|||||||segmo
D.La sp&eacute;ciation sympatrique correspond &agrave; l'apparition d'individus ayant des caract&eacute;ristiques de reproduction diff&eacute;rentes des autres individus de la m&ecirc;me esp&egrave;ce.|4. Concernant la sp&eacute;ciation (4R) :|UE7S110104|VRAI|||||||segmo
A.Les protozoaires sont des animaux d'apparition tardive.|5. Parmi les propositions suivantes (2R) :|UE7S110105|FAUX|A: apparition primitive||||||segmo
B.Les plus primitifs des m&eacute;tazoaires sont les flagelles.|5. Parmi les propositions suivantes (2R) :|UE7S110105|FAUX|B: flagelles = protozoaires||||||segmo
C.Les m&eacute;tazoaires comprennent tous les animaux pluri cellulaires.|5. Parmi les propositions suivantes (2R) :|UE7S110105|VRAI|||||||segmo
D.Les rhizopodes, les flagell&eacute;s et les les apicomplexa sont tous des protozoaires.|5. Parmi les propositions suivantes (2R) :|UE7S110105|VRAI|||||||segmo
E.On compte 3 cat&eacute;gories de Tripanosomia : les bruceis, les cruzi, et les tripanozeis.|5. Parmi les propositions suivantes (2R) :|UE7S110105|FAUX|E: tripanozeis n'existe pas !||||||segmo
A.les m&eacute;tazoaires diploblastiques sont constitu&eacute;s d'un ectoderme et d'un endoderme.|6. Concernant les m&eacute;tazoaires (3R) :|UE7S110106|VRAI|||||||segmo
B.les &eacute;ponges ont une reproduction uniquement asexu&eacute;e.|6. Concernant les m&eacute;tazoaires (3R) :|UE7S110106|FAUX|B: sexu&eacute;e et asexu&eacute;e||||||segmo
C.Les cnidaires regroupent les polypes et les m&eacute;duses.|6. Concernant les m&eacute;tazoaires (3R) :|UE7S110106|VRAI|||||||segmo
D.Les m&eacute;tazoaires tripoblastiques regroupent les pathelminthes et les n&eacute;mathelminthes.|6. Concernant les m&eacute;tazoaires (3R) :|UE7S110106|VRAI|||||||segmo
E.Les tr&eacute;matodes ont un appareil respiratoire.|6. Concernant les m&eacute;tazoaires (3R) :|UE7S110106|FAUX|||||||segmo
A.Ils ont un syst&egrave;me nerveux dorsal tr&egrave;s d&eacute;velopp&eacute;.|7. Concernant les mollusques(3R) :|UE7S110107|FAUX|A : syst&egrave;me nerveux ventral.||||||segmo
B.Sont divis&eacute;s en 3 groupes.|7. Concernant les mollusques(3R) :|UE7S110107|VRAI|||||||segmo
C.Les lamellibranches sont des animaux terrestres.|7. Concernant les mollusques(3R) :|UE7S110107|FAUX|C : animaux marins.||||||segmo
D.Les c&eacute;phalopodes ont des pieds directement ins&eacute;r&eacute;s sur la t&ecirc;te. V|7. Concernant les mollusques(3R) :|UE7S110107|VRAI|||||||segmo
E.Les c&eacute;phalopodes sont capables de coordonner des activit&eacute;s de chasse.|7. Concernant les mollusques(3R) :|UE7S110107|VRAI|||||||segmo
A.les ann&eacute;lides sont regroup&eacute;s en 3 classes selon leur abondance de poils.|8. Concernant les m&eacute;tazoaires protostomiens (3R):|UE7S110108|VRAI|||||||segmo
