labelAnswer|title|slug|answer|commentAnswer|summary|content|authorEmail|||
A. La personnalit&eacute; se construit de la moyenne enfance &agrave; l'âge adulte|1. Donnez la ou les r&eacute;ponses exactes :|UE7S110401|FAUX|A. de la vie intra-ut&eacute;rine &agrave; l'âge adulte||||||segmo
B. La personnalit&eacute; est une organisation dynamique des aspects intellectuels, affectifs, comportementaux, physiologiques et morphologiques de l'individu avec son milieu|1. Donnez la ou les r&eacute;ponses exactes :|UE7S110401|VRAI|||||||segmo
C. Une plainte fonctionnelle correspond &agrave; une pathologie organique dont l'expression se fait via des troubles du comportement|1. Donnez la ou les r&eacute;ponses exactes :|UE7S110401|FAUX|C. plainte dont l'origine n'est pas organique mais malaise dont l'expression se fait par le corps||||||segmo
D. Le r&ocirc;le du m&eacute;decin dans la prise en charge de ces patients fonctionnelle est avant tout verbal|1. Donnez la ou les r&eacute;ponses exactes :|UE7S110401|VRAI|||||||segmo
E. La psychologie m&eacute;dicale ne doit &ecirc;tre appliqu&eacute;e que par les professionnels de la discipline :. psychiatres, psychologue, psychanalystes|1. Donnez la ou les r&eacute;ponses exactes :|UE7S110401|FAUX|E. la psychologie m&eacute;dicale s'adresse &agrave; tous les corps de sant&eacute; et tous les patients||||||segmo
A. L'introspection est une m&eacute;thode qui n&eacute;cessite deux protagonistes bien distincts : l'observateur et l'observ&eacute;|2. Donnez la ou les r&eacute;ponses exactes :|UE7S110402|FAUX|A. introspection = m&eacute;thode dans laquelle l'observateur et l'observ&eacute; sont une seule et m&ecirc;me personne||||||segmo
B. S. Freud a beaucoup &eacute;tudi&eacute; le conscient et la mani&egrave;re dont celui-ci influe sur nos actes et nos conduites|2. Donnez la ou les r&eacute;ponses exactes :|UE7S110402|FAUX|B. S. Freud a &eacute;tudi&eacute; l'inconscient||||||segmo
C. le registre comportemental de l'interaction m&egrave;re-enfant inclus 3 composantes : corporel, visuel, et affectif|2. Donnez la ou les r&eacute;ponses exactes :|UE7S110402|FAUX|C. corporel, visuel, vocale||||||segmo
D. L'attachement primaire du b&eacute;b&eacute; &agrave; sa m&egrave;re permet protection et socialisation|2. Donnez la ou les r&eacute;ponses exactes :|UE7S110402|VRAI|||||||segmo
E. Dans la th&eacute;orie de l'esprit, la repr&eacute;sentation compl&egrave;te d'une « action mentale » se fait vers 10 ans chez l'enfant|2. Donnez la ou les r&eacute;ponses exactes :|UE7S110402|FAUX|E. repr&eacute;sentation compl&egrave;te d'une action mentale = 4 ans||||||segmo
A. Le langage se d&eacute;finit comme tout syst&egrave;me de signe d'origine strictement humaine utilis&eacute;e &agrave; des fins de communication|3. Donnez la ou les r&eacute;ponses exactes :|UE7S110403|FAUX|A. Syst&egrave;me de signes d'origine humaine ou non !||||||segmo
B. De 12 &agrave; 16 mois, l'enfant poss&egrave;de d&eacute;j&agrave; plus de 1000 mots et c'est le d&eacute;but de la grammaire|3. Donnez la ou les r&eacute;ponses exactes :|UE7S110403|FAUX|B. 12 &agrave; 16 moi : environ 50 mots avec un accroissement tr&egrave;s lent du vocabulaire||||||segmo
C. Les « crises de la vie » correspondent &agrave; des moments cl&eacute;s o&ugrave; le processus de deuil est &agrave; l'oeuvre comme l'arriv&eacute;e d'un premier enfant, d&eacute;part d'un enfant, le passage d'une dizaine d'ann&eacute;e|3. Donnez la ou les r&eacute;ponses exactes :|UE7S110403|VRAI|||||||segmo
D. Toute pathologie somatique comme psychiatrique interf&egrave;re avec le processus du d&eacute;veloppement de la personnalit&eacute;|3. Donnez la ou les r&eacute;ponses exactes :|UE7S110403|VRAI|||||||segmo
E. Entre 2 et 6 ans, l'enfant acqu&eacute;rit la notion de mort irr&eacute;versible, de cycle de la vie|3. Donnez la ou les r&eacute;ponses exactes :|UE7S110403|FAUX|E. entre 2 et 6 ans = l'enfant a notion de mort et de vie mais pense que ces deux &eacute;tats sont r&eacute;versibles||||||segmo
A. Le m&eacute;decin sp&eacute;cialiste renvoie une image maternelle|4) Dans la relation m&eacute;decin / malade:|UE7S110404|FAUX|A. Sp&eacute;cialiste: image paternelle||||||segmo
B. Le contre transfert est un mouvement affectif conscient chez le m&eacute;decin|4) Dans la relation m&eacute;decin / malade:|UE7S110404|FAUX|B. Le contre transfert est un mouvement affectif inconscient chez le m&eacute;decin||||||segmo
C. Dans la r&eacute;gression, r&eacute;action psychologique face &agrave; la maladie, le malade peut &ecirc;tre &eacute;gocentrique|4) Dans la relation m&eacute;decin / malade:|UE7S110404|VRAI|||||||segmo
D.A partir de 40/45 ans, le malade est psychologiquement plus vuln&eacute;rable et r&eacute;agit plus mal &agrave; la maladie|4) Dans la relation m&eacute;decin / malade:|UE7S110404|VRAI|||||||segmo
E. La d&eacute;pendance peut &ecirc;tre source de b&eacute;n&eacute;fices secondaires|4) Dans la relation m&eacute;decin / malade:|UE7S110404|VRAI|||||||segmo
A. Le placebo a un effet transitoire de quelques jours ou semaines|5) Parmi ces propositions, la ou lesquelles sont fausses:|UE7S110405|FAUX|vrai||||||segmo
B. Dans les exp&eacute;rimentations cliniques de nouveaux traitements le plac&eacute;bo est utilis&eacute; avant l'essai th&eacute;rapeutique|5) Parmi ces propositions, la ou lesquelles sont fausses:|UE7S110405|FAUX|vrai||||||segmo
