labelAnswer|title|slug|answer|commentAnswer|summary|content|authorEmail|||
A.nait de l'art&egrave;re iliaque interne|1) Concernant la vascularisation du membre inf&eacute;rieur quelle(s) est/sont la/les bonne(s) r&eacute;ponse(s) :|UEsp&eacute;S110201|FAUX|externe||||||segmo
B.l'art&egrave;re femorale superficielle est de calibre plus important que la profonde|1) Concernant la vascularisation du membre inf&eacute;rieur quelle(s) est/sont la/les bonne(s) r&eacute;ponse(s) :|UEsp&eacute;S110201|VRAI|||||||segmo
C.l'art&egrave;re f&eacute;morale superficielle chemine en arri&egrave;re du vaste m&eacute;dial|1) Concernant la vascularisation du membre inf&eacute;rieur quelle(s) est/sont la/les bonne(s) r&eacute;ponse(s) :|UEsp&eacute;S110201|VRAI|||||||segmo
D.l'art&egrave;re femorale profonde s'engage dans l'anneau du grand adducteur|1) Concernant la vascularisation du membre inf&eacute;rieur quelle(s) est/sont la/les bonne(s) r&eacute;ponse(s) :|UEsp&eacute;S110201|FAUX|AF superficielle||||||segmo
E.l'art&egrave;re femorale profonde chemine dans la loge post&eacute;rieure|1) Concernant la vascularisation du membre inf&eacute;rieur quelle(s) est/sont la/les bonne(s) r&eacute;ponse(s) :|UEsp&eacute;S110201|VRAI|||||||segmo
A.l'art&egrave;re poplit&eacute; nait de l'art&egrave;re f&eacute;morale superficielle|2) Concernant la vascularisation du membre inf&eacute;rieur quelle(s) est/sont Ia/les bonne(s) r&eacute;ponse(s) :|UEsp&eacute;S110202|VRAI|||||||segmo
B.l'art&egrave;re poplit&eacute; chemine m&eacute;dialement dans le genou|2) Concernant la vascularisation du membre inf&eacute;rieur quelle(s) est/sont Ia/les bonne(s) r&eacute;ponse(s) :|UEsp&eacute;S110202|FAUX|||||||segmo
C.l'art&egrave;re tibiale ant&eacute;rieure passe sous la mall&eacute;ole m&eacute;diale|2) Concernant la vascularisation du membre inf&eacute;rieur quelle(s) est/sont Ia/les bonne(s) r&eacute;ponse(s) :|UEsp&eacute;S110202|FAUX|||||||segmo
D.l'art&egrave;re fibulaire passe en avant de la|2) Concernant la vascularisation du membre inf&eacute;rieur quelle(s) est/sont Ia/les bonne(s) r&eacute;ponse(s) :|UEsp&eacute;S110202|FAUX|||||||segmo
E.l'art&egrave;re tibiale post&eacute;rieure longe le calcan&eacute;um dans sa partie m&eacute;diale|2) Concernant la vascularisation du membre inf&eacute;rieur quelle(s) est/sont Ia/les bonne(s) r&eacute;ponse(s) :|UEsp&eacute;S110202|VRAI|||||||segmo
A.lat&eacute;ralement est limit&eacute; par le pectin&eacute;|3) Concernant le trigone f&eacute;moral ou trigone de Scarpa :|UEsp&eacute;S110203|FAUX|limite sup par le lig f&eacute;moral art&egrave;re f&eacute;moral palpable<br><br>limite oblique externe = sartorius croise obliquement la cuisse<br><br>limite m&eacute;dial = long adducteur<br><br>plancher par illio-psoas dh et pectin&eacute; en dd||||||segmo
B. l'art&egrave;re f&eacute;morale est l'&eacute;l&eacute;ment le plus m&eacute;dial|3) Concernant le trigone f&eacute;moral ou trigone de Scarpa :|UEsp&eacute;S110203|FAUX|veine f&eacute;morale||||||segmo
C.la crosse de la saph&egrave;ne se jette au niveau du trigone|3) Concernant le trigone f&eacute;moral ou trigone de Scarpa :|UEsp&eacute;S110203|VRAI|||||||segmo
E.le pouls f&eacute;moral est palpable|3) Concernant le trigone f&eacute;moral ou trigone de Scarpa :|UEsp&eacute;S110203|VRAI|||||||segmo
A. est limit&eacute; en haut et en dehors par le gastro-cnemiens lat&eacute;ral|4) Concernant la fosse poplit&eacute;e :|UEsp&eacute;S110204|FAUX|||||||segmo
B. la veine poplit&eacute; re&ccedil;oit la petite saph&egrave;ne|4) Concernant la fosse poplit&eacute;e :|UEsp&eacute;S110204|VRAI|||||||segmo
C. la veine poplit&eacute; est en avant et en dehors de l'art&egrave;re|4) Concernant la fosse poplit&eacute;e :|UEsp&eacute;S110204|FAUX|veine poplit&eacute; en arri&egrave;re|||Dp10-03|||segmo
D. l'art&egrave;re f&eacute;moral nait de la poplit&eacute; au niveau de l'anneau du grand adducteur|4) Concernant la fosse poplit&eacute;e :|UEsp&eacute;S110204|FAUX|na&icirc;t de l'art&egrave;re f&eacute;morale superficielle au niveau de l'anneau du grand adducteur||||||segmo
E. le nerf sciatique est l'&eacute;l&eacute;ment le plus superficiel du p&eacute;dicule|4) Concernant la fosse poplit&eacute;e :|UEsp&eacute;S110204|VRAI|||||||segmo
A.la petite saph&egrave;ne est une veine superf&igrave;cielle|5) Concernant les veines du membre inf&eacute;rieur que|le(s) est/sont Ia/les bonne(s) r&eacute;ponse(s) :|UEsp&eacute;S110205|VRAI|||||||segmo
B.la petite saph&egrave;ne se jette dans la veine femorale commune|5) Concernant les veines du membre inf&eacute;rieur que|le(s) est/sont Ia/les bonne(s) r&eacute;ponse(s) :|UEsp&eacute;S110205|FAUX|veine poplit&eacute;||||||segmo
C.la petite saph&egrave;ne passe en avant de la mall&eacute;ole lat&eacute;rale|5) Concernant les veines du membre inf&eacute;rieur que|le(s) est/sont Ia/les bonne(s) r&eacute;ponse(s) :|UEsp&eacute;S110205|FAUX|en arr de la mall&eacute;ole fibulaire (lat&eacute;rale)||||||segmo
D.la saph&egrave;ne nait de la convergence de la veine dorsale du pied|5) Concernant les veines du membre inf&eacute;rieur que|le(s) est/sont Ia/les bonne(s) r&eacute;ponse(s) :|UEsp&eacute;S110205|VRAI|||||||segmo
E.la saph&egrave;ne est valvul&eacute;|5) Concernant les veines du membre inf&eacute;rieur que|le(s) est/sont Ia/les bonne(s) r&eacute;ponse(s) :|UEsp&eacute;S110205|VRAI|||||||segmo
A.le nerf f&eacute;moral provient des L1 L2 L3 L4|6) Concernant le plexus lombale quelle(s) est/sont la/les bonne(s) r&eacute;ponse(s) :|UEsp&eacute;S110206|VRAI|||||||segmo
B.le nerf f&eacute;moral passe sous le ligament inguinal avec le muscle ilio psoas|6) Concernant le plexus lombale quelle(s) est/sont la/les bonne(s) r&eacute;ponse(s) :|UEsp&eacute;S110206|VRAI|||||||segmo
C.le nerf ilio hypogastrique provient de L2|6) Concernant le plexus lombale quelle(s) est/sont la/les bonne(s) r&eacute;ponse(s) :|UEsp&eacute;S110206|FAUX|le nerf ilio-hypogastrique est issu de la racine L1||||||segmo
D.le nerf obturateur innerve les muscles ischio jambiers|6) Concernant le plexus lombale quelle(s) est/sont la/les bonne(s) r&eacute;ponse(s) :|UEsp&eacute;S110206|FAUX|nerf ischiatique||||||segmo
E.le nerf obturateur passe en arri&egrave;re de l'ischion|6) Concernant le plexus lombale quelle(s) est/sont la/les bonne(s) r&eacute;ponse(s) :|UEsp&eacute;S110206|FAUX|dans le foramen obtur&eacute;||||||segmo
A.les nerfs proviennent de L5 &agrave; S4|7) Concernant le plexus sacral quelle(s) est/sont la/les bonne(s) r&eacute;ponse(s) :|UEsp&eacute;S110207|VRAI|||||||segmo
B.le nerf sciatique est l'unique nerf issu du ce plexus|7) Concernant le plexus sacral quelle(s) est/sont la/les bonne(s) r&eacute;ponse(s) :|UEsp&eacute;S110207|FAUX|||||||segmo
C.les fibres de ce plexus passent entre les ligaments &eacute;pineux et sacro tub&eacute;rale|7) Concernant le plexus sacral quelle(s) est/sont la/les bonne(s) r&eacute;ponse(s) :|UEsp&eacute;S110207|FAUX||||Dp09-10|||segmo
D.le tronc lombo sacral forme la partie la plus volumineuse|7) Concernant le plexus sacral quelle(s) est/sont la/les bonne(s) r&eacute;ponse(s) :|UEsp&eacute;S110207|VRAI|||||||segmo
E.le nerf glut&eacute;al sup&eacute;rieur innerve le grand et le moyen fessier|7) Concernant le plexus sacral quelle(s) est/sont la/les bonne(s) r&eacute;ponse(s) :|UEsp&eacute;S110207|FAUX|moyen et petit glut&eacute;al||||||segmo
