labelAnswer|title|slug|answer|commentAnswer|summary|content|authorEmail|||
A. Le principe actif conf&egrave;re au m&eacute;dicament ses propri&eacute;t&eacute;s th&eacute;rapeutiques .|14. Indiquez la (les) proposition(s) exacte(s) concernant le m&eacute;dicament :|UEPT140214|VRAI|A. Le principe actif est la substance qui permettra de pr&eacute;venir ou gu&eacute;rir un &eacute;tat pathologique.||||||
B. L'excipient n'a aucun effet th&eacute;rapeutique.|14. Indiquez la (les) proposition(s) exacte(s) concernant le m&eacute;dicament :|UEPT140214|VRAI|||||||
C. Tout excipient est d&eacute;pourvu d'effets ind&eacute;sirables.|14. Indiquez la (les) proposition(s) exacte(s) concernant le m&eacute;dicament :|UEPT140214|FAUX|C. Faux, un excipient peut entra&icirc;ner un effet notoire chez certains patients comme une allergie (ex du lactose, saccharose, ...)||||||
D. La forme gal&eacute;nique a une importance sur l'effet du principe actif.|14. Indiquez la (les) proposition(s) exacte(s) concernant le m&eacute;dicament :|UEPT140214|VRAI|D. La forme gal&eacute;nique intervient dans l'action du m&eacute;dicament, soit afin d'avoir une action prolong&eacute;e, soit pour prot&eacute;ger le PA (ex : formes gastro-r&eacute;sistantes pour prot&eacute;ger le PA d'une d&eacute;gradation rapide &agrave; pH acide au niveau de l'estomac)||||||
E. Le conditionnement secondaire emballe le conditionnement primaire du m&eacute;dicament.|14. Indiquez la (les) proposition(s) exacte(s) concernant le m&eacute;dicament :|UEPT140214|VRAI|||||||
A. Les crit&egrave;res de choix d'une voie d'administration tiennent compte des propri&eacute;t&eacute;s physico-chimiques et des propri&eacute;t&eacute;s pharmacocin&eacute;tiques du PA.|15. Indiquez la (les) proposition(s) exacte(s) concernant les voies d'administration :|UEPT140215|VRAI|A. Vrai, ainsi que les propri&eacute;t&eacute;s pharmacologiques du PA.||||||
B. La voie de premi&egrave;re intention est la voie buccale car celle-ci facilite l'administration d'un m&eacute;dicament.|15. Indiquez la (les) proposition(s) exacte(s) concernant les voies d'administration :|UEPT140215|FAUX|B. Petit pi&egrave;ge, la voie de premier choix n'est pas la voie buccale mais la voie orale.||||||
C. Une d&eacute;gradation d'un PA par effet de premier passage h&eacute;patique n&eacute;cessite le recours &agrave; une voie alternative.|15. Indiquez la (les) proposition(s) exacte(s) concernant les voies d'administration :|UEPT140215|VRAI|C. Vrai : ex. les prot&eacute;ines et les peptides sont d&eacute;grad&eacute;s par voie orale et n&eacute;cessitent donc une administration par voie parent&eacute;rale.||||||
D. La voie pulmonaire est une voie d'administration conventionnelle.|15. Indiquez la (les) proposition(s) exacte(s) concernant les voies d'administration :|UEPT140215|FAUX|D. Faux, la voie pulmonaire est une voie alternative aux voies conventionnelles.||||||
E. Une action syst&eacute;mique implique le passage du PA dans la circulation g&eacute;n&eacute;rale.|15. Indiquez la (les) proposition(s) exacte(s) concernant les voies d'administration :|UEPT140215|VRAI|||||||
A. Une solution n'est pas utilisable par voie percutan&eacute;e contrairement &agrave; une pommade.|16. Indiquez la (les) proposition(s) exacte(s) concernant les excipients et les voies d'administration :|UEPT140216|FAUX|A. Des solutions sont tout &agrave; fait utilisables par voie percutan&eacute;e, ce sont les lotions utilis&eacute;es pour un usage externe (application sur la peau)||||||
B. Un des crit&egrave;res de choix d'une forme d'administration est bas&eacute; sur la stabilit&eacute; du PA.|16. Indiquez la (les) proposition(s) exacte(s) concernant les excipients et les voies d'administration :|UEPT140216|VRAI|||||||
C. La forme « comprim&eacute; » est administrable par voie vaginale.|16. Indiquez la (les) proposition(s) exacte(s) concernant les excipients et les voies d'administration :|UEPT140216|VRAI|||||||
D. Les excipients sont d&eacute;crits dans la pharmacop&eacute;e.|16. Indiquez la (les) proposition(s) exacte(s) concernant les excipients et les voies d'administration :|UEPT140216|VRAI|||||||
E. Selon la forme gal&eacute;nique, les excipients sont appel&eacute;s diff&eacute;remment : « base » dans les pr&eacute;parations liquides et « V&eacute;hicule » dans les pr&eacute;parations semi-solides .|16. Indiquez la (les) proposition(s) exacte(s) concernant les excipients et les voies d'administration :|UEPT140216|FAUX|E. C'est l'inverse : « v&eacute;hicule » dans les pr&eacute;parations liquides et « base » dans les pr&eacute;parations semi-solides (pommades, cr&egrave;mes).||||||
A. La DCI est g&eacute;n&eacute;ralement identique au nom de la formule chimique de la mol&eacute;cule.|17. Indiquez la (les) proposition(s) exacte(s) concernant ces g&eacute;n&eacute;ralit&eacute;s :|UEPT140217|FAUX|A. La DCI est compl&egrave;tement diff&eacute;rente du nom de la formule chimique de la mol&eacute;cule, elle correspond au nom du principe actif.||||||
B. « DCI » = Identical Chemistry Denomination|17. Indiquez la (les) proposition(s) exacte(s) concernant ces g&eacute;n&eacute;ralit&eacute;s :|UEPT140217|FAUX|B. D&eacute;nomination Commune Internationale||||||
C. La Pharmacop&eacute;e Fran&ccedil;aise n'est plus mise &agrave; jour depuis 1880, remplac&eacute;e par d'autres ouvrages.|17. Indiquez la (les) proposition(s) exacte(s) concernant ces g&eacute;n&eacute;ralit&eacute;s :|UEPT140217|FAUX|C. La Pharmacop&eacute;e Fran&ccedil;aise existe toujours et elle est r&eacute;guli&egrave;rement mise &agrave; jour||||||
D. En France, sont appliqu&eacute;es les normes des 2 Pharmacop&eacute;es : Fran&ccedil;aise et Europ&eacute;enne|17. Indiquez la (les) proposition(s) exacte(s) concernant ces g&eacute;n&eacute;ralit&eacute;s :|UEPT140217|VRAI|||||||
E. Les normes de la Pharmacop&eacute;e Europ&eacute;enne s'appliquent aux USA.|17. Indiquez la (les) proposition(s) exacte(s) concernant ces g&eacute;n&eacute;ralit&eacute;s :|UEPT140217|FAUX|E. Faux, il existe une Pharmacop&eacute;e Am&eacute;ricaine USP (ainsi qu'une Pharmacop&eacute;e Japonaise, ce sont les 3 r&eacute;f&eacute;rentiels).||||||
A. La biodisponibilit&eacute; est caract&eacute;ris&eacute; par la quantit&eacute; de PA qui apr&egrave;s administration atteint la circulation g&eacute;n&eacute;rale et par la vitesse de passage &agrave; laquelle elle l'atteint|18. Indiquez la (les) proposition(s) exacte(s) concernant ces g&eacute;n&eacute;ralit&eacute;s et la voie orale :|UEPT140218|VRAI|||||||
B. Action locale : le PA agit sur l'environnement imm&eacute;diat de son lieu d'application|18. Indiquez la (les) proposition(s) exacte(s) concernant ces g&eacute;n&eacute;ralit&eacute;s et la voie orale :|UEPT140218|VRAI|||||||
C. Action syst&eacute;mique : le PA passe dans la circulation g&eacute;n&eacute;rale et agit sur l'ensemble de l'organisme|18. Indiquez la (les) proposition(s) exacte(s) concernant ces g&eacute;n&eacute;ralit&eacute;s et la voie orale :|UEPT140218|VRAI|||||||
D. Les PA non absorb&eacute;s par les muqueuses gastrique ou intestinale vont avoir une action syst&eacute;mique.|18. Indiquez la (les) proposition(s) exacte(s) concernant ces g&eacute;n&eacute;ralit&eacute;s et la voie orale :|UEPT140218|FAUX|D. Non, une action locale, ils ne passent pas dans le sang (ex : action au niveau de l'estomac des pansements gastriques).||||||
E. Les comprim&eacute;s effervescents ont une action acc&eacute;l&eacute;r&eacute;e.|18. Indiquez la (les) proposition(s) exacte(s) concernant ces g&eacute;n&eacute;ralit&eacute;s et la voie orale :|UEPT140218|VRAI|E. oui, car avec l'administration d'un m&eacute;dicament sous une forme liquide, on n'a pas les &eacute;tapes de lib&eacute;ration et de dissolution du PA &agrave; partir de la forme (alors que pour un comprim&eacute; classique, ces &eacute;tapes sont pr&eacute;alables &agrave; une absorption du PA)||||||
A. On cherche &agrave; limiter les formes liquides avec les enfants pour &eacute;viter les fausses routes.|19. Indiquez la (les) proposition(s) exacte(s) concernant la voie orale :|UEPT140219|FAUX|A. Faux, au contraire, une forme liquide est plus facile &agrave; administrer &agrave; un enfant qu'une forme solide.||||||
B. La voie orale ne permet aucune &eacute;vacuation en cas d'intoxication ou de surdosage car l'absorption est tr&egrave;s rapide.|19. Indiquez la (les) proposition(s) exacte(s) concernant la voie orale :|UEPT140219|FAUX|B. Faux, au contraire d'autres voies d'administration (ex : voies parent&eacute;rale, pulmonaire.....)||||||
C. La voie orale permet de contourner l'effet de premier passage h&eacute;patique.|19. Indiquez la (les) proposition(s) exacte(s) concernant la voie orale :|UEPT140219|FAUX|C. Faux, au contraire c'est la voie intraveineuse qui contourne cet effet. Alors qu'avec la voie orale on a une d&eacute;gradation du PA avant m&ecirc;me que celui-ci n'atteigne la circulation g&eacute;n&eacute;rale.||||||
D. La voie orale permet une pr&eacute;cision de dosage.|19. Indiquez la (les) proposition(s) exacte(s) concernant la voie orale :|UEPT140219|VRAI|||||||
E. La voie orale est utilisable lorsque le patient est inconscient.|19. Indiquez la (les) proposition(s) exacte(s) concernant la voie orale :|UEPT140219|FAUX|E. Faux ! Cela va &ecirc;tre difficile de faire avaler un m&eacute;dicament &agrave; un patient inconscient.||||||
A. Selon la Pharmacop&eacute;e, un comprim&eacute; se d&eacute;finit comme « une pr&eacute;paration solide contenant une unit&eacute; de prise d'un ou plusieurs PA »|20. Indiquez la (les) proposition(s) exacte(s) concernant la fabrication des comprim&eacute;s :|UEPT140220|VRAI|||||||
B. Dans une machine &agrave; comprimer, une matrice est la chambre de compression.|20. Indiquez la (les) proposition(s) exacte(s) concernant la fabrication des comprim&eacute;s :|UEPT140220|VRAI|||||||
