<div>A. Le rubidium (Rb).</div><div>B. Le tellure(Te).</div><div>C. Le fluor (F).</div><div>D. Le soufre (S).</div><div>E. Le chlore (Cl).</div>	1. Parmi les atomes cités, lequel est le plus électronégatif.	UE1T130201	C							
<div>A. Le rubidium (Rb)</div><div>B. Le tellure(Te)</div><div>C. Le fluor (F)</div><div>D. Le soufre (S)</div><div>E. Le chlore (Cl)</div>	2. Parmi les atomes cités, lequel a le rayon atomique le plus grand.	UE1T130202	A							
A. 16O et 18O sont des isotopes.	3. Parmi les propositions suivantes, indiquez la (les) proposition(s) exacte(s). un électron peut être caractérisé par les nombres quantiques suivants :	UE1T130203	VRAI							
B. 14N et 15N sont isobares.	3. Parmi les propositions suivantes, indiquez la (les) proposition(s) exacte(s). un électron peut être caractérisé par les nombres quantiques suivants :	UE1T130203	FAUX							
C. 14N et 14C sont isobares.	3. Parmi les propositions suivantes, indiquez la (les) proposition(s) exacte(s). un électron peut être caractérisé par les nombres quantiques suivants :	UE1T130203	VRAI							
D. Cl- et Ar sont isoélectroniques.	3. Parmi les propositions suivantes, indiquez la (les) proposition(s) exacte(s). un électron peut être caractérisé par les nombres quantiques suivants :	UE1T130203	VRAI							
E. Ar et Kr sont isoélectroniques.	3. Parmi les propositions suivantes, indiquez la (les) proposition(s) exacte(s). un électron peut être caractérisé par les nombres quantiques suivants :	UE1T130203	FAUX							
A. n=4 ; l=1 ; ml=-1 ; ms=+1/2	4. Parmi les propositions suivantes, indiquez la (les) proposition(s) exacte(s).	UE1T130204	VRAI							
B. n=1 ; l=1 ; ml=0 ; ms=-1/2	4. Parmi les propositions suivantes, indiquez la (les) proposition(s) exacte(s).	UE1T130204	FAUX	B. l doit être compris entre 0 et n-1, ici l ne peut être égal qu'à 0.						
C. n=3 ; l=2 ; ml=1 ; ms=-1	4. Parmi les propositions suivantes, indiquez la (les) proposition(s) exacte(s).	UE1T130204	FAUX	C. ms ne peut être égal qu'à +1/2 ou -1/2.						
D. n=2 ; l=2 ; ml=-2 ; ms=+1/2	4. Parmi les propositions suivantes, indiquez la (les) proposition(s) exacte(s).	UE1T130204	FAUX	D.l doit être compris entre 0 et n-1, ici l ne peut être égal qu'à 0 ou 1.						
E. n=1 ; l=0 ; ml=0 ; ms=+1/2	4. Parmi les propositions suivantes, indiquez la (les) proposition(s) exacte(s).	UE1T130204	VRAI							
A. Plus le nombre quantique principal associé à un électron est élevé, plus la charge effective Z eff ressentie par cet électron est élevée.	5. Considérons un atome polyélectronique. parmi les propositions suivantes, indiquez la (les) proposition(s) exacte(s).	UE1T130205	FAUX	A. Plus le nombre quantique principal associé à un électron est élevé, plus la charge effective Z eff ressentie par cet électron est basse.						
B. Plus le nombre quantique principal associé à un électron est élevé, plus la valeur de son énergie associée est élevée en valeur relative.	5. Considérons un atome polyélectronique. parmi les propositions suivantes, indiquez la (les) proposition(s) exacte(s).	UE1T130205	VRAI							
