C. Le génotype est l'état d'un caractère observable chez un être vivant	25. Concernant le séquençage des génomes:	UE7S110325	FAUX	C.c'est le phénotype qui permet cela)						segmo
A. Les 3 organisateurs de Spitz sont dans le stade oral	31. Concernant les phases du développement affectif (3):	UE7S110331	VRAI							segmo
B. Le stade oedipien s'étend de 3 à 10 ans	31. Concernant les phases du développement affectif (3):	UE7S110331	FAUX	"<b style=""font-family: Arial;"">Stade œdipien</b><span style=""font-family: Arial"">&nbsp;(3-5 ans)&nbsp;: complexe d'œdipe et angoisse de castration,&nbsp;</span><br style=""font-family: Arial;"" /><span style=""font-family: Arial;"">acceptation différence des sexes et des générations.&nbsp;</span><br style=""font-family: Arial;"" /><span style=""font-family: Arial;"">Triangulation et ouverture à la socialisation</span>"						segmo
C. C'est au stade oral qu'il y a intériorisation des interdits	31. Concernant les phases du développement affectif (3):	UE7S110331	FAUX	"<div><b style=""font-family: Arial;"">Stade oral</b><span style=""font-family: Arial"">&nbsp;: prédominances des expériences orales, modèle relationnelle&nbsp;: incorporation</span></div><div><span style=""font-family: Arial;""><br /></span></div><b style=""font-family: Arial;"">Stade anal</b><span style=""font-family: Arial"">&nbsp;: plaisir du non,&nbsp;</span><br style=""font-family: Arial;"" /><span style=""font-family: Arial;"">de la maîtrise rétention/expulsion,&nbsp;</span><br style=""font-family: Arial;"" /><span style=""font-family: Arial;"">en lien apprentissage de la propreté&nbsp;;&nbsp;</span><br style=""font-family: Arial;"" /><span style=""font-family: Arial;"">agressivité / intériorisation des interdits</span>"						segmo
E. Les 2 mécanismes d'auto-défense pour empêcher l'accès au refoulé se mettent en place de 6 à 10ans	31. Concernant les phases du développement affectif (3):	UE7S110331	VRAI							segmo
A. Correspond à la capacité à imputer des états mentaux à soi et à autrui	32. Concernant la théorie de l'esprit (2) :	UE7S110332	VRAI							segmo
B. Comporte 4 étapes clés de 1 à 4 ans	32. Concernant la théorie de l'esprit (2) :	UE7S110332	FAUX							segmo
C. A 4 an il n'y a pas encore d'intentionnalité chez l'enfant	32. Concernant la théorie de l'esprit (2) :	UE7S110332	FAUX							segmo
D. Cette théorie exclue toutes les autres théories du développement, elles ne peuvent se compléter	32. Concernant la théorie de l'esprit (2) :	UE7S110332	FAUX							segmo
E. A partir d'un an, l'enfant a une représentation de sa propre représentation	32. Concernant la théorie de l'esprit (2) :	UE7S110332	VRAI							segmo
A. Est un processus entièrement acquit	33. Concernant le langage (3) :	UE7S110333	FAUX							segmo
B. Le signifié correspond au concept, au sens	33. Concernant le langage (3) :	UE7S110333	VRAI							segmo
C. Le premier stade du langage correspond aux babillages	33. Concernant le langage (3) :	UE7S110333	FAUX							segmo
D. On retrouve à 5 mois un contrôle de la phonation et une modulation de la vocalisation	33. Concernant le langage (3) :	UE7S110333	VRAI							segmo
E. De 12 à 16 mois, on a un accroissement très lent du vocabulaire	33. Concernant le langage (3) :	UE7S110333	VRAI							segmo
A. A été définit par Pichot en 1961	34. Concernant le placebo (4) :	UE7S110334	VRAI							segmo
