labelAnswer|title|slug|answer|commentAnswer|summary|content|authorEmail|||
B. Les caract&eacute;ristiques biochimiques, structurelles et physiques des glucides sont tr&egrave;s diff&eacute;rentes.|18. Caract&eacute;ristiques des glucides :|UE1T120218|FAUX|B. Faux : Caract&eacute;ristiques comparables||||||
C. Les glucides sont tous des mol&eacute;cules organiques.|18. Caract&eacute;ristiques des glucides :|UE1T120218|VRAI|||||||
D. Les glucides poss&egrave;dent une seule fonction ald&eacute;hyde, c&eacute;tone ou alcool.|18. Caract&eacute;ristiques des glucides :|UE1T120218|FAUX|D. Faux : Fonction ald&eacute;hyde ou c&eacute;tone + groupements hydroxyles||||||
E. Les glucides sont hydrosolubles.|18. Caract&eacute;ristiques des glucides :|UE1T120218|VRAI|||||||
A. Le glycerald&eacute;hyde est un aldotriose.|19. G&eacute;n&eacute;ralit&eacute;s concernant les monosaccharides :|UE1T120219|VRAI|||||||
B. L'oxydation du glycerald&eacute;hyde forme un des constituants des triglyc&eacute;rides.|19. G&eacute;n&eacute;ralit&eacute;s concernant les monosaccharides :|UE1T120219|FAUX|B. Faux : glycerald&eacute;hyde &iuml;�� glyc&eacute;rol (reduction).||||||
C. Il y a du fructose dans les l&eacute;gumes.|19. G&eacute;n&eacute;ralit&eacute;s concernant les monosaccharides :|UE1T120219|VRAI|||||||
D. Dans le glucose, une fonction alcool primaire est situ&eacute;e au niveau du carbone num&eacute;ro six.|19. G&eacute;n&eacute;ralit&eacute;s concernant les monosaccharides :|UE1T120219|VRAI|||||||
E. La fonction c&eacute;tone du glucose est situ&eacute;e au niveau de son carbone num&eacute;ro deux.|19. G&eacute;n&eacute;ralit&eacute;s concernant les monosaccharides :|UE1T120219|FAUX|E. Faux : Ne poss&egrave;de pas de fonction c&eacute;tone ; seulement une fonction ald&eacute;hyde, au niveau de C1.||||||
A. Le carbone qui d&eacute;termine la s&eacute;rie &agrave; laquelle appartient le glucide est celui qui porte la fonction alcool primaire.|20. Isom&egrave;res des glucides :|UE1T120220|FAUX|A. Faux : Le C pr&eacute;c&eacute;dant la fonction OH primaire permet de d&eacute;terminer la s&eacute;rie.||||||
B. La projection de Fischer permet de d&eacute;terminer la s&eacute;rie &agrave; laquelle appartient un glucide.|20. Isom&egrave;res des glucides :|UE1T120220|VRAI|||||||
C. Il existe une &eacute;troite correspondance entre la s&eacute;rie et le sens de d&eacute;viation de la lumi&egrave;re polaris&eacute;e.|20. Isom&egrave;res des glucides :|UE1T120220|FAUX|C. Faux : Corr&eacute;lation exceptionnelle pour le glycerald&eacute;hyde.||||||
D. Le mannose est un &eacute;pim&egrave;re en C2 du glucose.|20. Isom&egrave;res des glucides :|UE1T120220|VRAI|||||||
E. Le D-ribose et le D-fructose sont &eacute;pim&egrave;res en trois.|20. Isom&egrave;res des glucides :|UE1T120220|FAUX|E. Faux : Le ribose est un aldopentose ; le fructose est un c&eacute;tohexose.||||||
A. Apr&egrave;s cristallisation d'une solution aqueuse de D-glucose, on observe des glucides sous trois formes spatiales.|21. Cyclisation des oses :|UE1T120221|VRAI|A. Vrai : Lin&eacute;aire, anom&egrave;re α, anom&egrave;re β.||||||
B. Les glucides sont majoritairement sous forme lin&eacute;aire &agrave; l'&eacute;tat naturel.|21. Cyclisation des oses :|UE1T120221|FAUX|B. Faux : 98% cyclique.||||||
C. La cyclisation se fait par r&eacute;action intraglucidique entre la fonction ald&eacute;hyde ou c&eacute;tone et un groupement hydroxyle.|21. Cyclisation des oses :|UE1T120221|VRAI|||||||
