labelAnswer|title|slug|answer|commentAnswer|summary|content|authorEmail|||
Concernant les principales fonctions du cytosquelette (3R) : <br>A. M&eacute;iose <br>B. Contraction musculaire <br>C. Trafic v&eacute;siculaire <br>D. Mobilit&eacute; des fibroblastes <br>E. Destruction de la membrane plasmique|1|UE2S1102||BCD||||||segmo
les filaments interm&eacute;diaires mesurent 10 nanom&egrave;tres de long.|2|UE2S1102||Faux<br>diam&egrave;tre||||||segmo
les filaments interm&eacute;diaires se situent uniquement &agrave; la face interne de l'enveloppe nucl&eacute;aire|2|UE2S1102||Faux||||||segmo
Il existe plusieurs types de filaments interm&eacute;diaires.|2|UE2S1102||Vrai||||||segmo
Les FI donnent &agrave; la cellule sa r&eacute;sistance m&eacute;canique.|2|UE2S1102||Vrai||||||segmo
les filaments interm&eacute;diaires sont importants au niveau des jonctions intercellulaires.|2|UE2S1102||Vrai||||||segmo
Les microtubules sont de longs cylindres creux fabriqu&eacute;s &agrave; partir de tubuline.|3|UE2S1102||Vrai||||||segmo
Les microtubules sont plus flexibles que les filaments d'actine.|3|UE2S1102||Faux||||||segmo
Les microtubules ont souvent leurs deux extr&eacute;mit&eacute;s fix&eacute;es &agrave; un centrosome.|3|UE2S1102||Faux||||||segmo
Les microtubules mesurent environ 10 nanom&egrave;tres de diam&egrave;tre.|3|UE2S1102||Faux 25 nm||||||segmo
Les microtubules participent au transport intracellulaire et au positionnement des organites &agrave; membrane.|3|UE2S1102||Vrai||||||segmo
Les filaments d'actine sont des polym&egrave;res h&eacute;lico&iuml;daux &agrave; deux brins, constitu&eacute;s d'actine.|4|UE2S1102||Vrai||||||segmo
Les filaments d'actine d&eacute;terminent la forme de la surface de la cellule.|4|UE2S1102||Vrai||||||segmo
Les filaments d'actine mesurent de 5 &agrave; 9 nanom&egrave;tres de diam&egrave;tre, on parle donc de macrofilaments d'actine.|4|UE2S1102||Faux<br>microfilament||||||segmo
Les filaments d'actine, On les retrouve au niveau des fuseaux, cils et flagelles.|4|UE2S1102||Faux microtubule||||||segmo
Les filaments d'actine n'ont pas de r&ocirc;le dans la cytocin&egrave;se.|4|UE2S1102||Faux||||||segmo
Les filaments du cytosquelette sont constitu&eacute;s de prot&eacute;ines globulaires.|5|UE2S1102||Faux <br>FI : fibreuses||||||segmo
Les filaments du cytosquelette sont capables de se polym&eacute;riser et de se d&eacute;polym&eacute;riser.|5|UE2S1102||Faux<br>assemblage / d&eacute;sassemblage||||||segmo
Un signal chimique externe &agrave; la cellule peut modifier le cytosquelette.|5|UE2S1102||Vrai||||||segmo
Les prot&eacute;ines accessoires sont essentielles pour l'assemblage des filaments d'actine dans une localisation particuli&egrave;re.|5|UE2S1102||Vrai||||||segmo
Les prot&eacute;ines accessoires sont essentielles pour l'assemblage des filaments interm&eacute;diaires dans une localisation particuli&egrave;re.|5|UE2S1102||Vrai||||||segmo
Un protofilament isol&eacute; aura des extr&eacute;mit&eacute;s dynamiques mais une grande instabilit&eacute; thermique.|6|UE2S1102||Vrai||||||segmo
Des protofilaments multiples auront une stabilit&eacute; thermique mais pas d'extr&eacute;mit&eacute;s dynamiques.|6|UE2S1102||Faux||||||segmo
Les filaments constitu&eacute;s de prot&eacute;ines fibreuses ont une grande r&eacute;sistance aux &eacute;tirements grâce &agrave; leurs contacts longitudinaux.|6|UE2S1102||Faux<br>grâce aux lat&eacute;raux||||||segmo
Les microtubules se cassent plus facilement que les filaments interm&eacute;diaires.|6|UE2S1102||Vrai||||||segmo
Les microtubules sont compos&eacute;s de 16 protofilaments.|6|UE2S1102||Faux 13||||||segmo
Les microtubules sont constitu&eacute;s d'h&eacute;t&eacute;rodim&egrave;res de tubuline (a-tubuline et y-tubuline).|7|UE2S1102||Faux a et B tubuline||||||segmo
Il y a 2 GTP &eacute;changeables en GDP par h&eacute;t&eacute;rodim&egrave;re de microtubules.|7|UE2S1102||Faux que celui de B tubuline est &eacute;changeable||||||segmo
Les microtubules sont polaris&eacute;s.|7|UE2S1102||Vrai||||||segmo
Les liaisons longitudinales a- a sont des liaisons fortes.|7|UE2S1102||Faux <br>a-a sont lat&eacute;rales faibles||||||segmo
On peut voir un microtubule en microscopie optique.|7|UE2S1102||Vrai||||||segmo
Concernant la cin&eacute;tique de l'assemblage<br><br>La phase de latence correspond au temps mis pour la nucl&eacute;ation.|8|UE2S1102||Vrai||||||segmo
