labelAnswer|title|slug|answer|commentAnswer|summary|content|authorEmail|||
A. Lors de la p&eacute;riode r&eacute;fractaire absolue, un nouveau potentiel d'action peut se produire.|1. Concernant l'&eacute;lectrophysiologie cardiaque, indiquez la ou les proposition(s) exacte(s) :|UE3T141001|FAUX|A. Faux, PRA = impossible d'obtenir un nouveau potentiel d'action.||||||
B. La p&eacute;riode r&eacute;fractaire absolue est d&eacute;finie comme un intervalle de temps pendant lequel une stimulation tr&egrave;s &eacute;lev&eacute;e peut engendrer un nouveau potentiel d'action.|1. Concernant l'&eacute;lectrophysiologie cardiaque, indiquez la ou les proposition(s) exacte(s) :|UE3T141001|FAUX|B. Faux, cette d&eacute;finition correspond &agrave; la p&eacute;riode r&eacute;fractaire relative.||||||
C. La p&eacute;riode r&eacute;fractaire effective correspond &agrave; la p&eacute;riode r&eacute;fractaire absolue et &agrave; la moiti&eacute; de la p&eacute;riode r&eacute;fractaire relative.|1. Concernant l'&eacute;lectrophysiologie cardiaque, indiquez la ou les proposition(s) exacte(s) :|UE3T141001|VRAI|||||||
D. Le ph&eacute;nom&egrave;ne de rectification est une variation, en fonction du potentiel, de la r&eacute;sistance de la membrane au passage d'un courant ionique X.|1. Concernant l'&eacute;lectrophysiologie cardiaque, indiquez la ou les proposition(s) exacte(s) :|UE3T141001|VRAI|||||||
E. La rectification est dans le sens entrant lorsque la membrane laisse plus facilement passer le courant ionique X qui sort que celui qui entre.|1. Concernant l'&eacute;lectrophysiologie cardiaque, indiquez la ou les proposition(s) exacte(s) :|UE3T141001|FAUX|E. Faux, rectification dans le sens entrant = passage facilit&eacute; du courant ionique X qui entre et freinage du courant ionique Y qui sort.||||||
A. La phase 0 correspond &agrave; la mont&eacute;e du potentiel d'action, principalement due &agrave; un courant sodique sortant I Na .|2. Concernant l'&eacute;lectrophysiologie cardiaque, indiquez la ou les proposition(s) exacte(s) :|UE3T141002|FAUX|A. Faux, la phase 0 correspond &agrave; la mont&eacute;e du potentiel d'action, principalement due &agrave; un courant sodique entrant I Na .||||||
B. Lors de la phase 0, le potentiel de membrane tend &agrave; se rapprocher du potentiel d'&eacute;quilibre du sodium.|2. Concernant l'&eacute;lectrophysiologie cardiaque, indiquez la ou les proposition(s) exacte(s) :|UE3T141002|VRAI|B. Vrai, mais le Pe du Na ne sera jamais atteint car d'autres mouvements ioniques vont permettre la repolarisation de la cellule.||||||
C. La phase 1 correspond &agrave; une repolarisation initiale rapide due &agrave; deux canaux potassiques distincts.|2. Concernant l'&eacute;lectrophysiologie cardiaque, indiquez la ou les proposition(s) exacte(s) :|UE3T141002|VRAI|C. Vrai, on a Ito 1 (majoritaire) et Ito 2 .||||||
D. Lors de la phase 1, le courant potassique est transitoire et entrant.|2. Concernant l'&eacute;lectrophysiologie cardiaque, indiquez la ou les proposition(s) exacte(s) :|UE3T141002|FAUX|D. Faux, lors de la phase 1, le courant potassique est transitoire et sortant.||||||
E. Lors de la phase 1, Ito 1 est Ca2+ d&eacute;pendant et permet de diminuer la charge calcique intracellulaire lorsque celle-ci est trop &eacute;lev&eacute;e.|2. Concernant l'&eacute;lectrophysiologie cardiaque, indiquez la ou les proposition(s) exacte(s) :|UE3T141002|FAUX|E. Faux, c'est le r&ocirc;le d'Ito 2 .||||||
