labelAnswer|title|slug|answer|commentAnswer|summary|content|authorEmail|||
A. Est situ&eacute; dans le m&eacute;diastin ant&eacute;ro-inf&eacute;rieur|1- Concernant le cœur, donnez la ou les bonne(s) r&eacute;ponses|UE5S110201|VRAI|||||||segmo
B. Le myocarde est &agrave; l'ext&eacute;rieur du p&eacute;ricarde|1- Concernant le cœur, donnez la ou les bonne(s) r&eacute;ponses|UE5S110201|FAUX|||||||segmo
C. L'axe du coeur est dirig&eacute; en bas, &agrave; gauche et en arri&egrave;re|1- Concernant le cœur, donnez la ou les bonne(s) r&eacute;ponses|UE5S110201|FAUX|C. Bas, gauche et avant||||||segmo
D. Il repose sur le diaphragme|1- Concernant le cœur, donnez la ou les bonne(s) r&eacute;ponses|UE5S110201|VRAI|||||||segmo
E. Poss&egrave;de 4 cavit&eacute;s : auricules gauche et droit et ventricules gauche et droit|1- Concernant le cœur, donnez la ou les bonne(s) r&eacute;ponses|UE5S110201|FAUX|E. Oreillettes et ventricules||||||segmo
A. La face sterno-costale est limit&eacute;e par les bords droit et inf&eacute;rieur gauche|2- Concernant le coeur, donnez la ou les bonne(s) r&eacute;ponses|UE5S110202|FAUX|A. Bords droit et sup&eacute;rieur gauche||||||segmo
B. La face lat&eacute;rale gauche regarde vers l'avant|2- Concernant le coeur, donnez la ou les bonne(s) r&eacute;ponses|UE5S110202|FAUX|B. Vers l'arri&egrave;re||||||segmo
C. La face diaphragmatique est limit&eacute;e par le bord inf&eacute;rieur gauche et le bord droit|2- Concernant le coeur, donnez la ou les bonne(s) r&eacute;ponses|UE5S110202|VRAI|||||||segmo
D. Le sillon coronaire s&eacute;pare les ventricules gauche et droit|2- Concernant le coeur, donnez la ou les bonne(s) r&eacute;ponses|UE5S110202|FAUX|D. S&eacute;pare l'avant de l'arri&egrave;re (inter-ventriculaire)||||||segmo
E. Le sillon inter-ventriculaire chemine sur la face sterno-costale|2- Concernant le coeur, donnez la ou les bonne(s) r&eacute;ponses|UE5S110202|VRAI|||||||segmo
A. Le 1 correspond &agrave; l'art&egrave;re subclavi&egrave;re gauche|3- Concernant le sch&eacute;ma n°1, donnez la ou les bonne(s) r&eacute;ponses|UE5S110203|FAUX|A. Carotide primitive G|"<img src=""UE5S1102s1.jpg"" />"|||||segmo
B. Le 5 est valvul&eacute;|3- Concernant le sch&eacute;ma n°1, donnez la ou les bonne(s) r&eacute;ponses|UE5S110203|VRAI||"<img src=""UE5S1102s1.jpg"" />"|||||segmo
C. Sous le 3 passe l'art&egrave;re coronaire droite|3- Concernant le sch&eacute;ma n°1, donnez la ou les bonne(s) r&eacute;ponses|UE5S110203|FAUX|C. Sous 8|"<img src=""UE5S1102s1.jpg"" />"|||||segmo
D. Le 10 est le tronc art&eacute;riel brachio-c&eacute;phalique droit|3- Concernant le sch&eacute;ma n°1, donnez la ou les bonne(s) r&eacute;ponses|UE5S110203|VRAI||"<img src=""UE5S1102s1.jpg"" />"|||||segmo
