labelAnswer|title|slug|answer|commentAnswer|summary|content|authorEmail|||
A.Le bismuth (Bi) est un m&eacute;dicament d'origine v&eacute;g&eacute;tale.|1) Parmi les propositions suivantes, laquelle (ou lesquelles)  est (sont) exacte(s) ?|UE6S110101|FAUX|A) Le bismuth (Bi) est un m&eacute;dicament d'origine min&eacute;rale.||||Costentin|Histoire de la d&eacute;couverte des m&eacute;dicaments|segmo
B.L'extraction des principes actifs dans le v&eacute;g&eacute;tal a d&eacute;but&eacute; en 1800.|1) Parmi les propositions suivantes, laquelle (ou lesquelles)  est (sont) exacte(s) ?|UE6S110101|VRAI|||||Costentin|Histoire de la d&eacute;couverte des m&eacute;dicaments|segmo
C.Le credo des pharmaciens est « Corpora non agunt nisit fixata ».|1) Parmi les propositions suivantes, laquelle (ou lesquelles)  est (sont) exacte(s) ?|UE6S110101|VRAI|||||Costentin|Histoire de la d&eacute;couverte des m&eacute;dicaments|segmo
D.Les alcalo&iuml;des sont des substances d'origine min&eacute;rale,  biologiquement actives.|1) Parmi les propositions suivantes, laquelle (ou lesquelles)  est (sont) exacte(s) ?|UE6S110101|FAUX|D)Les alcalo&iuml;des sont des substances d'origine v&eacute;g&eacute;tale, biologiquement actives.||||Costentin|Histoire de la d&eacute;couverte des m&eacute;dicaments|segmo
E.La digitaline est utilis&eacute;e pour les insuffisants r&eacute;naux.|1) Parmi les propositions suivantes, laquelle (ou lesquelles)  est (sont) exacte(s) ?|UE6S110101|FAUX|E)La digitaline est utilis&eacute;e pour les insuffisants cardiaques.||||Costentin|Histoire de la d&eacute;couverte des m&eacute;dicaments|segmo
A.50% des neurom&eacute;diateurs lib&eacute;r&eacute; par les neurones sont re-captur&eacute;s.|2) Parmi les propositions suivantes sur les cibles  biologiques, laquelle (ou lesquelles) est (sont) exacte(s) ?|UE6S110102|FAUX|A)80% des neurom&eacute;diateurs lib&eacute;r&eacute;s par les neurones sont recaptur&eacute;s.||||Costentin|Histoire de la d&eacute;couverte des m&eacute;dicaments|segmo
B.Les enzymes sont des substances exog&egrave;nes.|2) Parmi les propositions suivantes sur les cibles  biologiques, laquelle (ou lesquelles) est (sont) exacte(s) ?|UE6S110102|FAUX|B)Les enzymes sont des substances endog&egrave;nes.||||Costentin|Histoire de la d&eacute;couverte des m&eacute;dicaments|segmo
C.L'h&eacute;mi-synth&egrave;se permet de cr&eacute;er une substance clone.|2) Parmi les propositions suivantes sur les cibles  biologiques, laquelle (ou lesquelles) est (sont) exacte(s) ?|UE6S110102|FAUX|C)L'h&eacute;mi-synth&egrave;se induit une transformation.||||Costentin|Histoire de la d&eacute;couverte des m&eacute;dicaments|segmo
D.L'Apomorphine est cr&eacute;e &agrave; partir d'une h&eacute;mi-synth&egrave;se.|2) Parmi les propositions suivantes sur les cibles  biologiques, laquelle (ou lesquelles) est (sont) exacte(s) ?|UE6S110102|VRAI|||||Costentin|Histoire de la d&eacute;couverte des m&eacute;dicaments|segmo
E.Les r&eacute;cepteurs coupl&eacute;s aux prot&eacute;ines G sont hexa-h&eacute;lico&iuml;daux.|2) Parmi les propositions suivantes sur les cibles  biologiques, laquelle (ou lesquelles) est (sont) exacte(s) ?|UE6S110102|FAUX|E) Les r&eacute;cepteurs coupl&eacute;s aux prot&eacute;ines G sont heptah&eacute;lico&iuml;daux.||||Costentin|Histoire de la d&eacute;couverte des m&eacute;dicaments|segmo
A.Ce test utilise une fraction de membrane comportant une  faible densit&eacute; de r&eacute;cepteur.|3) Parmi les propositions suivantes concernant le test « Binding », laquelle (ou lesquelles) est (sont) exacte(s) ?|UE6S110103|FAUX|A)Ce test utilise une fraction de membrane comportant une forte densit&eacute; de r&eacute;cepteur.||||Costentin|Histoire de la d&eacute;couverte des m&eacute;dicaments|segmo
B.Un radio-ligand est compos&eacute; de trois oxyg&egrave;nes.|3) Parmi les propositions suivantes concernant le test « Binding », laquelle (ou lesquelles) est (sont) exacte(s) ?|UE6S110103|FAUX|B)Un radio-ligand est compos&eacute; de trois hydrog&egrave;nes.||||Costentin|Histoire de la d&eacute;couverte des m&eacute;dicaments|segmo
C.S'il n'y a pas de comp&eacute;tition entre le radio-ligand et la mol&eacute;cule  &agrave; tester, on retrouve beaucoup de radio-ligand dans le filtrat.|3) Parmi les propositions suivantes concernant le test « Binding », laquelle (ou lesquelles) est (sont) exacte(s) ?|UE6S110103|FAUX|C)Si il n'y a pas de comp&eacute;tition entre le radio-ligand et la mol&eacute;cule &agrave; tester, on retrouve beaucoup de mol&eacute;cules &agrave; tester dans le filtrat.||||Costentin|Histoire de la d&eacute;couverte des m&eacute;dicaments|segmo
D.On utilise de l'iode, par exemple, pour suivre les mol&eacute;cules.|3) Parmi les propositions suivantes concernant le test « Binding », laquelle (ou lesquelles) est (sont) exacte(s) ?|UE6S110103|VRAI|||||Costentin|Histoire de la d&eacute;couverte des m&eacute;dicaments|segmo
E.La mol&eacute;cule &agrave; tester est choisie &agrave; partir du chimioth&egrave;que.|3) Parmi les propositions suivantes concernant le test « Binding », laquelle (ou lesquelles) est (sont) exacte(s) ?|UE6S110103|VRAI|||||Costentin|Histoire de la d&eacute;couverte des m&eacute;dicaments|segmo
A.En variant un seul substituant &agrave; la mol&eacute;cule, on ne change  pas son effet.|4) Parmi les propositions suivantes, laquelle (ou lesquelles)  est (sont) exacte(s) ?|UE6S110104|FAUX|A) En variant un seul substituant &agrave; la mol&eacute;cule, on peut changer son effet.||||Costentin|Histoire de la d&eacute;couverte des m&eacute;dicaments|segmo
B.L'opoth&eacute;rapie est une forme de bioth&eacute;rapie.|4) Parmi les propositions suivantes, laquelle (ou lesquelles)  est (sont) exacte(s) ?|UE6S110104|VRAI|||||Costentin|Histoire de la d&eacute;couverte des m&eacute;dicaments|segmo
C.L'h&eacute;parine est un produit d'extraction.|4) Parmi les propositions suivantes, laquelle (ou lesquelles)  est (sont) exacte(s) ?|UE6S110104|VRAI|foie de chien||||Costentin|Histoire de la d&eacute;couverte des m&eacute;dicaments|segmo
E.L'exp&eacute;rimentation in vitro remplace l'exp&eacute;rimentation in vivo.|4) Parmi les propositions suivantes, laquelle (ou lesquelles)  est (sont) exacte(s) ?|UE6S110104|FAUX|E) L'exp&eacute;rimentation in vitro compl&egrave;te l'exp&eacute;rimentation in vivo.||||Costentin|Histoire de la d&eacute;couverte des m&eacute;dicaments|segmo
A.Le taxol est un anticanc&eacute;reux.|6) Parmi les propositions suivantes, laquelle (ou lesquelles)  est (sont) exacte(s) ?|UE6S110106|VRAI|||||Costentin|Histoire de la d&eacute;couverte des m&eacute;dicaments|segmo
B.L'anti-ulc&eacute;reux provient des feuilles de digitale.|6) Parmi les propositions suivantes, laquelle (ou lesquelles)  est (sont) exacte(s) ?|UE6S110106|FAUX|B) L'anti-ulc&eacute;reux provient des feuilles de datura : scopolamine||||Costentin|Histoire de la d&eacute;couverte des m&eacute;dicaments|segmo
C.La Spart&eacute;ine provient de l'Eph&eacute;dra.|6) Parmi les propositions suivantes, laquelle (ou lesquelles)  est (sont) exacte(s) ?|UE6S110106|FAUX|C) La Spart&eacute;ine provient du gen&ecirc;t &agrave; balai (colchique)||||Costentin|Histoire de la d&eacute;couverte des m&eacute;dicaments|segmo
D.Fleming a d&eacute;couvert la coca&iuml;ne.|6) Parmi les propositions suivantes, laquelle (ou lesquelles)  est (sont) exacte(s) ?|UE6S110106|FAUX|D) Fleming a d&eacute;couvert les antibiotiques.||||Costentin|Histoire de la d&eacute;couverte des m&eacute;dicaments|segmo
A.&eacute;tudie les effets de l'organisme sur le devenir du principe actif.|7) Parmi les propositions suivantes, laquelle (ou lesquelles)  est (sont) exacte(s) ? La pharmacocin&eacute;tique :|UE6S110107|VRAI|||||Bonnet|Strat&eacute;gies de recherche et de mise sur le march&eacute; de nouveaux m&eacute;dicaments|segmo
B.&Eacute;tudie l'effet du principe actif sur la cible.|7) Parmi les propositions suivantes, laquelle (ou lesquelles)  est (sont) exacte(s) ? La pharmacocin&eacute;tique :|UE6S110107|FAUX|B) C'est la pharmacodynamie.||||Bonnet|Strat&eacute;gies de recherche et de mise sur le march&eacute; de nouveaux m&eacute;dicaments|segmo
C.&Eacute;tudie la relation entre la dose de principe actif et sa  concentration dans l'organisme.|7) Parmi les propositions suivantes, laquelle (ou lesquelles)  est (sont) exacte(s) ? La pharmacocin&eacute;tique :|UE6S110107|VRAI|||||Bonnet|Strat&eacute;gies de recherche et de mise sur le march&eacute; de nouveaux m&eacute;dicaments|segmo
D.&Eacute;tudie les voies d'&eacute;limination des principes actifs.|7) Parmi les propositions suivantes, laquelle (ou lesquelles)  est (sont) exacte(s) ? La pharmacocin&eacute;tique :|UE6S110107|VRAI|||||Bonnet|Strat&eacute;gies de recherche et de mise sur le march&eacute; de nouveaux m&eacute;dicaments|segmo
A.Est proportionnelle &agrave; la consommation de m&eacute;dicaments.|8) Parmi les propositions suivantes, laquelle (ou lesquelles)  est (sont) exacte(s) ? La iatrog&egrave;ne m&eacute;dicamenteuse :|UE6S110108|VRAI|||||Doucet|Iatrog&eacute;nie|segmo
B.Est un probl&egrave;me de sant&eacute; publique.|8) Parmi les propositions suivantes, laquelle (ou lesquelles)  est (sont) exacte(s) ? La iatrog&egrave;ne m&eacute;dicamenteuse :|UE6S110108|VRAI|||||Doucet|Iatrog&eacute;nie|segmo
C.Peut-&ecirc;tre la cons&eacute;quence d'un m&eacute;susage du m&eacute;dicament.|8) Parmi les propositions suivantes, laquelle (ou lesquelles)  est (sont) exacte(s) ? La iatrog&egrave;ne m&eacute;dicamenteuse :|UE6S110108|VRAI|||||Doucet|Iatrog&eacute;nie|segmo
D.Peut souvent &ecirc;tre pr&eacute;venue par le respect des r&egrave;gles de bon usage.|8) Parmi les propositions suivantes, laquelle (ou lesquelles)  est (sont) exacte(s) ? La iatrog&egrave;ne m&eacute;dicamenteuse :|UE6S110108|VRAI|||||Doucet|Iatrog&eacute;nie|segmo
