labelAnswer|title|slug|answer|commentAnswer|summary|content|authorEmail|||
E.La Saint Patrick, qui a lieu le 17 mars est une f&ecirc;te &agrave; ne pas manquer lorsque l'on n'est pas en PACES.|4. Concernant la sp&eacute;ciation (4R) :|UE7S110104|VRAI|||||||segmo
A. C'est l'&eacute;tude de l'homme dans la double perspective de ses comportements et de ses conduites d'une part, de ses &eacute;tats de conscience d'autre part qui cherche &agrave; formuler les lois de ses ph&eacute;nom&egrave;nes, &agrave; en expliquer la gen&egrave;se afin de pouvoir &eacute;ventuellement les modifier|1. Indiquez la (ou les) proposition(s) exacte(s) concernant la psychologie humaine :|UE7T130101|VRAI|||||||
B. Aborde les notions complexes de m&eacute;moire|1. Indiquez la (ou les) proposition(s) exacte(s) concernant la psychologie humaine :|UE7T130101|VRAI|||||||
C. Elle prend son origine dans la conception de la psychologie m&eacute;dicale|1. Indiquez la (ou les) proposition(s) exacte(s) concernant la psychologie humaine :|UE7T130101|FAUX|C. C'est la psychologie m&eacute;dicale qui prend son origine dans la psychologie humaine et non l'inverse !||||||
D. Elle est &agrave; conna&icirc;tre par tous les soignants|1. Indiquez la (ou les) proposition(s) exacte(s) concernant la psychologie humaine :|UE7T130101|FAUX|D. La psychologie m&eacute;dicale est &agrave; conna&icirc;tre par tous les soignants||||||
E. Le fonctionnement et la construction du langage sont des aspects de la psychologie humaine.|1. Indiquez la (ou les) proposition(s) exacte(s) concernant la psychologie humaine :|UE7T130101|VRAI|||||||
A. Elle s'applique &agrave; tout patient|2. Indiquez la (ou les) proposition(s) exacte(s) concernant la psychiatrie :|UE7T130102|FAUX|A. Elle s'applique &agrave; une partie des patients||||||
B. Elle s'int&eacute;resse au fonctionnement physiologique|2. Indiquez la (ou les) proposition(s) exacte(s) concernant la psychiatrie :|UE7T130102|FAUX|||||||
C. Tous les soignants sont concern&eacute;s|2. Indiquez la (ou les) proposition(s) exacte(s) concernant la psychiatrie :|UE7T130102|FAUX|C. Concerne une partie des soignants -­‐> la psychiatrie est une sp&eacute;cialit&eacute; avec une prise en charge sp&eacute;cifique||||||
D. C'est l'&eacute;tude des troubles mentaux|2. Indiquez la (ou les) proposition(s) exacte(s) concernant la psychiatrie :|UE7T130102|VRAI|||||||
E. L'anorexie mentale fait partie du champ psychiatrique.|2. Indiquez la (ou les) proposition(s) exacte(s) concernant la psychiatrie :|UE7T130102|VRAI|||||||
A. La personnalit&eacute; vient de persona qui veut dire masque en grec|3. Indiquez la (ou les) r&eacute;ponse(s) exacte(s) concernant la personnalit&eacute; et le temp&eacute;rament :|UE7T130103|FAUX|A. La personnalit&eacute; vient de persona qui veut dire masque en latin||||||
B. Le temp&eacute;rament est biologiquement d&eacute;termin&eacute;|3. Indiquez la (ou les) r&eacute;ponse(s) exacte(s) concernant la personnalit&eacute; et le temp&eacute;rament :|UE7T130103|VRAI|||||||
C. Le temp&eacute;rament est plus fixe que la personnalit&eacute;|3. Indiquez la (ou les) r&eacute;ponse(s) exacte(s) concernant la personnalit&eacute; et le temp&eacute;rament :|UE7T130103|VRAI|||||||
D. La personnalit&eacute; se construit &agrave; partir de la naissance et jusqu'&agrave; l'âge adulte grâce aux interactions avec l'environnement|3. Indiquez la (ou les) r&eacute;ponse(s) exacte(s) concernant la personnalit&eacute; et le temp&eacute;rament :|UE7T130103|FAUX|D. La personnalit&eacute; se construit &agrave; partir de la vie intra-ut&eacute;rine et jusqu'&agrave; l'âge adulte||||||
E. Le temp&eacute;rament est identifi&eacute; depuis l'enfance.|3. Indiquez la (ou les) r&eacute;ponse(s) exacte(s) concernant la personnalit&eacute; et le temp&eacute;rament :|UE7T130103|VRAI|||||||
A. Il existe un continuum entre normal et pathologique|4. Indiquez la (ou les) proposition(s) exacte(s) concernant le normal et le pathologique :|UE7T130104|VRAI|||||||
B. Il existe trois d&eacute;finitions de la norme : statistique, axiologique et normative|4. Indiquez la (ou les) proposition(s) exacte(s) concernant le normal et le pathologique :|UE7T130104|VRAI|||||||
C. La d&eacute;finition normative est celle &agrave; privil&eacute;gier d'un point de vue th&eacute;rapeutique|4. Indiquez la (ou les) proposition(s) exacte(s) concernant le normal et le pathologique :|UE7T130104|FAUX|C. La d&eacute;finition axiologique est la plus pertinente d'un point de vue th&eacute;rapeutique||||||
D. Le normal et le pathologique ne peuvent se d&eacute;finir qu'en r&eacute;f&eacute;rence &agrave; un syst&egrave;me donn&eacute;, en fonction d'une culture, d'une &eacute;poque.|4. Indiquez la (ou les) proposition(s) exacte(s) concernant le normal et le pathologique :|UE7T130104|VRAI|||||||
E. Soign&eacute; comme soignant ont les m&ecirc;mes repr&eacute;sentations de la norme, du normal et du pathologique.|4. Indiquez la (ou les) proposition(s) exacte(s) concernant le normal et le pathologique :|UE7T130104|FAUX|E. Soign&eacute; comme soignant sont pris dans leur propre repr&eacute;sentation de la norme, du normal et du pathologique||||||
