labelAnswer|title|slug|answer|commentAnswer|summary|content|authorEmail|||
A. Les dispositifs m&eacute;dicaux font partie du monopole des produits de sant&eacute;.|11. Indiquez la (les) proposition(s) exacte(s) :|UEPT140411|VRAI|||||||
B. Les produits de diagnostics sont consid&eacute;r&eacute;s comme des m&eacute;dicaments.|11. Indiquez la (les) proposition(s) exacte(s) :|UEPT140411|VRAI|||||||
C. Les pr&eacute;parateurs en pharmacie doivent absolument travailler sous la responsabilit&eacute; d'un pharmacien en pharmacie de ville|11. Indiquez la (les) proposition(s) exacte(s) :|UEPT140411|VRAI|||||||
D. Des compositions pr&eacute;sent&eacute;es comme poss&eacute;dant des propri&eacute;t&eacute;s curatives ou pr&eacute;ventives sont consid&eacute;r&eacute;s comme un m&eacute;dicament.|11. Indiquez la (les) proposition(s) exacte(s) :|UEPT140411|VRAI|||||||
E. L'exercice de la pharmacie pour un pharmacien en PUI ou en Pharmacie n&eacute;cessite d'&ecirc;tre inscrit &agrave; l'ordre des pharmaciens|11. Indiquez la (les) proposition(s) exacte(s) :|UEPT140411|VRAI|||||||
A. La totalit&eacute; du cycle du m&eacute;dicament est sous la responsabilit&eacute; d'un docteur en m&eacute;decine.|13. Indiquez la (les) proposition(s) exacte(s) :|UEPT140413|FAUX|A. d'un docteur en pharmacie||||||
B. La dispensation des m&eacute;dicaments est aussi bien r&eacute;glement&eacute;s que ce soit en ville ou &agrave; l'h&ocirc;pital.|13. Indiquez la (les) proposition(s) exacte(s) :|UEPT140413|VRAI|||||||
C. Une fiche compl&egrave;te num&eacute;rique peut remplacer une notice d'utilisation dans le conditionnement.|13. Indiquez la (les) proposition(s) exacte(s) :|UEPT140413|FAUX|C. On a des notices obligatoires incluses dans le conditionnement : DCI, nom du laboratoire et du fabricant, composition, pr&eacute;cautions d'emploi, mode d'emploi, posologie, r&egrave;gle de bon usage.||||||
D. Un m&eacute;dicament est un bien industriel &agrave; vocation de sant&eacute; publique.|13. Indiquez la (les) proposition(s) exacte(s) :|UEPT140413|FAUX|D. C'est un bien industriel : la fabrication est faite par des entreprises dont la rentabilit&eacute; doit assumer une recherche de haut niveau co&ucirc;teuse et il a une vocation de sant&eacute; publique : c'est un produit r&eacute;glement&eacute; non soumis aux r&egrave;gles classiques de l'offre et de la demande.||||||
E. La simple demande d'un patient peut permettre la dispensation d'un m&eacute;dicament par le pharmacien.|13. Indiquez la (les) proposition(s) exacte(s) :|UEPT140413|VRAI|E. Du parac&eacute;tamol(DCI) est un m&eacute;dicament que l'on peut avoir sur demande (=sans prescription) &agrave; une pharmacie. Il existe un ensemble de m&eacute;dicament dit « m&eacute;dicaments conseils » qui sont d&eacute;livrables par le pharmacien sans prescription d'un m&eacute;decin.||||||
A. On peut g&eacute;n&eacute;riquer un m&eacute;dicament 1an apr&egrave;s sa commercialisation.|14. Indiquez la (les) proposition(s) exacte(s) :|UEPT140414|FAUX|A. On peut g&eacute;n&eacute;riquer un m&eacute;dicament d&egrave;s que le brevet qui le prot&egrave;ge tombe et que la mol&eacute;cule arrive dans le domaine public.||||||
B. La demande d'AMM eut &ecirc;tre national ou europ&eacute;enne.|14. Indiquez la (les) proposition(s) exacte(s) :|UEPT140414|VRAI|||||||
C. La commission de transparence fixe le prix du m&eacute;dicament selon son efficacit&eacute;.|14. Indiquez la (les) proposition(s) exacte(s) :|UEPT140414|FAUX|CEPS fixe le prix<br>CT donne l'ASMR (efficacit&eacute;)||||||
D. La commission d'AMM d&eacute;cide de l'octroi de l'AMM mais &eacute;value aussi l'ASMR.|14. Indiquez la (les) proposition(s) exacte(s) :|UEPT140414|FAUX|||||||
E. Un m&eacute;dicament non rembours&eacute; n'a pas besoin d'une AMM.|14. Indiquez la (les) proposition(s) exacte(s) :|UEPT140414|FAUX|E. Un m&eacute;dicament non rembours&eacute; a besoin d'une AM, la seule diff&eacute;rence c'est qu'il n'y alors pas une fixation du prix impos&eacute; par les autorit&eacute;s||||||
A. La r&eacute;trocession se destine aux patients hospitalis&eacute;s.|15. Indiquez la (les) proposition(s) exacte(s) :|UEPT140415|FAUX|A. La r&eacute;trocession correspond &agrave; la d&eacute;livrance de m&eacute;dicaments &agrave; des patients ambulatoires en PUI pour des m&eacute;dicaments inscrits sur la liste de r&eacute;trocession.||||||
B. Il existe, pour certaines pathologies, un double circuit de dispensation.|15. Indiquez la (les) proposition(s) exacte(s) :|UEPT140415|FAUX|B. Oui pour le VIH notamment||||||
C. Les PUI peuvent d&eacute;livrer des m&eacute;dicaments import&eacute;s.|15. Indiquez la (les) proposition(s) exacte(s) :|UEPT140415|VRAI|||||||
D. Il est absolument n&eacute;cessaire que le m&eacute;dicament ait une AMM pour qu'il soit d&eacute;livr&eacute;.|15. Indiquez la (les) proposition(s) exacte(s) :|UEPT140415|FAUX|D. La r&egrave;gle = l'AMM (autorisation de mise sur le march&eacute;). Les exceptions &agrave; la r&egrave;gle sont : <br>• Les m&eacute;dicaments en exp&eacute;rimentation clinique (type phase 3)<br> • Les m&eacute;dicaments en ATU (autorisation temporaire d'utilisation) ATU nominative ou de cohorte (dispens&eacute;e en PUI). On demande &agrave; utiliser qui n'a pas d'AMM (produit commercialis&eacute; dans un autre pays dans le Monde, produit en &eacute;tudes cliniques).||||||
E. Les m&eacute;dicaments class&eacute;s sur la liste 2 sont les m&eacute;dicaments dits d'autom&eacute;dication.|15. Indiquez la (les) proposition(s) exacte(s) :|UEPT140415|FAUX|||||||
A. Les outils de maitrise de la conception sont des dispositifs m&eacute;dicaux.|17. Indiquez la (les) proposition(s) exacte(s) :|UEPT140417|VRAI|||||||
B. Les dispositifs m&eacute;dicaux implant&eacute;s en partie sont consid&eacute;r&eacute;s comme « dispositifs m&eacute;dicaux implantables ».|17. Indiquez la (les) proposition(s) exacte(s) :|UEPT140417|VRAI|||||||
C. Les dispositifs m&eacute;dicaux sont class&eacute;s selon 3 classes selon le niveau de risque li&eacute; &agrave; son utilisation.|17. Indiquez la (les) proposition(s) exacte(s) :|UEPT140417|FAUX|C. 4 classes !||||||
D. Les dispositifs m&eacute;dicaux n&eacute;cessitent une AMM et doit r&eacute;pondre aux normes de la mat&eacute;riovigilances.|17. Indiquez la (les) proposition(s) exacte(s) :|UEPT140417|FAUX|D. La mise sur le march&eacute; sous la responsabilit&eacute; du fabricant apr&egrave;s obtention du marquage CE. Le marquage CE : t&eacute;moin de la conformit&eacute; aux exigences essentielles de sant&eacute; et de s&eacute;curit&eacute; fix&eacute;es par les directives europ&eacute;ennes. Il doit remplir la mat&eacute;riovigilance. Concernant la tra&ccedil;abilit&eacute; : arr&ecirc;t&eacute; du 26 janvier 2007 : <br>•DM contenant une substance MDS, valve cardiaques : application imm&eacute;diate, sans d&eacute;lai <br>•Autres DMI : au plus tard le 31 / 12 / 2008||||||
E. Tout dispositif m&eacute;dical implant&eacute; depuis 2009 doit faire l'objet d'une tra&ccedil;abilit&eacute;.|17. Indiquez la (les) proposition(s) exacte(s) :|UEPT140417|VRAI|||||||
A. Il existe des pr&eacute;parations m&eacute;dicamenteuses liquides que l'on applique sur la peau, le cuir chevelu, les ongles|18. Indiquez la (les) proposition(s) exacte(s) concernant la voie cutan&eacute;e :|UEPT140418|VRAI|||||||
B. Il n'est pas possible d'obtenir une action syst&eacute;mique avec un liquide par voie cutan&eacute;e.|18. Indiquez la (les) proposition(s) exacte(s) concernant la voie cutan&eacute;e :|UEPT140418|FAUX|B. On peut obtenir une action locale et syst&eacute;mique avec un liquide par voie cutan&eacute;e.||||||
C. Une mousse m&eacute;dicamenteuse est une dispersion d'un volume important de PA sous forme solide dans un liquide.|18. Indiquez la (les) proposition(s) exacte(s) concernant la voie cutan&eacute;e :|UEPT140418|FAUX|C. Une mousse m&eacute;dicamenteuse est une pr&eacute;paration constitu&eacute; par la dispersion d'un volume important de gaz dans une pr&eacute;paration liquide contenant un ou plusieurs PA||||||
D. Une solution pour irrigation est une solution injectable.|18. Indiquez la (les) proposition(s) exacte(s) concernant la voie cutan&eacute;e :|UEPT140418|FAUX|D. Une pr&eacute;paration pour irrigation est une pr&eacute;paration aqueuse st&eacute;rile &agrave; grand volume destin&eacute; &agrave; l'irrigation des cavit&eacute;s, des l&eacute;sions et surfaces corporelles [par exemple au cours d'une intervention chirurgicale].||||||
